|numvelasfp|empresa|numeroPredicciones|ratioFalsosPositivos|subgrupos
0|16|AAPL|35|45.7000|SG_14;SG_41;SG_24;SG_19;SG_14;SG_41;SG_24;SG_19;SG_47
1|11|ABEO|23|47.8000|SG_22;SG_43;SG_5;SG_47;SG_22;SG_43;SG_5;SG_42;SG_47
2|3|ISIG|6|50.0000|SG_14;SG_14
3|4|CRWS|8|50.0000|SG_5;SG_18;SG_41;SG_5;SG_18
4|2|FVAM|4|50.0000|SG_42;SG_10;SG_10
5|5|BCDA|9|55.6000|SG_43;SG_5;SG_42;SG_43;SG_5
6|14|PFIE|25|56.0000|SG_7;SG_5;SG_7;SG_5;SG_42
7|11|CIZN|19|57.9000|SG_41;SG_37;SG_22;SG_5;SG_18;SG_37;SG_22;SG_5;SG_10;SG_18
8|3|IROQ|5|60.0000|SG_41;SG_22;SG_10;SG_41;SG_5
9|9|GSIT|15|60.0000|SG_14;SG_5;SG_14;SG_5
10|6|BMRA|10|60.0000|SG_43;SG_5;SG_42;SG_43;SG_5;SG_42
11|14|CLNE|23|60.9000|SG_22;SG_7;SG_22;SG_7;SG_42
12|19|DLPN|31|61.3000|SG_14;SG_37;SG_22;SG_5;SG_14;SG_37;SG_22;SG_5;SG_42
13|8|ALRN|13|61.5000|SG_43;SG_5;SG_43;SG_5
14|8|ACAD|13|61.5000|SG_3;SG_43;SG_42;SG_3;SG_43;SG_42
15|5|CPIX|8|62.5000|SG_43;SG_43;SG_42;SG_47
16|22|ALIM|35|62.9000|SG_26;SG_43;SG_19;SG_26;SG_43;SG_42;SG_19
17|7|CRMT|11|63.6000|SG_4;SG_22;SG_18;SG_22;SG_18
18|9|IGMS|14|64.3000|SG_43;SG_42;SG_47;SG_4;SG_43;SG_42
19|9|MBRX|14|64.3000|SG_37;SG_43;SG_5;SG_37;SG_43;SG_5
20|20|CRTO|31|64.5000|SG_14;SG_3;SG_34;SG_14;SG_3;SG_34;SG_42;SG_19
21|11|ANGO|17|64.7000|SG_4;SG_22;SG_43;SG_4;SG_22;SG_43;SG_42
22|13|AUTO|20|65.0000|SG_14;SG_37;SG_22;SG_42;SG_37;SG_22;SG_42
23|17|ANGI|26|65.4000|SG_14;SG_3;SG_47;SG_14;SG_3;SG_47
24|19|ACGL|29|65.5000|SG_40;SG_10;SG_2;SG_40;SG_22;SG_42;SG_10;SG_18;SG_2
25|2|GLBZ|3|66.7000|SG_37;SG_10;SG_18
26|14|KVHI|21|66.7000|SG_14;SG_5;SG_14;SG_22;SG_5;SG_42
27|8|CODX|12|66.7000|SG_5;SG_18;SG_43;SG_5;SG_18
28|12|ABIO|18|66.7000|SG_37;SG_43;SG_42;SG_37;SG_43
29|4|FVE|6|66.7000|SG_22;SG_43;SG_22;SG_5
30|8|IMUX|12|66.7000|SG_5;SG_43;SG_5;SG_42
31|10|CRNX|15|66.7000|SG_4;SG_42;SG_4;SG_43;SG_42
32|14|BIVI|21|66.7000|SG_37;SG_43;SG_5;SG_37;SG_43;SG_5;SG_42
33|6|BLUE|9|66.7000|SG_4;SG_43;SG_42;SG_4;SG_43
34|18|EGRX|27|66.7000|SG_4;SG_22;SG_43;SG_19;SG_4;SG_22;SG_43;SG_42;SG_19
35|8|LXEH|12|66.7000|SG_37;SG_42;SG_18;SG_37;SG_22;SG_5;SG_18
36|19|ADBE|28|67.9000|SG_20;SG_14;SG_47;SG_20;SG_14;SG_46;SG_47
37|13|JRSH|19|68.4000|SG_37;SG_5;SG_18;SG_41;SG_37;SG_5;SG_18
38|11|NEPT|16|68.8000|SG_22;SG_5;SG_42;SG_22;SG_43;SG_5;SG_42
39|11|AKRO|16|68.8000|SG_4;SG_42;SG_46;SG_47;SG_4;SG_43;SG_42;SG_47
40|9|AXLA|13|69.2000|SG_22;SG_5;SG_42;SG_22;SG_43;SG_5;SG_42
41|9|OTIC|13|69.2000|SG_43;SG_5;SG_5
42|9|ADIL|13|69.2000|SG_37;SG_43;SG_5;SG_43;SG_5
43|25|GOGO|36|69.4000|SG_14;SG_4;SG_26;SG_14;SG_4;SG_26;SG_42
44|25|ACTG|36|69.4000|SG_23;SG_12;SG_5;SG_42;SG_23;SG_12;SG_5;SG_42
45|16|PRTA|23|69.6000|SG_3;SG_43;SG_34;SG_42;SG_46;SG_47;SG_3;SG_43;SG_34;SG_42
46|16|OSTK|23|69.6000|SG_3;SG_22;SG_42;SG_19;SG_47;SG_3;SG_19;SG_47
47|16|ONCY|23|69.6000|SG_37;SG_22;SG_43;SG_5;SG_42;SG_37;SG_22;SG_43;SG_5
48|7|AVEO|10|70.0000|SG_22;SG_43;SG_5;SG_42;SG_22;SG_43;SG_5
49|7|NVIV|10|70.0000|SG_37;SG_43;SG_42;SG_43
50|7|FEIM|10|70.0000|SG_5;SG_47;SG_14;SG_5;SG_42
51|14|AGMH|20|70.0000|SG_14;SG_37;SG_5;SG_42;SG_14;SG_37;SG_5;SG_42
52|7|JCS|10|70.0000|SG_14;SG_41;SG_14;SG_41
53|7|DCTH|10|70.0000|SG_22;SG_43;SG_5;SG_42;SG_22;SG_43;SG_42
54|12|MBIO|17|70.6000|SG_43;SG_5;SG_42;SG_46;SG_43;SG_5;SG_42
55|12|KZR|17|70.6000|SG_4;SG_43;SG_42;SG_4;SG_43
56|17|CARE|24|70.8000|SG_49;SG_42;SG_10;SG_47;SG_4;SG_42;SG_46;SG_10;SG_47
57|22|CHNR|31|71.0000|SG_37;SG_7;SG_18;SG_37;SG_22;SG_7;SG_18
58|22|GEOS|31|71.0000|SG_7;SG_5;SG_7;SG_5
59|10|CSSE|14|71.4000|SG_14;SG_4;SG_14;SG_4
60|15|CYAN|21|71.4000|SG_37;SG_22;SG_18;SG_37;SG_22;SG_42;SG_18
61|5|GNTX|7|71.4000|SG_3;SG_18;SG_3
62|25|NEXT|35|71.4000|SG_4;SG_7;SG_4;SG_7;SG_42
63|10|HOFT|14|71.4000|SG_4;SG_41;SG_18;SG_4;SG_41;SG_18
64|15|ARTL|21|71.4000|SG_37;SG_43;SG_42;SG_37;SG_43;SG_42
65|5|CALA|7|71.4000|SG_43;SG_5;SG_42;SG_5
66|38|HAS|53|71.7000|SG_41;SG_24;SG_19;SG_2;SG_41;SG_24;SG_19;SG_46;SG_2
