subgrupo|numvelasfp|numeroPredicciones|ratioFalsosPositivos
SG_24|200|2101|9.5000
SG_40|401|4002|10.0000
SG_2|683|6656|10.3000
SG_20|152|1384|11.0000
SG_3|832|7115|11.7000
SG_46|158|1335|11.8000
SG_19|879|6977|12.6000
SG_47|216|1710|12.6000
SG_18|852|6707|12.7000
SG_16|127|922|13.8000
SG_41|1018|6730|15.1000
SG_14|1166|7066|16.5000
SG_43|1168|6846|17.1000
SG_23|1257|6807|18.5000
SG_34|662|3538|18.7000
SG_10|1214|6487|18.7000
SG_17|474|2431|19.5000
SG_37|1293|6553|19.7000
SG_22|1372|6865|20.0000
SG_5|1337|6532|20.5000
SG_7|823|4001|20.6000
SG_42|1420|6882|20.6000
SG_4|1451|6921|21.0000
SG_33|608|2860|21.3000
SG_26|1431|6676|21.4000
SG_49|340|1499|22.7000
SG_12|1587|6864|23.1000
SG_9|1687|6807|24.8000
SG_25|1756|6723|26.1000
SG_39|1849|7038|26.3000
SG_6|1755|6471|27.1000
SG_21|1888|6823|27.7000
SG_48|605|1987|30.4000
SG_38|2188|6739|32.5000
SG_11|2329|6890|33.8000
SG_32|2139|5648|37.9000
SG_35|2969|6806|43.6000
