empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|TARGET|TARGET_PREDICHO|TARGET_PREDICHO_PROB
ACHC|0|NASDAQ|2020|6|1|19|59|169534|29.58|28.594999|28.879999|28.690001||1.0|0.7632923126220703
ADSK|0|NASDAQ|2020|6|1|20|1|1606669|219.455002|209.058807|219.190002|210.0||1.0|0.9029269814491272
ADTN|0|NASDAQ|2020|6|1|20|0|229600|11.89|11.26|11.85|11.45||1.0|0.8663104772567749
AGFS|0|NASDAQ|2020|6|1|19|57|152272|2.95|2.62|2.89|2.7||1.0|0.6960079669952393
AGRX|0|NASDAQ|2020|6|1|20|0|877602|2.99|2.8|2.975|2.85||1.0|0.9185099601745604
ALGT|0|NASDAQ|2020|6|1|20|2|190624|112.979301|107.510002|110.004997|108.129997||1.0|0.9517056941986084
AMRK|0|NASDAQ|2020|6|1|20|1|18992|17.549999|16.68|16.938|16.950001||1.0|0.6966221332550049
AMSWA|0|NASDAQ|2020|6|1|20|2|147048|19.940001|19.27|19.860001|19.59||1.0|0.8659160733222961
APTX|0|NASDAQ|2020|6|1|20|2|311041|3.68|3.4|3.55|3.67||1.0|0.9394202828407288
ARYA|0|NASDAQ|2020|6|1|20|4|437615|13.97|12.9|13.56|12.9||1.0|0.9176934361457824
ATRA|0|NASDAQ|2020|6|1|20|5|1141216|11.58|11.06|11.34|11.38||1.0|0.9135208725929259
AUDC|0|NASDAQ|2020|6|1|20|5|551901|39.07|37.459999|38.82|37.990002||1.0|0.7695905566215515
AVID|0|NASDAQ|2020|6|1|20|5|854992|7.63|6.95|7.46|7.01||1.0|0.7770736813545227
AVRO|0|NASDAQ|2020|6|1|20|3|213134|21.395|20.0|21.311899|20.32||1.0|0.816051185131073
BLDP|0|NASDAQ|2020|6|1|20|7|1463979|11.5|10.79|11.39|10.82||1.0|0.9702968001365662
BLFS|0|NASDAQ|2020|6|1|20|6|108413|16.940001000000002|16.15|16.91|16.450001||1.0|0.9151924252510072
