empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|DIAS_HASTA_FIN_MES|DIAS_HASTA_FIN_TRIMESTRE|TARGET|TARGET_PREDICHO|TARGET_PREDICHO_PROB
ADVM|0|NASDAQ|2020|7|14|18|27|530983|18.57|17.610001|18.07|17.91|17.0|78.0||1.0|0.8553866147994995
ADXS|0|NASDAQ|2020|7|14|18|19|293649|0.5543|0.5223|0.54|0.5543|17.0|78.0||1.0|0.9713653326034546
ALEC|0|NASDAQ|2020|7|14|18|27|228956|22.969999|22.01|22.549999|22.559999|17.0|78.0||1.0|0.8944146633148193
ALJJ|0|NASDAQ|2020|7|14|18|21|158469|0.562|0.4901|0.5003|0.55|17.0|78.0||1.0|0.9700419902801514
ALRN|0|NASDAQ|2020|7|14|18|27|364730|0.93|0.8|0.8777|0.8993|17.0|78.0||1.0|0.828018307685852
APLT|0|NASDAQ|2020|7|14|18|29|164364|28.889999|26.58|27.99|28.02|17.0|78.0||1.0|0.9187886118888856
ARVN|0|NASDAQ|2020|7|14|18|29|178534|34.450001|32.73|32.75|33.700001|17.0|78.0||1.0|0.9379477500915528
CBIO|0|NASDAQ|2020|7|14|18|32|80904|5.7598|5.36|5.57|5.65|17.0|78.0||1.0|0.9176372289657592
CCLP|0|NASDAQ|2020|7|14|18|36|34921|0.76|0.72|0.7363|0.76|17.0|78.0||1.0|0.8554112315177917
CFRX|0|NASDAQ|2020|7|14|18|38|379351|6.41|5.645|5.82|6.39|17.0|78.0||1.0|0.91270649433136
CHMA|0|NASDAQ|2020|7|14|18|34|366399|4.38|4.16|4.2408|4.27|17.0|78.0||1.0|0.8219906091690063
