empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
LKQ|0|NASDAQ|2020|02|26|15|30|2783900|32.040001|30.540001|30.540001|31.540001|autoparts|0.5|0.9|2.2|15.81|-|51000|usa|0.81|0.74|10.89|Feb 20 BMO|consumergoods|97.099998|8670
LKQ|1|NASDAQ|2020|02|25|15|30|2953100|32.630001|31.25|31.32|32.25|autoparts|0.5|0.9|2.2|15.81|-|51000|usa|0.81|0.74|10.89|Feb 20 BMO|consumergoods|97.099998|8670
LKQ|2|NASDAQ|2020|02|24|15|30|2492800|32.66|32.040001|32.330002|32.279999|autoparts|0.5|0.9|2.2|15.81|-|51000|usa|0.81|0.74|10.89|Feb 20 BMO|consumergoods|97.099998|8670
LKQ|3|NASDAQ|2020|02|21|15|30|3734400|34.040001|32.68|33.040001|34.040001|autoparts|0.5|0.9|2.2|15.81|-|51000|usa|0.81|0.74|10.89|Feb 20 BMO|consumergoods|97.099998|8670
LKQ|4|NASDAQ|2020|02|20|15|30|4370000|34.189999|32.200001|34.02|33.009998|autoparts|0.5|0.9|2.2|15.81|-|51000|usa|0.81|0.74|10.89|Feb 20 BMO|consumergoods|97.099998|8670
LKQ|5|NASDAQ|2020|02|19|15|30|2734400|34.220001|33.34|34|33.34|autoparts|0.5|0.9|2.2|15.81|-|51000|usa|0.81|0.74|10.89|Feb 20 BMO|consumergoods|97.099998|8670
LKQ|6|NASDAQ|2020|02|18|15|30|2249800|33.509998|32.990002|33.25|33.200001|autoparts|0.5|0.9|2.2|15.81|-|51000|usa|0.81|0.74|10.89|Feb 20 BMO|consumergoods|97.099998|8670
LKQ|7|NASDAQ|2020|02|14|15|30|1354600|33.91|33.119999|33.200001|33.869999|autoparts|0.5|0.9|2.2|15.81|-|51000|usa|0.81|0.74|10.89|Feb 20 BMO|consumergoods|97.099998|8670
LKQ|8|NASDAQ|2020|02|13|15|30|1138600|33.939999|33.490002|33.849998|33.540001|autoparts|0.5|0.9|2.2|15.81|-|51000|usa|0.81|0.74|10.89|Feb 20 BMO|consumergoods|97.099998|8670
LKQ|9|NASDAQ|2020|02|12|15|30|953600|33.91|33.459999|33.740002|33.630001|autoparts|0.5|0.9|2.2|15.81|-|51000|usa|0.81|0.74|10.89|Feb 20 BMO|consumergoods|97.099998|8670
LKQ|10|NASDAQ|2020|02|11|15|30|923200|33.849998|33.150002|33.580002|33.259998|autoparts|0.5|0.9|2.2|15.81|-|51000|usa|0.81|0.74|10.89|Feb 20 BMO|consumergoods|97.099998|8670
