empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
LNGR|0|NASDAQ|2020|02|26|15|30|5800|23.93|23.5|23.629999|23.67|exchangetradedfund|-|-|-|-|0.62|-|usa|-|-|-|-|financial|-|-
LNGR|1|NASDAQ|2020|02|25|15|30|14000|24.219999|23.5|23.665001|24.219999|exchangetradedfund|-|-|-|-|0.62|-|usa|-|-|-|-|financial|-|-
LNGR|2|NASDAQ|2020|02|24|15|30|2700|24.225|23.93|24.149|23.940001|exchangetradedfund|-|-|-|-|0.62|-|usa|-|-|-|-|financial|-|-
LNGR|3|NASDAQ|2020|02|21|15|30|900|24.775|24.563|24.775|24.563|exchangetradedfund|-|-|-|-|0.62|-|usa|-|-|-|-|financial|-|-
LNGR|4|NASDAQ|2020|02|20|15|30|9100|25.009001|24.572001|24.74|24.91|exchangetradedfund|-|-|-|-|0.62|-|usa|-|-|-|-|financial|-|-
LNGR|5|NASDAQ|2020|02|19|15|30|10300|25.065001|24.719999|24.740999|24.809999|exchangetradedfund|-|-|-|-|0.62|-|usa|-|-|-|-|financial|-|-
LNGR|6|NASDAQ|2020|02|18|15|30|26600|24.74|24.5|24.5|24.74|exchangetradedfund|-|-|-|-|0.62|-|usa|-|-|-|-|financial|-|-
LNGR|7|NASDAQ|2020|02|14|15|30|3100|24.860001|24.549999|24.709999|24.67|exchangetradedfund|-|-|-|-|0.62|-|usa|-|-|-|-|financial|-|-
LNGR|8|NASDAQ|2020|02|13|15|30|2500|24.673|24.5|24.673|24.530001|exchangetradedfund|-|-|-|-|0.62|-|usa|-|-|-|-|financial|-|-
LNGR|9|NASDAQ|2020|02|12|15|30|3300|24.791|24.493|24.5|24.66|exchangetradedfund|-|-|-|-|0.62|-|usa|-|-|-|-|financial|-|-
LNGR|10|NASDAQ|2020|02|11|15|30|900|24.712999|24.42|24.542|24.42|exchangetradedfund|-|-|-|-|0.62|-|usa|-|-|-|-|financial|-|-
LNGR|11|NASDAQ|2020|02|10|15|30|2900|24.299999|24.26|24.299999|24.299999|exchangetradedfund|-|-|-|-|0.62|-|usa|-|-|-|-|financial|-|-
LNGR|12|NASDAQ|2020|02|07|15|30|4200|24.599001|24.23|24.299|24.290001|exchangetradedfund|-|-|-|-|0.62|-|usa|-|-|-|-|financial|-|-
LNGR|13|NASDAQ|2020|02|06|15|30|12000|24.68|24.360001|24.360001|24.6|exchangetradedfund|-|-|-|-|0.62|-|usa|-|-|-|-|financial|-|-
LNGR|14|NASDAQ|2020|02|05|15|30|3700|24.579|24.059999|24.579|24.059999|exchangetradedfund|-|-|-|-|0.62|-|usa|-|-|-|-|financial|-|-
LNGR|15|NASDAQ|2020|02|04|15|30|5100|24.040001|23.9|24.040001|23.91|exchangetradedfund|-|-|-|-|0.62|-|usa|-|-|-|-|financial|-|-
LNGR|16|NASDAQ|2020|02|03|15|30|2700|23.665001|23.450001|23.583|23.450001|exchangetradedfund|-|-|-|-|0.62|-|usa|-|-|-|-|financial|-|-
LNGR|17|NASDAQ|2020|01|31|15|30|3000|23.416|23.25|23.416|23.35|exchangetradedfund|-|-|-|-|0.62|-|usa|-|-|-|-|financial|-|-
LNGR|18|NASDAQ|2020|01|30|15|30|3600|23.860001|23.621|23.636|23.790001|exchangetradedfund|-|-|-|-|0.62|-|usa|-|-|-|-|financial|-|-
LNGR|19|NASDAQ|2020|01|29|15|30|3500|24.084|23.85|24.08|23.85|exchangetradedfund|-|-|-|-|0.62|-|usa|-|-|-|-|financial|-|-
LNGR|20|NASDAQ|2020|01|28|15|30|6400|23.82|23.632999|23.82|23.65|exchangetradedfund|-|-|-|-|0.62|-|usa|-|-|-|-|financial|-|-
LNGR|21|NASDAQ|2020|01|27|15|30|15000|23.9|23.459999|23.698|23.84|exchangetradedfund|-|-|-|-|0.62|-|usa|-|-|-|-|financial|-|-
LNGR|22|NASDAQ|2020|01|24|15|30|5900|24.4|23.799999|23.799999|24.110001|exchangetradedfund|-|-|-|-|0.62|-|usa|-|-|-|-|financial|-|-
LNGR|23|NASDAQ|2020|01|23|15|30|2800|24.32|24.09|24.24|24.09|exchangetradedfund|-|-|-|-|0.62|-|usa|-|-|-|-|financial|-|-
