empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
LRGE|0|NASDAQ|2020|02|26|15|30|16000|38.185001|37.202999|37.379002|38.099998|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|1|NASDAQ|2020|02|25|15|30|16100|39.110001|37.428001|37.506001|39.110001|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|2|NASDAQ|2020|02|24|15|30|23000|39.139999|38.630001|38.798|38.82|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|3|NASDAQ|2020|02|21|15|30|24200|40.540001|40.213001|40.290001|40.540001|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|4|NASDAQ|2020|02|20|15|30|12200|41.209999|40.57|40.84|41.16|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|5|NASDAQ|2020|02|19|15|30|9900|41.23|40.984001|41.153|41.07|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|6|NASDAQ|2020|02|18|15|30|14900|40.830002|40.610001|40.830002|40.759998|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|7|NASDAQ|2020|02|14|15|30|8000|40.681|40.535999|40.674999|40.535999|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|8|NASDAQ|2020|02|13|15|30|15000|40.738998|40.467999|40.514999|40.467999|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|9|NASDAQ|2020|02|12|15|30|9600|40.57|40.463001|40.544998|40.463001|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|10|NASDAQ|2020|02|11|15|30|15500|40.450001|40.070999|40.139999|40.450001|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|11|NASDAQ|2020|02|10|15|30|9900|40.095001|39.779999|40.095001|39.779999|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|12|NASDAQ|2020|02|07|15|30|23800|39.985001|39.715|39.77|39.98|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|13|NASDAQ|2020|02|06|15|30|19900|39.939999|39.700001|39.901001|39.77|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|14|NASDAQ|2020|02|05|15|30|44700|39.82|39.52|39.744999|39.790001|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|15|NASDAQ|2020|02|04|15|30|8800|39.540001|39.389999|39.441002|39.389999|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|16|NASDAQ|2020|02|03|15|30|18200|38.860001|38.688|38.771|38.688|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|17|NASDAQ|2020|01|31|15|30|18300|39.189999|38.299999|38.359001|39.189999|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|18|NASDAQ|2020|01|30|15|30|31000|39.049999|38.625|38.983002|38.845001|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|19|NASDAQ|2020|01|29|15|30|12900|39.400002|39.02|39.154999|39.129002|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|20|NASDAQ|2020|01|28|15|30|9600|39.167999|38.671001|39.091|38.779999|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|21|NASDAQ|2020|01|27|15|30|13700|38.799999|38.584|38.611|38.688999|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|22|NASDAQ|2020|01|24|15|30|8700|39.825001|39.169998|39.307999|39.825001|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|23|NASDAQ|2020|01|23|15|30|30000|39.830002|39.494999|39.75|39.830002|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|24|NASDAQ|2020|01|22|15|30|13400|40.029999|39.755001|39.810001|40.029999|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|25|NASDAQ|2020|01|21|15|30|18300|39.997002|39.610001|39.799999|39.73|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|26|NASDAQ|2020|01|17|15|30|8700|39.75|39.610001|39.75|39.701|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|27|NASDAQ|2020|01|16|15|30|22400|39.59|39.369999|39.575001|39.459999|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|28|NASDAQ|2020|01|15|15|30|16600|39.382999|39.200001|39.220001|39.279999|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|29|NASDAQ|2020|01|14|15|30|10700|39.293999|39.083|39.083|39.153999|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|30|NASDAQ|2020|01|13|15|30|8700|39.216999|38.950001|39.195999|38.98|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|31|NASDAQ|2020|01|10|15|30|16800|39.27|38.901001|38.956001|39.27|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|32|NASDAQ|2020|01|09|15|30|12000|39.007999|38.800999|39.005001|38.84|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|33|NASDAQ|2020|01|08|15|30|18800|38.839001|38.560001|38.700001|38.560001|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|34|NASDAQ|2020|01|07|15|30|16800|38.519001|38.412998|38.43|38.412998|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|35|NASDAQ|2020|01|06|15|30|9300|38.379002|38.040001|38.362999|38.040001|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|36|NASDAQ|2020|01|03|15|30|19200|38.368999|38.060001|38.255001|38.189999|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|37|NASDAQ|2020|01|02|15|30|24300|38.431|38.220001|38.431|38.220001|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|38|NASDAQ|2019|12|31|15|30|18700|38.060001|37.806999|38.060001|37.880001|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|39|NASDAQ|2019|12|30|15|30|28500|38.27|37.838001|37.881001|38.27|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|40|NASDAQ|2019|12|27|15|30|10500|38.290001|38.169998|38.189999|38.285|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|41|NASDAQ|2019|12|26|15|30|17600|38.195|37.993999|38.195|37.993999|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|42|NASDAQ|2019|12|24|15|30|8800|38.25|38.029999|38.09|38.25|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|43|NASDAQ|2019|12|23|15|30|20300|38.150002|38.049999|38.084999|38.111|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|44|NASDAQ|2019|12|20|15|30|16600|38.119999|38.042999|38.063|38.07|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|45|NASDAQ|2019|12|19|15|30|18300|37.93|37.630001|37.893002|37.630001|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|46|NASDAQ|2019|12|18|15|30|13700|37.830002|37.689999|37.716|37.830002|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|47|NASDAQ|2019|12|17|15|30|14100|37.889999|37.624001|37.685001|37.889999|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|48|NASDAQ|2019|12|16|15|30|11800|37.759998|37.549999|37.724998|37.759998|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|49|NASDAQ|2019|12|13|15|30|16300|37.514|37.209999|37.389999|37.41|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|50|NASDAQ|2019|12|12|15|30|15600|37.472|37.040001|37.377998|37.040001|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|51|NASDAQ|2019|12|11|15|30|12500|37.139999|36.939999|37.101002|37.007|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|52|NASDAQ|2019|12|10|15|30|79000|37.209999|36.951|36.976002|37.009998|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|53|NASDAQ|2019|12|09|15|30|9200|37.196999|37.081001|37.099998|37.171001|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|54|NASDAQ|2019|12|06|15|30|12900|37.220001|37.130001|37.139999|37.200001|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|55|NASDAQ|2019|12|05|15|30|18300|37.080002|36.740002|36.84|37.080002|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|56|NASDAQ|2019|12|04|15|30|8300|36.981998|36.817001|36.817001|36.938999|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|57|NASDAQ|2019|12|03|15|30|20000|36.73|36.476002|36.73|36.52|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|58|NASDAQ|2019|12|02|15|30|7600|37.25|36.875|36.988998|37.25|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|59|NASDAQ|2019|11|29|15|30|8500|37.490002|37.32|37.32|37.490002|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|60|NASDAQ|2019|11|27|15|30|19700|37.509998|37.389999|37.459999|37.5|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|61|NASDAQ|2019|11|26|15|30|18500|37.290001|37.18|37.195|37.290001|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|62|NASDAQ|2019|11|25|15|30|22400|37.205002|37.034|37.130001|37.034|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|63|NASDAQ|2019|11|22|15|30|16100|36.93|36.735001|36.806|36.93|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|64|NASDAQ|2019|11|21|15|30|14300|36.810001|36.710999|36.73|36.790001|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|65|NASDAQ|2019|11|20|15|30|8100|36.970001|36.665001|36.75|36.939999|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|66|NASDAQ|2019|11|19|15|30|8600|37.09|36.91|36.93|37.09|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|67|NASDAQ|2019|11|18|15|30|11300|36.990002|36.75|36.897999|36.75|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
LRGE|68|NASDAQ|2019|11|15|15|30|5700|36.869999|36.757|36.757999|36.778999|exchangetradedfund|-|-|-|-|0.39|-|usa|-|-|-|-|financial|-|-
