empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
MACK|0|NASDAQ|2020|02|26|15|30|24800|3.11|2.96|3.03|3.06|biotechnology|3.36|4.7|4.7|-|-|27|usa|0|0|-|Mar 18 BMO|healthcare|57.299999|43.150002
MACK|1|NASDAQ|2020|02|25|15|30|40400|3.21|3.02|3.04|3.21|biotechnology|3.36|4.7|4.7|-|-|27|usa|0|0|-|Mar 18 BMO|healthcare|57.299999|43.150002
MACK|2|NASDAQ|2020|02|24|15|30|23500|3.24|3.15|3.2|3.21|biotechnology|3.36|4.7|4.7|-|-|27|usa|0|0|-|Mar 18 BMO|healthcare|57.299999|43.150002
MACK|3|NASDAQ|2020|02|21|15|30|28700|3.25|3.15|3.22|3.18|biotechnology|3.36|4.7|4.7|-|-|27|usa|0|0|-|Mar 18 BMO|healthcare|57.299999|43.150002
MACK|4|NASDAQ|2020|02|20|15|30|37700|3.19|3.05|3.17|3.08|biotechnology|3.36|4.7|4.7|-|-|27|usa|0|0|-|Mar 18 BMO|healthcare|57.299999|43.150002
MACK|5|NASDAQ|2020|02|19|15|30|6900|3.12|3.07|3.09|3.11|biotechnology|3.36|4.7|4.7|-|-|27|usa|0|0|-|Mar 18 BMO|healthcare|57.299999|43.150002
MACK|6|NASDAQ|2020|02|18|15|30|6500|3.13|3.07|3.1|3.09|biotechnology|3.36|4.7|4.7|-|-|27|usa|0|0|-|Mar 18 BMO|healthcare|57.299999|43.150002
MACK|7|NASDAQ|2020|02|14|15|30|20800|3.18|3.05|3.13|3.18|biotechnology|3.36|4.7|4.7|-|-|27|usa|0|0|-|Mar 18 BMO|healthcare|57.299999|43.150002
MACK|8|NASDAQ|2020|02|13|15|30|79600|3.3|3.03|3.16|3.08|biotechnology|3.36|4.7|4.7|-|-|27|usa|0|0|-|Mar 18 BMO|healthcare|57.299999|43.150002
MACK|9|NASDAQ|2020|02|12|15|30|36900|3.15|3.04|3.08|3.12|biotechnology|3.36|4.7|4.7|-|-|27|usa|0|0|-|Mar 18 BMO|healthcare|57.299999|43.150002
MACK|10|NASDAQ|2020|02|11|15|30|15600|3.11|3.06|3.1|3.07|biotechnology|3.36|4.7|4.7|-|-|27|usa|0|0|-|Mar 18 BMO|healthcare|57.299999|43.150002
MACK|11|NASDAQ|2020|02|10|15|30|18600|3.16|3.06|3.09|3.16|biotechnology|3.36|4.7|4.7|-|-|27|usa|0|0|-|Mar 18 BMO|healthcare|57.299999|43.150002
MACK|12|NASDAQ|2020|02|07|15|30|27800|3.18|3.07|3.15|3.13|biotechnology|3.36|4.7|4.7|-|-|27|usa|0|0|-|Mar 18 BMO|healthcare|57.299999|43.150002
MACK|13|NASDAQ|2020|02|06|15|30|34400|3.27|3.09|3.13|3.27|biotechnology|3.36|4.7|4.7|-|-|27|usa|0|0|-|Mar 18 BMO|healthcare|57.299999|43.150002
MACK|14|NASDAQ|2020|02|05|15|30|62000|3.4|3.08|3.22|3.19|biotechnology|3.36|4.7|4.7|-|-|27|usa|0|0|-|Mar 18 BMO|healthcare|57.299999|43.150002
MACK|15|NASDAQ|2020|02|04|15|30|27100|3.22|3.04|3.21|3.09|biotechnology|3.36|4.7|4.7|-|-|27|usa|0|0|-|Mar 18 BMO|healthcare|57.299999|43.150002
MACK|16|NASDAQ|2020|02|03|15|30|27000|3.2|3.04|3.06|3.04|biotechnology|3.36|4.7|4.7|-|-|27|usa|0|0|-|Mar 18 BMO|healthcare|57.299999|43.150002
MACK|17|NASDAQ|2020|01|31|15|30|71900|3.09|3.01|3.07|3.09|biotechnology|3.36|4.7|4.7|-|-|27|usa|0|0|-|Mar 18 BMO|healthcare|57.299999|43.150002
