empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
MCRB|0|NASDAQ|2020|02|26|15|30|144200|3.57|3.36|3.57|3.37|biotechnology|0.3|2.2|2.2|-|-|201|usa|-|-|-31.200001|Mar 02 BMO|healthcare|81.300003|251.610001
MCRB|1|NASDAQ|2020|02|25|15|30|156100|3.622|3.26|3.36|3.53|biotechnology|0.3|2.2|2.2|-|-|201|usa|-|-|-31.200001|Mar 02 BMO|healthcare|81.300003|251.610001
MCRB|2|NASDAQ|2020|02|24|15|30|126300|3.71|3.5|3.52|3.7|biotechnology|0.3|2.2|2.2|-|-|201|usa|-|-|-31.200001|Mar 02 BMO|healthcare|81.300003|251.610001
MCRB|3|NASDAQ|2020|02|21|15|30|204100|3.9|3.7|3.82|3.82|biotechnology|0.3|2.2|2.2|-|-|201|usa|-|-|-31.200001|Mar 02 BMO|healthcare|81.300003|251.610001
MCRB|4|NASDAQ|2020|02|20|15|30|196900|3.9|3.61|3.81|3.61|biotechnology|0.3|2.2|2.2|-|-|201|usa|-|-|-31.200001|Mar 02 BMO|healthcare|81.300003|251.610001
MCRB|5|NASDAQ|2020|02|19|15|30|282600|3.95|3.57|3.61|3.66|biotechnology|0.3|2.2|2.2|-|-|201|usa|-|-|-31.200001|Mar 02 BMO|healthcare|81.300003|251.610001
MCRB|6|NASDAQ|2020|02|18|15|30|157400|3.84|3.421|3.62|3.51|biotechnology|0.3|2.2|2.2|-|-|201|usa|-|-|-31.200001|Mar 02 BMO|healthcare|81.300003|251.610001
MCRB|7|NASDAQ|2020|02|14|15|30|186300|3.74|3.49|3.51|3.55|biotechnology|0.3|2.2|2.2|-|-|201|usa|-|-|-31.200001|Mar 02 BMO|healthcare|81.300003|251.610001
MCRB|8|NASDAQ|2020|02|13|15|30|172400|3.65|3.44|3.56|3.6|biotechnology|0.3|2.2|2.2|-|-|201|usa|-|-|-31.200001|Mar 02 BMO|healthcare|81.300003|251.610001
MCRB|9|NASDAQ|2020|02|12|15|30|177100|3.76|3.57|3.6|3.69|biotechnology|0.3|2.2|2.2|-|-|201|usa|-|-|-31.200001|Mar 02 BMO|healthcare|81.300003|251.610001
