empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
MDRX|0|NASDAQ|2020|02|26|15|30|2765700|8.39|8.16|8.19|8.28|applicationsoftware|2.1|0.7|0.7|-|-|9600|usa|0.71|0.43|9.3|Mar 02 AMC|technology|-|1240
MDRX|1|NASDAQ|2020|02|25|15|30|1810400|8.42|8.1|8.21|8.39|applicationsoftware|2.1|0.7|0.7|-|-|9600|usa|0.71|0.43|9.3|Mar 02 AMC|technology|-|1240
MDRX|2|NASDAQ|2020|02|24|15|30|1461600|8.42|8.19|8.37|8.25|applicationsoftware|2.1|0.7|0.7|-|-|9600|usa|0.71|0.43|9.3|Mar 02 AMC|technology|-|1240
MDRX|3|NASDAQ|2020|02|21|15|30|1404000|8.71|8.43|8.53|8.69|applicationsoftware|2.1|0.7|0.7|-|-|9600|usa|0.71|0.43|9.3|Mar 02 AMC|technology|-|1240
MDRX|4|NASDAQ|2020|02|20|15|30|1139700|8.81|8.63|8.73|8.72|applicationsoftware|2.1|0.7|0.7|-|-|9600|usa|0.71|0.43|9.3|Mar 02 AMC|technology|-|1240
MDRX|5|NASDAQ|2020|02|19|15|30|1275100|8.95|8.69|8.69|8.86|applicationsoftware|2.1|0.7|0.7|-|-|9600|usa|0.71|0.43|9.3|Mar 02 AMC|technology|-|1240
MDRX|6|NASDAQ|2020|02|18|15|30|752600|8.96|8.77|8.86|8.83|applicationsoftware|2.1|0.7|0.7|-|-|9600|usa|0.71|0.43|9.3|Mar 02 AMC|technology|-|1240
MDRX|7|NASDAQ|2020|02|14|15|30|1214200|9.11|8.74|8.85|9.08|applicationsoftware|2.1|0.7|0.7|-|-|9600|usa|0.71|0.43|9.3|Mar 02 AMC|technology|-|1240
MDRX|8|NASDAQ|2020|02|13|15|30|1002500|9.12|8.98|9.06|9.09|applicationsoftware|2.1|0.7|0.7|-|-|9600|usa|0.71|0.43|9.3|Mar 02 AMC|technology|-|1240
MDRX|9|NASDAQ|2020|02|12|15|30|1782300|9.3|9.07|9.13|9.24|applicationsoftware|2.1|0.7|0.7|-|-|9600|usa|0.71|0.43|9.3|Mar 02 AMC|technology|-|1240
MDRX|10|NASDAQ|2020|02|11|15|30|1508800|9.39|9.04|9.14|9.11|applicationsoftware|2.1|0.7|0.7|-|-|9600|usa|0.71|0.43|9.3|Mar 02 AMC|technology|-|1240
MDRX|11|NASDAQ|2020|02|10|15|30|672600|9.1|8.92|9.05|9|applicationsoftware|2.1|0.7|0.7|-|-|9600|usa|0.71|0.43|9.3|Mar 02 AMC|technology|-|1240
MDRX|12|NASDAQ|2020|02|07|15|30|998400|9.11|8.88|9.08|9.1|applicationsoftware|2.1|0.7|0.7|-|-|9600|usa|0.71|0.43|9.3|Mar 02 AMC|technology|-|1240
MDRX|13|NASDAQ|2020|02|06|15|30|2264100|9.3|9.01|9.12|9.13|applicationsoftware|2.1|0.7|0.7|-|-|9600|usa|0.71|0.43|9.3|Mar 02 AMC|technology|-|1240
MDRX|14|NASDAQ|2020|02|05|15|30|2693000|9.1|8.72|9.08|8.76|applicationsoftware|2.1|0.7|0.7|-|-|9600|usa|0.71|0.43|9.3|Mar 02 AMC|technology|-|1240
MDRX|15|NASDAQ|2020|02|04|15|30|1323100|8.87|8.62|8.64|8.82|applicationsoftware|2.1|0.7|0.7|-|-|9600|usa|0.71|0.43|9.3|Mar 02 AMC|technology|-|1240
MDRX|16|NASDAQ|2020|02|03|15|30|1651000|8.92|8.59|8.69|8.65|applicationsoftware|2.1|0.7|0.7|-|-|9600|usa|0.71|0.43|9.3|Mar 02 AMC|technology|-|1240
MDRX|17|NASDAQ|2020|01|31|15|30|2702900|8.91|8.5|8.58|8.89|applicationsoftware|2.1|0.7|0.7|-|-|9600|usa|0.71|0.43|9.3|Mar 02 AMC|technology|-|1240
MDRX|18|NASDAQ|2020|01|30|15|30|1492400|8.98|8.69|8.94|8.94|applicationsoftware|2.1|0.7|0.7|-|-|9600|usa|0.71|0.43|9.3|Mar 02 AMC|technology|-|1240
MDRX|19|NASDAQ|2020|01|29|15|30|1382000|9.17|8.96|9|9.11|applicationsoftware|2.1|0.7|0.7|-|-|9600|usa|0.71|0.43|9.3|Mar 02 AMC|technology|-|1240
MDRX|20|NASDAQ|2020|01|28|15|30|1067200|9.2|8.92|9.1|8.96|applicationsoftware|2.1|0.7|0.7|-|-|9600|usa|0.71|0.43|9.3|Mar 02 AMC|technology|-|1240
MDRX|21|NASDAQ|2020|01|27|15|30|1806300|8.99|8.74|8.91|8.82|applicationsoftware|2.1|0.7|0.7|-|-|9600|usa|0.71|0.43|9.3|Mar 02 AMC|technology|-|1240
MDRX|22|NASDAQ|2020|01|24|15|30|2537100|9.15|8.86|8.98|9.15|applicationsoftware|2.1|0.7|0.7|-|-|9600|usa|0.71|0.43|9.3|Mar 02 AMC|technology|-|1240
MDRX|23|NASDAQ|2020|01|23|15|30|1687400|9.21|8.89|9.16|9.13|applicationsoftware|2.1|0.7|0.7|-|-|9600|usa|0.71|0.43|9.3|Mar 02 AMC|technology|-|1240
MDRX|24|NASDAQ|2020|01|22|15|30|3170800|9.44|9.14|9.14|9.41|applicationsoftware|2.1|0.7|0.7|-|-|9600|usa|0.71|0.43|9.3|Mar 02 AMC|technology|-|1240
MDRX|25|NASDAQ|2020|01|21|15|30|1344200|9.66|9.39|9.43|9.66|applicationsoftware|2.1|0.7|0.7|-|-|9600|usa|0.71|0.43|9.3|Mar 02 AMC|technology|-|1240
MDRX|26|NASDAQ|2020|01|17|15|30|1753500|9.86|9.64|9.7|9.86|applicationsoftware|2.1|0.7|0.7|-|-|9600|usa|0.71|0.43|9.3|Mar 02 AMC|technology|-|1240
MDRX|27|NASDAQ|2020|01|16|15|30|3778500|9.88|9.68|9.85|9.73|applicationsoftware|2.1|0.7|0.7|-|-|9600|usa|0.71|0.43|9.3|Mar 02 AMC|technology|-|1240
MDRX|28|NASDAQ|2020|01|15|15|30|3314900|9.84|9.43|9.65|9.44|applicationsoftware|2.1|0.7|0.7|-|-|9600|usa|0.71|0.43|9.3|Mar 02 AMC|technology|-|1240
MDRX|29|NASDAQ|2020|01|14|15|30|2519900|9.5|9.13|9.47|9.37|applicationsoftware|2.1|0.7|0.7|-|-|9600|usa|0.71|0.43|9.3|Mar 02 AMC|technology|-|1240
MDRX|30|NASDAQ|2020|01|13|15|30|5189200|9.57|9.4|9.51|9.52|applicationsoftware|2.1|0.7|0.7|-|-|9600|usa|0.71|0.43|9.3|Mar 02 AMC|technology|-|1240
MDRX|31|NASDAQ|2020|01|10|15|30|2611900|9.69|9.46|9.55|9.59|applicationsoftware|2.1|0.7|0.7|-|-|9600|usa|0.71|0.43|9.3|Mar 02 AMC|technology|-|1240
MDRX|32|NASDAQ|2020|01|09|15|30|2355800|9.76|9.54|9.56|9.63|applicationsoftware|2.1|0.7|0.7|-|-|9600|usa|0.71|0.43|9.3|Mar 02 AMC|technology|-|1240
MDRX|33|NASDAQ|2020|01|08|15|30|2341700|9.74|9.45|9.62|9.49|applicationsoftware|2.1|0.7|0.7|-|-|9600|usa|0.71|0.43|9.3|Mar 02 AMC|technology|-|1240
MDRX|34|NASDAQ|2020|01|07|15|30|2440600|9.65|9.4|9.55|9.63|applicationsoftware|2.1|0.7|0.7|-|-|9600|usa|0.71|0.43|9.3|Mar 02 AMC|technology|-|1240
MDRX|35|NASDAQ|2020|01|06|15|30|2163400|9.73|9.39|9.69|9.56|applicationsoftware|2.1|0.7|0.7|-|-|9600|usa|0.71|0.43|9.3|Mar 02 AMC|technology|-|1240
MDRX|36|NASDAQ|2020|01|03|15|30|1252300|9.69|9.43|9.63|9.55|applicationsoftware|2.1|0.7|0.7|-|-|9600|usa|0.71|0.43|9.3|Mar 02 AMC|technology|-|1240
MDRX|37|NASDAQ|2020|01|02|15|30|1809600|9.85|9.53|9.69|9.85|applicationsoftware|2.1|0.7|0.7|-|-|9600|usa|0.71|0.43|9.3|Mar 02 AMC|technology|-|1240
MDRX|38|NASDAQ|2019|12|31|15|30|1630800|9.92|9.72|9.82|9.82|applicationsoftware|2.1|0.7|0.7|-|-|9600|usa|0.71|0.43|9.3|Mar 02 AMC|technology|-|1240
