empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
MJCO|0|NASDAQ|2020|02|26|15|30|28000|7.297|6.705|6.85|7.297|applicationsoftware|79.099998|2|2|40.610001|-|2682|usa|0|0|-|Feb 03 AMC|technology|9.7|290.109985
MJCO|1|NASDAQ|2020|02|25|15|30|10300|7.19|7.08|7.16|7.14|applicationsoftware|79.099998|2|2|40.610001|-|2682|usa|0|0|-|Feb 03 AMC|technology|9.7|290.109985
MJCO|2|NASDAQ|2020|02|24|15|30|10300|7.21|7.06|7.11|7.21|applicationsoftware|79.099998|2|2|40.610001|-|2682|usa|0|0|-|Feb 03 AMC|technology|9.7|290.109985
MJCO|3|NASDAQ|2020|02|21|15|30|8900|7.48|7.17|7.38|7.24|applicationsoftware|79.099998|2|2|40.610001|-|2682|usa|0|0|-|Feb 03 AMC|technology|9.7|290.109985
MJCO|4|NASDAQ|2020|02|20|15|30|15700|7.26|7.058|7.22|7.1|applicationsoftware|79.099998|2|2|40.610001|-|2682|usa|0|0|-|Feb 03 AMC|technology|9.7|290.109985
MJCO|5|NASDAQ|2020|02|19|15|30|6800|7.18|7.1|7.1|7.18|applicationsoftware|79.099998|2|2|40.610001|-|2682|usa|0|0|-|Feb 03 AMC|technology|9.7|290.109985
MJCO|6|NASDAQ|2020|02|18|15|30|8100|7.22|7.1|7.17|7.1|applicationsoftware|79.099998|2|2|40.610001|-|2682|usa|0|0|-|Feb 03 AMC|technology|9.7|290.109985
MJCO|7|NASDAQ|2020|02|14|15|30|5500|7.2|7.1|7.12|7.1|applicationsoftware|79.099998|2|2|40.610001|-|2682|usa|0|0|-|Feb 03 AMC|technology|9.7|290.109985
MJCO|8|NASDAQ|2020|02|13|15|30|12700|7.37|7.13|7.13|7.2|applicationsoftware|79.099998|2|2|40.610001|-|2682|usa|0|0|-|Feb 03 AMC|technology|9.7|290.109985
MJCO|9|NASDAQ|2020|02|12|15|30|11100|7.45|7.2|7.3|7.3|applicationsoftware|79.099998|2|2|40.610001|-|2682|usa|0|0|-|Feb 03 AMC|technology|9.7|290.109985
MJCO|10|NASDAQ|2020|02|11|15|30|3800|7.656|7.21|7.33|7.656|applicationsoftware|79.099998|2|2|40.610001|-|2682|usa|0|0|-|Feb 03 AMC|technology|9.7|290.109985
MJCO|11|NASDAQ|2020|02|10|15|30|8700|7.28|7.2|7.22|7.2|applicationsoftware|79.099998|2|2|40.610001|-|2682|usa|0|0|-|Feb 03 AMC|technology|9.7|290.109985
MJCO|12|NASDAQ|2020|02|07|15|30|50900|7.55|6.95|6.95|7.55|applicationsoftware|79.099998|2|2|40.610001|-|2682|usa|0|0|-|Feb 03 AMC|technology|9.7|290.109985
MJCO|13|NASDAQ|2020|02|06|15|30|2500|7.64|7.49|7.57|7.49|applicationsoftware|79.099998|2|2|40.610001|-|2682|usa|0|0|-|Feb 03 AMC|technology|9.7|290.109985
MJCO|14|NASDAQ|2020|02|05|15|30|19500|7.81|7.47|7.47|7.81|applicationsoftware|79.099998|2|2|40.610001|-|2682|usa|0|0|-|Feb 03 AMC|technology|9.7|290.109985
MJCO|15|NASDAQ|2020|02|04|15|30|18900|7.82|7.086|7.66|7.44|applicationsoftware|79.099998|2|2|40.610001|-|2682|usa|0|0|-|Feb 03 AMC|technology|9.7|290.109985
MJCO|16|NASDAQ|2020|02|03|15|30|26100|7.55|7.09|7.31|7.292|applicationsoftware|79.099998|2|2|40.610001|-|2682|usa|0|0|-|Feb 03 AMC|technology|9.7|290.109985
MJCO|17|NASDAQ|2020|01|31|15|30|12000|7.38|6.94|6.97|7.38|applicationsoftware|79.099998|2|2|40.610001|-|2682|usa|0|0|-|Feb 03 AMC|technology|9.7|290.109985
MJCO|18|NASDAQ|2020|01|30|15|30|1100|7.428|7.32|7.32|7.428|applicationsoftware|79.099998|2|2|40.610001|-|2682|usa|0|0|-|Feb 03 AMC|technology|9.7|290.109985
MJCO|19|NASDAQ|2020|01|29|15|30|2200|7.523|7.39|7.42|7.523|applicationsoftware|79.099998|2|2|40.610001|-|2682|usa|0|0|-|Feb 03 AMC|technology|9.7|290.109985
MJCO|20|NASDAQ|2020|01|28|15|30|7000|7.607|7.249|7.49|7.38|applicationsoftware|79.099998|2|2|40.610001|-|2682|usa|0|0|-|Feb 03 AMC|technology|9.7|290.109985
MJCO|21|NASDAQ|2020|01|27|15|30|7500|7.73|7.24|7.27|7.24|applicationsoftware|79.099998|2|2|40.610001|-|2682|usa|0|0|-|Feb 03 AMC|technology|9.7|290.109985
MJCO|22|NASDAQ|2020|01|24|15|30|7100|7.42|7.24|7.24|7.3|applicationsoftware|79.099998|2|2|40.610001|-|2682|usa|0|0|-|Feb 03 AMC|technology|9.7|290.109985
MJCO|23|NASDAQ|2020|01|23|15|30|2200|7.26|7.106|7.23|7.26|applicationsoftware|79.099998|2|2|40.610001|-|2682|usa|0|0|-|Feb 03 AMC|technology|9.7|290.109985
