empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
MRTX|0|NASDAQ|2020|02|26|15|30|502500|89.5|84.510002|88.669998|85.18|biotechnology|4.7|8.7|8.7|-|-|111|usa|0|0|-5|Mar 05 BMO|healthcare|99.599998|3880
MRTX|1|NASDAQ|2020|02|25|15|30|652700|90.57|82.059998|84.629997|87.099998|biotechnology|4.7|8.7|8.7|-|-|111|usa|0|0|-5|Mar 05 BMO|healthcare|99.599998|3880
MRTX|2|NASDAQ|2020|02|24|15|30|357800|91.949997|87.650002|88.720001|89.989998|biotechnology|4.7|8.7|8.7|-|-|111|usa|0|0|-5|Mar 05 BMO|healthcare|99.599998|3880
MRTX|3|NASDAQ|2020|02|21|15|30|418700|95.489998|91.959999|94.459999|93.93|biotechnology|4.7|8.7|8.7|-|-|111|usa|0|0|-5|Mar 05 BMO|healthcare|99.599998|3880
MRTX|4|NASDAQ|2020|02|20|15|30|343000|97.040001|92.470001|93.980003|96.800003|biotechnology|4.7|8.7|8.7|-|-|111|usa|0|0|-5|Mar 05 BMO|healthcare|99.599998|3880
MRTX|5|NASDAQ|2020|02|19|15|30|396900|99.339996|96.550003|97.489998|97.57|biotechnology|4.7|8.7|8.7|-|-|111|usa|0|0|-5|Mar 05 BMO|healthcare|99.599998|3880
MRTX|6|NASDAQ|2020|02|18|15|30|343500|97.889999|92.279999|96.720001|92.279999|biotechnology|4.7|8.7|8.7|-|-|111|usa|0|0|-5|Mar 05 BMO|healthcare|99.599998|3880
MRTX|7|NASDAQ|2020|02|14|15|30|196700|95.029999|91.389999|92.169998|94.419998|biotechnology|4.7|8.7|8.7|-|-|111|usa|0|0|-5|Mar 05 BMO|healthcare|99.599998|3880
MRTX|8|NASDAQ|2020|02|13|15|30|367000|97.440002|94.019997|94.599998|95.209999|biotechnology|4.7|8.7|8.7|-|-|111|usa|0|0|-5|Mar 05 BMO|healthcare|99.599998|3880
MRTX|9|NASDAQ|2020|02|12|15|30|283300|96.830002|92.709999|95.669998|94.199997|biotechnology|4.7|8.7|8.7|-|-|111|usa|0|0|-5|Mar 05 BMO|healthcare|99.599998|3880
