empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
NESR|0|NASDAQ|2020|02|26|15|30|405200|8.2|7.65|8.08|7.65|conglomerates|81.07|1.6|2|11.39|-|3590|usa|0.42|0.38|33.599998|Feb 26 BMO|conglomerates|37.400002|694
NESR|1|NASDAQ|2020|02|25|15|30|500000|8.16|7.74|7.88|7.96|conglomerates|81.07|1.6|2|11.39|-|3590|usa|0.42|0.38|33.599998|Feb 26 BMO|conglomerates|37.400002|694
NESR|2|NASDAQ|2020|02|24|15|30|263600|8.02|7.69|7.96|7.98|conglomerates|81.07|1.6|2|11.39|-|3590|usa|0.42|0.38|33.599998|Feb 26 BMO|conglomerates|37.400002|694
NESR|3|NASDAQ|2020|02|21|15|30|136600|8.28|7.99|8.26|8.09|conglomerates|81.07|1.6|2|11.39|-|3590|usa|0.42|0.38|33.599998|Feb 26 BMO|conglomerates|37.400002|694
NESR|4|NASDAQ|2020|02|20|15|30|73500|8.15|7.96|8.13|8.03|conglomerates|81.07|1.6|2|11.39|-|3590|usa|0.42|0.38|33.599998|Feb 26 BMO|conglomerates|37.400002|694
NESR|5|NASDAQ|2020|02|19|15|30|145900|8.04|7.86|8.01|7.91|conglomerates|81.07|1.6|2|11.39|-|3590|usa|0.42|0.38|33.599998|Feb 26 BMO|conglomerates|37.400002|694
NESR|6|NASDAQ|2020|02|18|15|30|88100|8.03|7.74|7.885|7.91|conglomerates|81.07|1.6|2|11.39|-|3590|usa|0.42|0.38|33.599998|Feb 26 BMO|conglomerates|37.400002|694
NESR|7|NASDAQ|2020|02|14|15|30|103300|8.1|7.81|7.97|8.07|conglomerates|81.07|1.6|2|11.39|-|3590|usa|0.42|0.38|33.599998|Feb 26 BMO|conglomerates|37.400002|694
NESR|8|NASDAQ|2020|02|13|15|30|187600|7.99|7.4|7.98|7.41|conglomerates|81.07|1.6|2|11.39|-|3590|usa|0.42|0.38|33.599998|Feb 26 BMO|conglomerates|37.400002|694
NESR|9|NASDAQ|2020|02|12|15|30|66600|7.45|7.14|7.42|7.16|conglomerates|81.07|1.6|2|11.39|-|3590|usa|0.42|0.38|33.599998|Feb 26 BMO|conglomerates|37.400002|694
NESR|10|NASDAQ|2020|02|11|15|30|68200|7.23|6.99|7.09|7.23|conglomerates|81.07|1.6|2|11.39|-|3590|usa|0.42|0.38|33.599998|Feb 26 BMO|conglomerates|37.400002|694
NESR|11|NASDAQ|2020|02|10|15|30|82200|7.44|7.06|7.11|7.18|conglomerates|81.07|1.6|2|11.39|-|3590|usa|0.42|0.38|33.599998|Feb 26 BMO|conglomerates|37.400002|694
NESR|12|NASDAQ|2020|02|07|15|30|91000|7.15|6.91|7.1|6.92|conglomerates|81.07|1.6|2|11.39|-|3590|usa|0.42|0.38|33.599998|Feb 26 BMO|conglomerates|37.400002|694
NESR|13|NASDAQ|2020|02|06|15|30|117800|7.13|6.9|7|7.03|conglomerates|81.07|1.6|2|11.39|-|3590|usa|0.42|0.38|33.599998|Feb 26 BMO|conglomerates|37.400002|694
NESR|14|NASDAQ|2020|02|05|15|30|145800|7.05|6.58|7.02|6.65|conglomerates|81.07|1.6|2|11.39|-|3590|usa|0.42|0.38|33.599998|Feb 26 BMO|conglomerates|37.400002|694
NESR|15|NASDAQ|2020|02|04|15|30|118900|6.77|6.54|6.615|6.63|conglomerates|81.07|1.6|2|11.39|-|3590|usa|0.42|0.38|33.599998|Feb 26 BMO|conglomerates|37.400002|694
NESR|16|NASDAQ|2020|02|03|15|30|123400|6.59|6.37|6.56|6.59|conglomerates|81.07|1.6|2|11.39|-|3590|usa|0.42|0.38|33.599998|Feb 26 BMO|conglomerates|37.400002|694
NESR|17|NASDAQ|2020|01|31|15|30|282200|6.99|6.48|6.59|6.82|conglomerates|81.07|1.6|2|11.39|-|3590|usa|0.42|0.38|33.599998|Feb 26 BMO|conglomerates|37.400002|694
NESR|18|NASDAQ|2020|01|30|15|30|172800|6.98|6.82|6.88|6.93|conglomerates|81.07|1.6|2|11.39|-|3590|usa|0.42|0.38|33.599998|Feb 26 BMO|conglomerates|37.400002|694
NESR|19|NASDAQ|2020|01|29|15|30|142800|7.15|6.87|6.91|7.14|conglomerates|81.07|1.6|2|11.39|-|3590|usa|0.42|0.38|33.599998|Feb 26 BMO|conglomerates|37.400002|694
NESR|20|NASDAQ|2020|01|28|15|30|126400|7.27|7.09|7.11|7.22|conglomerates|81.07|1.6|2|11.39|-|3590|usa|0.42|0.38|33.599998|Feb 26 BMO|conglomerates|37.400002|694
NESR|21|NASDAQ|2020|01|27|15|30|151100|7.39|7.15|7.2|7.34|conglomerates|81.07|1.6|2|11.39|-|3590|usa|0.42|0.38|33.599998|Feb 26 BMO|conglomerates|37.400002|694
NESR|22|NASDAQ|2020|01|24|15|30|128600|7.73|7.35|7.46|7.73|conglomerates|81.07|1.6|2|11.39|-|3590|usa|0.42|0.38|33.599998|Feb 26 BMO|conglomerates|37.400002|694
NESR|23|NASDAQ|2020|01|23|15|30|151800|8.07|7.59|7.7|8.07|conglomerates|81.07|1.6|2|11.39|-|3590|usa|0.42|0.38|33.599998|Feb 26 BMO|conglomerates|37.400002|694
NESR|24|NASDAQ|2020|01|22|15|30|375000|8.31|7.97|7.995|8.26|conglomerates|81.07|1.6|2|11.39|-|3590|usa|0.42|0.38|33.599998|Feb 26 BMO|conglomerates|37.400002|694
NESR|25|NASDAQ|2020|01|21|15|30|160000|8.66|8.24|8.27|8.66|conglomerates|81.07|1.6|2|11.39|-|3590|usa|0.42|0.38|33.599998|Feb 26 BMO|conglomerates|37.400002|694
