empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
NICK|0|NASDAQ|2020|02|26|15|30|4000|7.95|7.77|7.9|7.9|creditservices|1.5|-|-|-|-|279|usa|0|1.1|-|Jan 31 BMO|financial|63.299999|71.43
NICK|1|NASDAQ|2020|02|25|15|30|400|7.93|7.9|7.9|7.93|creditservices|1.5|-|-|-|-|279|usa|0|1.1|-|Jan 31 BMO|financial|63.299999|71.43
NICK|2|NASDAQ|2020|02|24|15|30|15700|8.15|8.01|8.01|8.15|creditservices|1.5|-|-|-|-|279|usa|0|1.1|-|Jan 31 BMO|financial|63.299999|71.43
NICK|3|NASDAQ|2020|02|21|15|30|4100|8.15|7.95|8.15|8|creditservices|1.5|-|-|-|-|279|usa|0|1.1|-|Jan 31 BMO|financial|63.299999|71.43
NICK|4|NASDAQ|2020|02|20|15|30|2500|8.19|7.94|7.94|8.19|creditservices|1.5|-|-|-|-|279|usa|0|1.1|-|Jan 31 BMO|financial|63.299999|71.43
NICK|5|NASDAQ|2020|02|19|15|30|3100|8.15|8.02|8.03|8.15|creditservices|1.5|-|-|-|-|279|usa|0|1.1|-|Jan 31 BMO|financial|63.299999|71.43
NICK|6|NASDAQ|2020|02|18|15|30|13800|8.07|7.93|7.93|8|creditservices|1.5|-|-|-|-|279|usa|0|1.1|-|Jan 31 BMO|financial|63.299999|71.43
NICK|7|NASDAQ|2020|02|14|15|30|3300|8.25|7.95|8.25|7.95|creditservices|1.5|-|-|-|-|279|usa|0|1.1|-|Jan 31 BMO|financial|63.299999|71.43
NICK|8|NASDAQ|2020|02|13|15|30|12000|8.2|8.1|8.2|8.1|creditservices|1.5|-|-|-|-|279|usa|0|1.1|-|Jan 31 BMO|financial|63.299999|71.43
NICK|9|NASDAQ|2020|02|12|15|30|900|8.29|8.11|8.11|8.29|creditservices|1.5|-|-|-|-|279|usa|0|1.1|-|Jan 31 BMO|financial|63.299999|71.43
NICK|10|NASDAQ|2020|02|11|15|30|0|8.26|8.26|8.26|8.26|creditservices|1.5|-|-|-|-|279|usa|0|1.1|-|Jan 31 BMO|financial|63.299999|71.43
NICK|11|NASDAQ|2020|02|10|15|30|400|8.26|8.26|8.26|8.26|creditservices|1.5|-|-|-|-|279|usa|0|1.1|-|Jan 31 BMO|financial|63.299999|71.43
NICK|12|NASDAQ|2020|02|07|15|30|1900|8.27|8.13|8.14|8.13|creditservices|1.5|-|-|-|-|279|usa|0|1.1|-|Jan 31 BMO|financial|63.299999|71.43
NICK|13|NASDAQ|2020|02|06|15|30|158200|8.53|8.16|8.16|8.4|creditservices|1.5|-|-|-|-|279|usa|0|1.1|-|Jan 31 BMO|financial|63.299999|71.43
NICK|14|NASDAQ|2020|02|05|15|30|12800|8.59|8.38|8.38|8.5|creditservices|1.5|-|-|-|-|279|usa|0|1.1|-|Jan 31 BMO|financial|63.299999|71.43
NICK|15|NASDAQ|2020|02|04|15|30|3400|8.55|8.44|8.5|8.44|creditservices|1.5|-|-|-|-|279|usa|0|1.1|-|Jan 31 BMO|financial|63.299999|71.43
NICK|16|NASDAQ|2020|02|03|15|30|5000|8.54|8.37|8.37|8.5|creditservices|1.5|-|-|-|-|279|usa|0|1.1|-|Jan 31 BMO|financial|63.299999|71.43
NICK|17|NASDAQ|2020|01|31|15|30|24600|8.5|8.45|8.5|8.5|creditservices|1.5|-|-|-|-|279|usa|0|1.1|-|Jan 31 BMO|financial|63.299999|71.43
NICK|18|NASDAQ|2020|01|30|15|30|500|8.68|8.68|8.68|8.68|creditservices|1.5|-|-|-|-|279|usa|0|1.1|-|Jan 31 BMO|financial|63.299999|71.43
NICK|19|NASDAQ|2020|01|29|15|30|1400|8.62|8.38|8.6|8.38|creditservices|1.5|-|-|-|-|279|usa|0|1.1|-|Jan 31 BMO|financial|63.299999|71.43
NICK|20|NASDAQ|2020|01|28|15|30|500|8.31|7.82|8.31|7.82|creditservices|1.5|-|-|-|-|279|usa|0|1.1|-|Jan 31 BMO|financial|63.299999|71.43
NICK|21|NASDAQ|2020|01|27|15|30|1900|8.88|8.61|8.61|8.75|creditservices|1.5|-|-|-|-|279|usa|0|1.1|-|Jan 31 BMO|financial|63.299999|71.43
NICK|22|NASDAQ|2020|01|24|15|30|0|8.76|8.76|8.76|8.76|creditservices|1.5|-|-|-|-|279|usa|0|1.1|-|Jan 31 BMO|financial|63.299999|71.43
NICK|23|NASDAQ|2020|01|23|15|30|400|8.76|8.76|8.76|8.76|creditservices|1.5|-|-|-|-|279|usa|0|1.1|-|Jan 31 BMO|financial|63.299999|71.43
NICK|24|NASDAQ|2020|01|22|15|30|10800|9.02|8.51|8.76|8.51|creditservices|1.5|-|-|-|-|279|usa|0|1.1|-|Jan 31 BMO|financial|63.299999|71.43
NICK|25|NASDAQ|2020|01|21|15|30|8000|8.51|8.42|8.44|8.42|creditservices|1.5|-|-|-|-|279|usa|0|1.1|-|Jan 31 BMO|financial|63.299999|71.43
NICK|26|NASDAQ|2020|01|17|15|30|20900|8.46|8.4|8.41|8.45|creditservices|1.5|-|-|-|-|279|usa|0|1.1|-|Jan 31 BMO|financial|63.299999|71.43
NICK|27|NASDAQ|2020|01|16|15|30|2100|8.5|8.4|8.4|8.42|creditservices|1.5|-|-|-|-|279|usa|0|1.1|-|Jan 31 BMO|financial|63.299999|71.43
NICK|28|NASDAQ|2020|01|15|15|30|1700|8.44|8.24|8.24|8.44|creditservices|1.5|-|-|-|-|279|usa|0|1.1|-|Jan 31 BMO|financial|63.299999|71.43
NICK|29|NASDAQ|2020|01|14|15|30|600|8.21|8.21|8.21|8.21|creditservices|1.5|-|-|-|-|279|usa|0|1.1|-|Jan 31 BMO|financial|63.299999|71.43
NICK|30|NASDAQ|2020|01|13|15|30|700|8.3|8.3|8.3|8.3|creditservices|1.5|-|-|-|-|279|usa|0|1.1|-|Jan 31 BMO|financial|63.299999|71.43
NICK|31|NASDAQ|2020|01|10|15|30|2800|8.22|8.12|8.21|8.2|creditservices|1.5|-|-|-|-|279|usa|0|1.1|-|Jan 31 BMO|financial|63.299999|71.43
NICK|32|NASDAQ|2020|01|09|15|30|28500|8.31|8.12|8.31|8.3|creditservices|1.5|-|-|-|-|279|usa|0|1.1|-|Jan 31 BMO|financial|63.299999|71.43
NICK|33|NASDAQ|2020|01|08|15|30|7100|8.53|8.26|8.53|8.26|creditservices|1.5|-|-|-|-|279|usa|0|1.1|-|Jan 31 BMO|financial|63.299999|71.43
