empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
NMRK|0|NASDAQ|2020|02|26|15|30|930800|10.83|10.55|10.715|10.68|propertymanagement|4.77|1|1|14.76|4.56|5600|usa|1.4|0.98|8.41|Feb 13 BMO|financial|68.300003|1640
NMRK|1|NASDAQ|2020|02|25|15|30|1490700|11.284|10.53|10.62|11.13|propertymanagement|4.77|1|1|14.76|4.56|5600|usa|1.4|0.98|8.41|Feb 13 BMO|financial|68.300003|1640
NMRK|2|NASDAQ|2020|02|24|15|30|1488700|11.47|10.87|11.09|11.3|propertymanagement|4.77|1|1|14.76|4.56|5600|usa|1.4|0.98|8.41|Feb 13 BMO|financial|68.300003|1640
NMRK|3|NASDAQ|2020|02|21|15|30|791000|12.04|11.465|11.69|11.98|propertymanagement|4.77|1|1|14.76|4.56|5600|usa|1.4|0.98|8.41|Feb 13 BMO|financial|68.300003|1640
NMRK|4|NASDAQ|2020|02|20|15|30|1261100|12.11|11.65|12.04|11.78|propertymanagement|4.77|1|1|14.76|4.56|5600|usa|1.4|0.98|8.41|Feb 13 BMO|financial|68.300003|1640
NMRK|5|NASDAQ|2020|02|19|15|30|1322700|11.81|11.33|11.785|11.35|propertymanagement|4.77|1|1|14.76|4.56|5600|usa|1.4|0.98|8.41|Feb 13 BMO|financial|68.300003|1640
NMRK|6|NASDAQ|2020|02|18|15|30|2033700|11.55|11.11|11.32|11.44|propertymanagement|4.77|1|1|14.76|4.56|5600|usa|1.4|0.98|8.41|Feb 13 BMO|financial|68.300003|1640
NMRK|7|NASDAQ|2020|02|14|15|30|1296400|11.89|11.325|11.46|11.48|propertymanagement|4.77|1|1|14.76|4.56|5600|usa|1.4|0.98|8.41|Feb 13 BMO|financial|68.300003|1640
NMRK|8|NASDAQ|2020|02|13|15|30|2070900|12.062|11.16|11.79|11.71|propertymanagement|4.77|1|1|14.76|4.56|5600|usa|1.4|0.98|8.41|Feb 13 BMO|financial|68.300003|1640
NMRK|9|NASDAQ|2020|02|12|15|30|1251600|12.33|11.835|12.06|11.89|propertymanagement|4.77|1|1|14.76|4.56|5600|usa|1.4|0.98|8.41|Feb 13 BMO|financial|68.300003|1640
NMRK|10|NASDAQ|2020|02|11|15|30|1373500|12.27|11.71|11.73|12.17|propertymanagement|4.77|1|1|14.76|4.56|5600|usa|1.4|0.98|8.41|Feb 13 BMO|financial|68.300003|1640
NMRK|11|NASDAQ|2020|02|10|15|30|621600|12.12|11.75|12.12|11.82|propertymanagement|4.77|1|1|14.76|4.56|5600|usa|1.4|0.98|8.41|Feb 13 BMO|financial|68.300003|1640
NMRK|12|NASDAQ|2020|02|07|15|30|724500|12.2|11.765|11.83|12.17|propertymanagement|4.77|1|1|14.76|4.56|5600|usa|1.4|0.98|8.41|Feb 13 BMO|financial|68.300003|1640
NMRK|13|NASDAQ|2020|02|06|15|30|624600|12.46|12.24|12.26|12.35|propertymanagement|4.77|1|1|14.76|4.56|5600|usa|1.4|0.98|8.41|Feb 13 BMO|financial|68.300003|1640
