empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
NNBR|0|NASDAQ|2020|02|26|15|30|184200|8.35|7.84|7.91|8.25|machinetoolsaccessories|1.9|1.2|2|-|4.35|4967|usa|2.44|2.37|14.02|Mar 12 AMC|industrialgoods|99|276.429993
NNBR|1|NASDAQ|2020|02|25|15|30|228300|8.89|8.19|8.26|8.82|machinetoolsaccessories|1.9|1.2|2|-|4.35|4967|usa|2.44|2.37|14.02|Mar 12 AMC|industrialgoods|99|276.429993
NNBR|2|NASDAQ|2020|02|24|15|30|256900|8.87|8.32|8.83|8.68|machinetoolsaccessories|1.9|1.2|2|-|4.35|4967|usa|2.44|2.37|14.02|Mar 12 AMC|industrialgoods|99|276.429993
NNBR|3|NASDAQ|2020|02|21|15|30|155800|9.29|8.93|9.1|9.22|machinetoolsaccessories|1.9|1.2|2|-|4.35|4967|usa|2.44|2.37|14.02|Mar 12 AMC|industrialgoods|99|276.429993
NNBR|4|NASDAQ|2020|02|20|15|30|160200|9.32|8.83|9.26|8.88|machinetoolsaccessories|1.9|1.2|2|-|4.35|4967|usa|2.44|2.37|14.02|Mar 12 AMC|industrialgoods|99|276.429993
NNBR|5|NASDAQ|2020|02|19|15|30|159300|9.45|8.91|8.95|9.45|machinetoolsaccessories|1.9|1.2|2|-|4.35|4967|usa|2.44|2.37|14.02|Mar 12 AMC|industrialgoods|99|276.429993
NNBR|6|NASDAQ|2020|02|18|15|30|128500|9.7|9.32|9.44|9.48|machinetoolsaccessories|1.9|1.2|2|-|4.35|4967|usa|2.44|2.37|14.02|Mar 12 AMC|industrialgoods|99|276.429993
NNBR|7|NASDAQ|2020|02|14|15|30|192900|9.66|9.41|9.52|9.61|machinetoolsaccessories|1.9|1.2|2|-|4.35|4967|usa|2.44|2.37|14.02|Mar 12 AMC|industrialgoods|99|276.429993
NNBR|8|NASDAQ|2020|02|13|15|30|96400|9.63|9.38|9.6|9.58|machinetoolsaccessories|1.9|1.2|2|-|4.35|4967|usa|2.44|2.37|14.02|Mar 12 AMC|industrialgoods|99|276.429993
NNBR|9|NASDAQ|2020|02|12|15|30|153200|9.74|9.33|9.62|9.39|machinetoolsaccessories|1.9|1.2|2|-|4.35|4967|usa|2.44|2.37|14.02|Mar 12 AMC|industrialgoods|99|276.429993
NNBR|10|NASDAQ|2020|02|11|15|30|213000|9.4|8.94|9.26|8.94|machinetoolsaccessories|1.9|1.2|2|-|4.35|4967|usa|2.44|2.37|14.02|Mar 12 AMC|industrialgoods|99|276.429993
NNBR|11|NASDAQ|2020|02|10|15|30|271000|8.94|8.56|8.89|8.66|machinetoolsaccessories|1.9|1.2|2|-|4.35|4967|usa|2.44|2.37|14.02|Mar 12 AMC|industrialgoods|99|276.429993
NNBR|12|NASDAQ|2020|02|07|15|30|139000|8.83|8.41|8.68|8.83|machinetoolsaccessories|1.9|1.2|2|-|4.35|4967|usa|2.44|2.37|14.02|Mar 12 AMC|industrialgoods|99|276.429993
