empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
OBCI|0|NASDAQ|2020|02|26|15|30|269900|4.06|3.53|3.77|3.69|cleaningproducts|61.700001|3.8|6.5|14.78|-|114|usa|0.15|0.14|-|Mar 27 BMO|consumergoods|4.2|42.790001
OBCI|1|NASDAQ|2020|02|25|15|30|80000|3.9|3.51|3.68|3.88|cleaningproducts|61.700001|3.8|6.5|14.78|-|114|usa|0.15|0.14|-|Mar 27 BMO|consumergoods|4.2|42.790001
OBCI|2|NASDAQ|2020|02|24|15|30|263700|4.2|3.6|3.93|3.88|cleaningproducts|61.700001|3.8|6.5|14.78|-|114|usa|0.15|0.14|-|Mar 27 BMO|consumergoods|4.2|42.790001
OBCI|3|NASDAQ|2020|02|21|15|30|50700|3.65|3.41|3.62|3.41|cleaningproducts|61.700001|3.8|6.5|14.78|-|114|usa|0.15|0.14|-|Mar 27 BMO|consumergoods|4.2|42.790001
OBCI|4|NASDAQ|2020|02|20|15|30|5200|3.59|3.43|3.45|3.52|cleaningproducts|61.700001|3.8|6.5|14.78|-|114|usa|0.15|0.14|-|Mar 27 BMO|consumergoods|4.2|42.790001
OBCI|5|NASDAQ|2020|02|19|15|30|38800|3.59|3.4|3.53|3.4|cleaningproducts|61.700001|3.8|6.5|14.78|-|114|usa|0.15|0.14|-|Mar 27 BMO|consumergoods|4.2|42.790001
OBCI|6|NASDAQ|2020|02|18|15|30|19200|3.49|3.4|3.4|3.42|cleaningproducts|61.700001|3.8|6.5|14.78|-|114|usa|0.15|0.14|-|Mar 27 BMO|consumergoods|4.2|42.790001
OBCI|7|NASDAQ|2020|02|14|15|30|13000|3.51|3.41|3.43|3.43|cleaningproducts|61.700001|3.8|6.5|14.78|-|114|usa|0.15|0.14|-|Mar 27 BMO|consumergoods|4.2|42.790001
OBCI|8|NASDAQ|2020|02|13|15|30|23800|3.49|3.41|3.45|3.41|cleaningproducts|61.700001|3.8|6.5|14.78|-|114|usa|0.15|0.14|-|Mar 27 BMO|consumergoods|4.2|42.790001
OBCI|9|NASDAQ|2020|02|12|15|30|53700|3.64|3.42|3.45|3.62|cleaningproducts|61.700001|3.8|6.5|14.78|-|114|usa|0.15|0.14|-|Mar 27 BMO|consumergoods|4.2|42.790001
