empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
OVID|0|NASDAQ|2020|02|26|15|30|604400|3.33|3.07|3.23|3.28|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|1|NASDAQ|2020|02|25|15|30|1248200|3.51|3.24|3.26|3.45|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|2|NASDAQ|2020|02|24|15|30|653300|3.5|3.37|3.46|3.43|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|3|NASDAQ|2020|02|21|15|30|351300|3.65|3.51|3.54|3.62|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|4|NASDAQ|2020|02|20|15|30|694400|3.67|3.55|3.65|3.58|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|5|NASDAQ|2020|02|19|15|30|815300|3.84|3.5|3.62|3.81|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|6|NASDAQ|2020|02|18|15|30|708200|3.97|3.71|3.79|3.85|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|7|NASDAQ|2020|02|14|15|30|723700|4.15|3.785|3.82|4.11|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|8|NASDAQ|2020|02|13|15|30|624900|4.38|4.02|4.13|4.3|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|9|NASDAQ|2020|02|12|15|30|841900|4.48|3.99|4.35|3.99|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|10|NASDAQ|2020|02|11|15|30|354100|3.99|3.745|3.97|3.81|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|11|NASDAQ|2020|02|10|15|30|305400|3.93|3.75|3.79|3.84|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|12|NASDAQ|2020|02|07|15|30|342800|3.95|3.75|3.83|3.92|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|13|NASDAQ|2020|02|06|15|30|447000|4.01|3.75|3.94|3.97|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|14|NASDAQ|2020|02|05|15|30|692100|4.05|3.62|3.99|3.65|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|15|NASDAQ|2020|02|04|15|30|414600|3.69|3.51|3.65|3.59|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|16|NASDAQ|2020|02|03|15|30|259800|3.71|3.54|3.64|3.66|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|17|NASDAQ|2020|01|31|15|30|752300|3.71|3.39|3.6|3.4|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|18|NASDAQ|2020|01|30|15|30|497600|3.63|3.37|3.43|3.53|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|19|NASDAQ|2020|01|29|15|30|388100|3.59|3.35|3.59|3.43|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|20|NASDAQ|2020|01|28|15|30|423700|3.585|3.29|3.38|3.48|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|21|NASDAQ|2020|01|27|15|30|380800|3.52|3.28|3.43|3.46|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|22|NASDAQ|2020|01|24|15|30|363800|3.65|3.5|3.55|3.65|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|23|NASDAQ|2020|01|23|15|30|248500|3.85|3.624|3.65|3.85|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|24|NASDAQ|2020|01|22|15|30|538800|3.9|3.68|3.86|3.9|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|25|NASDAQ|2020|01|21|15|30|577300|4|3.77|3.85|4|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|26|NASDAQ|2020|01|17|15|30|484600|4.05|3.84|3.96|3.96|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|27|NASDAQ|2020|01|16|15|30|668200|4.02|3.73|3.9|3.76|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|28|NASDAQ|2020|01|15|15|30|468400|3.78|3.54|3.63|3.63|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|29|NASDAQ|2020|01|14|15|30|540800|3.72|3.345|3.6|3.55|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|30|NASDAQ|2020|01|13|15|30|858900|3.91|3.46|3.49|3.87|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|31|NASDAQ|2020|01|10|15|30|480300|4.05|3.84|3.85|4.05|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|32|NASDAQ|2020|01|09|15|30|361700|4.23|4.01|4.05|4.11|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|33|NASDAQ|2020|01|08|15|30|368700|4.17|3.99|4.03|4.12|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|34|NASDAQ|2020|01|07|15|30|508000|4.17|3.96|4.12|4.01|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|35|NASDAQ|2020|01|06|15|30|874300|4|3.68|3.92|3.89|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|36|NASDAQ|2020|01|03|15|30|842700|4.18|3.86|3.88|4.06|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|37|NASDAQ|2020|01|02|15|30|770400|4.3|4.01|4.1|4.22|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|38|NASDAQ|2019|12|31|15|30|1265900|4.45|4.02|4.15|4.34|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|39|NASDAQ|2019|12|30|15|30|694800|4.68|4.32|4.36|4.65|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|40|NASDAQ|2019|12|27|15|30|1062500|5.03|4.5|4.61|4.95|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|41|NASDAQ|2019|12|26|15|30|1201200|5.24|4.86|4.92|5.09|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|42|NASDAQ|2019|12|24|15|30|1039600|5.2|4.79|5.06|4.8|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|43|NASDAQ|2019|12|23|15|30|4306000|4.79|4.47|4.79|4.53|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|44|NASDAQ|2019|12|20|15|30|751300|4.52|4.22|4.52|4.37|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|45|NASDAQ|2019|12|19|15|30|763100|4.56|4.25|4.37|4.48|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|46|NASDAQ|2019|12|18|15|30|878600|4.54|4.28|4.42|4.51|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|47|NASDAQ|2019|12|17|15|30|1679800|4.65|4.06|4.45|4.15|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|48|NASDAQ|2019|12|16|15|30|644200|4.2|3.99|4.15|4.03|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|49|NASDAQ|2019|12|13|15|30|573900|4.17|3.97|4.03|4.09|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|50|NASDAQ|2019|12|12|15|30|573500|4.23|4.07|4.1|4.19|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|51|NASDAQ|2019|12|11|15|30|583700|4.33|4|4.15|4.32|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|52|NASDAQ|2019|12|10|15|30|917000|4.435|4.03|4.32|4.04|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|53|NASDAQ|2019|12|09|15|30|362900|4.12|4|4.03|4.05|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|54|NASDAQ|2019|12|06|15|30|387200|4.15|3.98|4.01|4.05|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|55|NASDAQ|2019|12|05|15|30|772500|4.08|3.59|3.99|4.06|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|56|NASDAQ|2019|12|04|15|30|546700|4.14|3.96|4.02|4.03|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|57|NASDAQ|2019|12|03|15|30|782100|4.2|3.85|4.01|4.1|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|58|NASDAQ|2019|12|02|15|30|1552600|4.445|3.89|4.23|4.28|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|59|NASDAQ|2019|11|29|15|30|1209300|4.4|3.77|4.26|3.81|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|60|NASDAQ|2019|11|27|15|30|1378100|3.895|3.04|3.72|3.13|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|61|NASDAQ|2019|11|26|15|30|455700|3.19|2.98|3.12|3.06|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|62|NASDAQ|2019|11|25|15|30|390000|3.13|2.8|3.05|2.81|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|63|NASDAQ|2019|11|22|15|30|436400|2.9|2.72|2.8|2.72|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|64|NASDAQ|2019|11|21|15|30|241600|2.85|2.62|2.68|2.7|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|65|NASDAQ|2019|11|20|15|30|444800|2.99|2.67|2.71|2.93|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
OVID|66|NASDAQ|2019|11|19|15|30|722800|3|2.775|2.89|2.78|biotechnology|9.9|3.8|3.8|-|-|54|usa|0|0|3.1|Mar 19 BMO|healthcare|37.200001|167.389999
