empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
RRD|0|NASDAQ|2020|02|26|15|30|902400|2.46|2.2|2.21|2.36|businessservices|2.6|1.1|1.3|-|7.55|36400|usa|-|-|-14.06|Feb 25 AMC|services|90.400002|124.800003
RRD|1|NASDAQ|2020|02|25|15|30|1104800|2.63|2.31|2.36|2.63|businessservices|2.6|1.1|1.3|-|7.55|36400|usa|-|-|-14.06|Feb 25 AMC|services|90.400002|124.800003
RRD|2|NASDAQ|2020|02|24|15|30|900100|2.71|2.35|2.64|2.44|businessservices|2.6|1.1|1.3|-|7.55|36400|usa|-|-|-14.06|Feb 25 AMC|services|90.400002|124.800003
RRD|3|NASDAQ|2020|02|21|15|30|944200|2.64|2.45|2.53|2.6|businessservices|2.6|1.1|1.3|-|7.55|36400|usa|-|-|-14.06|Feb 25 AMC|services|90.400002|124.800003
RRD|4|NASDAQ|2020|02|20|15|30|473700|2.85|2.6|2.61|2.77|businessservices|2.6|1.1|1.3|-|7.55|36400|usa|-|-|-14.06|Feb 25 AMC|services|90.400002|124.800003
RRD|5|NASDAQ|2020|02|19|15|30|663800|2.91|2.77|2.78|2.84|businessservices|2.6|1.1|1.3|-|7.55|36400|usa|-|-|-14.06|Feb 25 AMC|services|90.400002|124.800003
RRD|6|NASDAQ|2020|02|18|15|30|591300|2.85|2.68|2.81|2.73|businessservices|2.6|1.1|1.3|-|7.55|36400|usa|-|-|-14.06|Feb 25 AMC|services|90.400002|124.800003
RRD|7|NASDAQ|2020|02|14|15|30|1047500|3.03|2.74|2.75|3.02|businessservices|2.6|1.1|1.3|-|7.55|36400|usa|-|-|-14.06|Feb 25 AMC|services|90.400002|124.800003
RRD|8|NASDAQ|2020|02|13|15|30|669200|3.09|2.9|3.03|3.09|businessservices|2.6|1.1|1.3|-|7.55|36400|usa|-|-|-14.06|Feb 25 AMC|services|90.400002|124.800003
RRD|9|NASDAQ|2020|02|12|15|30|1379000|3.12|2.79|3.09|2.82|businessservices|2.6|1.1|1.3|-|7.55|36400|usa|-|-|-14.06|Feb 25 AMC|services|90.400002|124.800003
RRD|10|NASDAQ|2020|02|11|15|30|859300|2.82|2.61|2.75|2.65|businessservices|2.6|1.1|1.3|-|7.55|36400|usa|-|-|-14.06|Feb 25 AMC|services|90.400002|124.800003
RRD|11|NASDAQ|2020|02|10|15|30|975100|2.68|2.5|2.63|2.57|businessservices|2.6|1.1|1.3|-|7.55|36400|usa|-|-|-14.06|Feb 25 AMC|services|90.400002|124.800003
RRD|12|NASDAQ|2020|02|07|15|30|444400|2.68|2.54|2.59|2.65|businessservices|2.6|1.1|1.3|-|7.55|36400|usa|-|-|-14.06|Feb 25 AMC|services|90.400002|124.800003
RRD|13|NASDAQ|2020|02|06|15|30|790500|2.74|2.56|2.69|2.73|businessservices|2.6|1.1|1.3|-|7.55|36400|usa|-|-|-14.06|Feb 25 AMC|services|90.400002|124.800003
RRD|14|NASDAQ|2020|02|05|15|30|501000|2.73|2.5|2.69|2.5|businessservices|2.6|1.1|1.3|-|7.55|36400|usa|-|-|-14.06|Feb 25 AMC|services|90.400002|124.800003
RRD|15|NASDAQ|2020|02|04|15|30|686100|2.54|2.4|2.49|2.45|businessservices|2.6|1.1|1.3|-|7.55|36400|usa|-|-|-14.06|Feb 25 AMC|services|90.400002|124.800003
RRD|16|NASDAQ|2020|02|03|15|30|671000|2.47|2.36|2.39|2.44|businessservices|2.6|1.1|1.3|-|7.55|36400|usa|-|-|-14.06|Feb 25 AMC|services|90.400002|124.800003
RRD|17|NASDAQ|2020|01|31|15|30|642500|2.64|2.39|2.4|2.6|businessservices|2.6|1.1|1.3|-|7.55|36400|usa|-|-|-14.06|Feb 25 AMC|services|90.400002|124.800003
RRD|18|NASDAQ|2020|01|30|15|30|619300|2.71|2.54|2.59|2.64|businessservices|2.6|1.1|1.3|-|7.55|36400|usa|-|-|-14.06|Feb 25 AMC|services|90.400002|124.800003
RRD|19|NASDAQ|2020|01|29|15|30|923300|2.96|2.69|2.7|2.89|businessservices|2.6|1.1|1.3|-|7.55|36400|usa|-|-|-14.06|Feb 25 AMC|services|90.400002|124.800003
RRD|20|NASDAQ|2020|01|28|15|30|1155800|3.15|2.85|2.86|3.09|businessservices|2.6|1.1|1.3|-|7.55|36400|usa|-|-|-14.06|Feb 25 AMC|services|90.400002|124.800003
RRD|21|NASDAQ|2020|01|27|15|30|447600|3.2|3.05|3.06|3.14|businessservices|2.6|1.1|1.3|-|7.55|36400|usa|-|-|-14.06|Feb 25 AMC|services|90.400002|124.800003
RRD|22|NASDAQ|2020|01|24|15|30|451900|3.23|3.1|3.12|3.21|businessservices|2.6|1.1|1.3|-|7.55|36400|usa|-|-|-14.06|Feb 25 AMC|services|90.400002|124.800003
