empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
SBLK|0|NASDAQ|2020|02|26|15|30|676100|8.22|7.84|8.01|8.22|shipping|19.799999|-|0.9|-|2.46|176|greece|1.02|0.89|50.560001|Feb 19 AMC|services|63.200001|737.630005
SBLK|1|NASDAQ|2020|02|25|15|30|593500|8.44|8.13|8.2|8.28|shipping|19.799999|-|0.9|-|2.46|176|greece|1.02|0.89|50.560001|Feb 19 AMC|services|63.200001|737.630005
SBLK|2|NASDAQ|2020|02|24|15|30|793400|8.64|8.1|8.24|8.54|shipping|19.799999|-|0.9|-|2.46|176|greece|1.02|0.89|50.560001|Feb 19 AMC|services|63.200001|737.630005
SBLK|3|NASDAQ|2020|02|21|15|30|705200|9.24|8.91|9.03|9.06|shipping|19.799999|-|0.9|-|2.46|176|greece|1.02|0.89|50.560001|Feb 19 AMC|services|63.200001|737.630005
SBLK|4|NASDAQ|2020|02|20|15|30|1025800|9.87|8.68|9.15|9.26|shipping|19.799999|-|0.9|-|2.46|176|greece|1.02|0.89|50.560001|Feb 19 AMC|services|63.200001|737.630005
SBLK|5|NASDAQ|2020|02|19|15|30|557900|8.62|8.38|8.56|8.4|shipping|19.799999|-|0.9|-|2.46|176|greece|1.02|0.89|50.560001|Feb 19 AMC|services|63.200001|737.630005
SBLK|6|NASDAQ|2020|02|18|15|30|498200|8.54|8.3|8.32|8.51|shipping|19.799999|-|0.9|-|2.46|176|greece|1.02|0.89|50.560001|Feb 19 AMC|services|63.200001|737.630005
SBLK|7|NASDAQ|2020|02|14|15|30|237900|8.61|8.37|8.51|8.4|shipping|19.799999|-|0.9|-|2.46|176|greece|1.02|0.89|50.560001|Feb 19 AMC|services|63.200001|737.630005
SBLK|8|NASDAQ|2020|02|13|15|30|573800|8.56|8.23|8.37|8.55|shipping|19.799999|-|0.9|-|2.46|176|greece|1.02|0.89|50.560001|Feb 19 AMC|services|63.200001|737.630005
SBLK|9|NASDAQ|2020|02|12|15|30|588400|9|8.53|8.64|8.73|shipping|19.799999|-|0.9|-|2.46|176|greece|1.02|0.89|50.560001|Feb 19 AMC|services|63.200001|737.630005
SBLK|10|NASDAQ|2020|02|11|15|30|562400|8.81|8.15|8.68|8.15|shipping|19.799999|-|0.9|-|2.46|176|greece|1.02|0.89|50.560001|Feb 19 AMC|services|63.200001|737.630005
SBLK|11|NASDAQ|2020|02|10|15|30|399100|8.19|7.86|8.11|8.04|shipping|19.799999|-|0.9|-|2.46|176|greece|1.02|0.89|50.560001|Feb 19 AMC|services|63.200001|737.630005
SBLK|12|NASDAQ|2020|02|07|15|30|461700|8.1|7.82|8.03|8.1|shipping|19.799999|-|0.9|-|2.46|176|greece|1.02|0.89|50.560001|Feb 19 AMC|services|63.200001|737.630005
SBLK|13|NASDAQ|2020|02|06|15|30|600600|8.62|8.09|8.17|8.58|shipping|19.799999|-|0.9|-|2.46|176|greece|1.02|0.89|50.560001|Feb 19 AMC|services|63.200001|737.630005
SBLK|14|NASDAQ|2020|02|05|15|30|747700|8.63|8.42|8.53|8.6|shipping|19.799999|-|0.9|-|2.46|176|greece|1.02|0.89|50.560001|Feb 19 AMC|services|63.200001|737.630005
