empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
SBPH|0|NASDAQ|2020|02|26|15|30|386100|1.39|1.21|1.28|1.32|biotechnology|5.1|10.7|10.7|-|-|30|usa|0.54|0.54|43|Mar 09 AMC|healthcare|22.9|21.4
SBPH|1|NASDAQ|2020|02|25|15|30|955900|1.5|1.2|1.33|1.32|biotechnology|5.1|10.7|10.7|-|-|30|usa|0.54|0.54|43|Mar 09 AMC|healthcare|22.9|21.4
SBPH|2|NASDAQ|2020|02|24|15|30|54000|1.23|1.18|1.2|1.18|biotechnology|5.1|10.7|10.7|-|-|30|usa|0.54|0.54|43|Mar 09 AMC|healthcare|22.9|21.4
SBPH|3|NASDAQ|2020|02|21|15|30|67800|1.222|1.13|1.19|1.13|biotechnology|5.1|10.7|10.7|-|-|30|usa|0.54|0.54|43|Mar 09 AMC|healthcare|22.9|21.4
SBPH|4|NASDAQ|2020|02|20|15|30|129000|1.18|1.12|1.16|1.18|biotechnology|5.1|10.7|10.7|-|-|30|usa|0.54|0.54|43|Mar 09 AMC|healthcare|22.9|21.4
SBPH|5|NASDAQ|2020|02|19|15|30|151400|1.2|1.1|1.15|1.12|biotechnology|5.1|10.7|10.7|-|-|30|usa|0.54|0.54|43|Mar 09 AMC|healthcare|22.9|21.4
SBPH|6|NASDAQ|2020|02|18|15|30|131300|1.2|1.1|1.1|1.2|biotechnology|5.1|10.7|10.7|-|-|30|usa|0.54|0.54|43|Mar 09 AMC|healthcare|22.9|21.4
SBPH|7|NASDAQ|2020|02|14|15|30|142400|1.19|1.12|1.15|1.179|biotechnology|5.1|10.7|10.7|-|-|30|usa|0.54|0.54|43|Mar 09 AMC|healthcare|22.9|21.4
SBPH|8|NASDAQ|2020|02|13|15|30|102700|1.26|1.15|1.18|1.23|biotechnology|5.1|10.7|10.7|-|-|30|usa|0.54|0.54|43|Mar 09 AMC|healthcare|22.9|21.4
SBPH|9|NASDAQ|2020|02|12|15|30|75300|1.29|1.2|1.22|1.26|biotechnology|5.1|10.7|10.7|-|-|30|usa|0.54|0.54|43|Mar 09 AMC|healthcare|22.9|21.4
