empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
SFBC|0|NASDAQ|2020|02|26|15|30|400|36.209999|36|36|36.209999|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|1|NASDAQ|2020|02|25|15|30|300|36.419998|36.110001|36.110001|36.419998|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|2|NASDAQ|2020|02|24|15|30|200|36.68|36.68|36.68|36.68|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|3|NASDAQ|2020|02|21|15|30|100|37.689999|37.689999|37.689999|37.689999|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|4|NASDAQ|2020|02|20|15|30|2900|37.5|37.43|37.490002|37.5|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|5|NASDAQ|2020|02|19|15|30|8100|37.23|37.23|37.23|37.23|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|6|NASDAQ|2020|02|18|15|30|500|36.759998|36.759998|36.759998|36.759998|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|7|NASDAQ|2020|02|14|15|30|0|36.950001|36.950001|36.950001|36.950001|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|8|NASDAQ|2020|02|13|15|30|1800|37|36.860001|36.950001|36.860001|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|9|NASDAQ|2020|02|12|15|30|3200|37.200001|36.98|36.990002|37.200001|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|10|NASDAQ|2020|02|11|15|30|300|37.279999|37.279999|37.279999|37.279999|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|11|NASDAQ|2020|02|10|15|30|0|36.540001|36.540001|36.540001|36.540001|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|12|NASDAQ|2020|02|07|15|30|9300|36.540001|36.349998|36.540001|36.43|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|13|NASDAQ|2020|02|06|15|30|0|36.040001|36.040001|36.040001|36.040001|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|14|NASDAQ|2020|02|05|15|30|500|36.220001|36.040001|36.040001|36.220001|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|15|NASDAQ|2020|02|04|15|30|16900|36.150002|35.860001|36|35.860001|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|16|NASDAQ|2020|02|03|15|30|6300|36.669998|35.869999|35.91|36.59|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|17|NASDAQ|2020|01|31|15|30|4500|36.700001|36.650002|36.650002|36.689999|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|18|NASDAQ|2020|01|30|15|30|0|36.860001|36.860001|36.860001|36.860001|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|19|NASDAQ|2020|01|29|15|30|400|36.860001|36.82|36.860001|36.82|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|20|NASDAQ|2020|01|28|15|30|0|36.650002|36.650002|36.650002|36.650002|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|21|NASDAQ|2020|01|27|15|30|400|36.810001|36.650002|36.650002|36.810001|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|22|NASDAQ|2020|01|24|15|30|700|36.889999|36.650002|36.889999|36.650002|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|23|NASDAQ|2020|01|23|15|30|0|36.66|36.66|36.66|36.66|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|24|NASDAQ|2020|01|22|15|30|4700|37.099998|35.849998|36.66|37.099998|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|25|NASDAQ|2020|01|21|15|30|100|37.139999|37.139999|37.139999|37.139999|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|26|NASDAQ|2020|01|17|15|30|300|37.099998|37.099998|37.099998|37.099998|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|27|NASDAQ|2020|01|16|15|30|300|37.419998|37.349998|37.419998|37.349998|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|28|NASDAQ|2020|01|15|15|30|3100|37.509998|37.5|37.5|37.509998|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|29|NASDAQ|2020|01|14|15|30|200|37.5|37.5|37.5|37.5|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|30|NASDAQ|2020|01|13|15|30|0|37|37|37|37|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|31|NASDAQ|2020|01|10|15|30|0|37|37|37|37|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|32|NASDAQ|2020|01|09|15|30|300|37|37|37|37|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|33|NASDAQ|2020|01|08|15|30|0|36.380001|36.380001|36.380001|36.380001|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|34|NASDAQ|2020|01|07|15|30|100|36.380001|36.380001|36.380001|36.380001|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|35|NASDAQ|2020|01|06|15|30|11300|36.799999|35.849998|36|36.799999|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|36|NASDAQ|2020|01|03|15|30|1000|37.790001|36.259998|36.91|36.259998|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|37|NASDAQ|2020|01|02|15|30|0|36|36|36|36|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|38|NASDAQ|2019|12|31|15|30|5900|36.290001|35.849998|36|35.959999|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|39|NASDAQ|2019|12|30|15|30|1500|35.880001|35.880001|35.880001|35.880001|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|40|NASDAQ|2019|12|27|15|30|1100|36|36|36|36|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|41|NASDAQ|2019|12|26|15|30|0|35.93|35.93|35.93|35.93|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|42|NASDAQ|2019|12|24|15|30|0|35.93|35.93|35.93|35.93|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|43|NASDAQ|2019|12|23|15|30|700|35.93|35.880001|35.93|35.880001|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|44|NASDAQ|2019|12|20|15|30|900|36.169998|35.880001|35.91|36|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|45|NASDAQ|2019|12|19|15|30|600|35.919998|35.900002|35.900002|35.919998|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|46|NASDAQ|2019|12|18|15|30|200|36.130001|36.130001|36.130001|36.130001|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|47|NASDAQ|2019|12|17|15|30|0|35.849998|35.849998|35.849998|35.849998|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|48|NASDAQ|2019|12|16|15|30|800|35.849998|35.849998|35.849998|35.849998|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|49|NASDAQ|2019|12|13|15|30|1000|36.099998|36.02|36.07|36.099998|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
SFBC|50|NASDAQ|2019|12|12|15|30|2400|36.299999|36.099998|36.169998|36.169998|moneycenterbanks|5.4|-|-|13.02|1.78|109|usa|0|0|-|Jan 27 AMC|financial|40.5|89.779999
