empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
SFBS|0|NASDAQ|2020|02|26|15|30|226400|37.810001|36.814999|37.080002|37.669998|foreignmoneycenterbanks|5.3|-|-|12.01|2.11|505|usa|0.08|0.08|6.65|Jan 21 AMC|financial|50.5|1810
SFBS|1|NASDAQ|2020|02|25|15|30|198000|39.074001|37.279999|37.360001|38.700001|foreignmoneycenterbanks|5.3|-|-|12.01|2.11|505|usa|0.08|0.08|6.65|Jan 21 AMC|financial|50.5|1810
SFBS|2|NASDAQ|2020|02|24|15|30|234000|39.419998|38.419998|38.68|39.119999|foreignmoneycenterbanks|5.3|-|-|12.01|2.11|505|usa|0.08|0.08|6.65|Jan 21 AMC|financial|50.5|1810
SFBS|3|NASDAQ|2020|02|21|15|30|821000|40.369999|39.669998|40.169998|40.369999|foreignmoneycenterbanks|5.3|-|-|12.01|2.11|505|usa|0.08|0.08|6.65|Jan 21 AMC|financial|50.5|1810
SFBS|4|NASDAQ|2020|02|20|15|30|189700|40.529999|39.759998|40.470001|39.759998|foreignmoneycenterbanks|5.3|-|-|12.01|2.11|505|usa|0.08|0.08|6.65|Jan 21 AMC|financial|50.5|1810
SFBS|5|NASDAQ|2020|02|19|15|30|153000|40.110001|39.740002|39.919998|39.740002|foreignmoneycenterbanks|5.3|-|-|12.01|2.11|505|usa|0.08|0.08|6.65|Jan 21 AMC|financial|50.5|1810
SFBS|6|NASDAQ|2020|02|18|15|30|135500|40.209999|39.209999|39.610001|40.049999|foreignmoneycenterbanks|5.3|-|-|12.01|2.11|505|usa|0.08|0.08|6.65|Jan 21 AMC|financial|50.5|1810
SFBS|7|NASDAQ|2020|02|14|15|30|220600|40.799999|40.009998|40.099998|40.799999|foreignmoneycenterbanks|5.3|-|-|12.01|2.11|505|usa|0.08|0.08|6.65|Jan 21 AMC|financial|50.5|1810
SFBS|8|NASDAQ|2020|02|13|15|30|222300|40.900002|40.200001|40.799999|40.200001|foreignmoneycenterbanks|5.3|-|-|12.01|2.11|505|usa|0.08|0.08|6.65|Jan 21 AMC|financial|50.5|1810
SFBS|9|NASDAQ|2020|02|12|15|30|235800|40.560001|40.119999|40.299999|40.130001|foreignmoneycenterbanks|5.3|-|-|12.01|2.11|505|usa|0.08|0.08|6.65|Jan 21 AMC|financial|50.5|1810
SFBS|10|NASDAQ|2020|02|11|15|30|232400|40.330002|39.601002|40.119999|39.68|foreignmoneycenterbanks|5.3|-|-|12.01|2.11|505|usa|0.08|0.08|6.65|Jan 21 AMC|financial|50.5|1810
SFBS|11|NASDAQ|2020|02|10|15|30|143900|39.34|38.93|39.34|39|foreignmoneycenterbanks|5.3|-|-|12.01|2.11|505|usa|0.08|0.08|6.65|Jan 21 AMC|financial|50.5|1810
SFBS|12|NASDAQ|2020|02|07|15|30|129300|39.709999|38.98|39.119999|39.349998|foreignmoneycenterbanks|5.3|-|-|12.01|2.11|505|usa|0.08|0.08|6.65|Jan 21 AMC|financial|50.5|1810
SFBS|13|NASDAQ|2020|02|06|15|30|239500|39.759998|39.244999|39.48|39.720001|foreignmoneycenterbanks|5.3|-|-|12.01|2.11|505|usa|0.08|0.08|6.65|Jan 21 AMC|financial|50.5|1810
SFBS|14|NASDAQ|2020|02|05|15|30|214400|39.599998|38.639999|39.5|38.869999|foreignmoneycenterbanks|5.3|-|-|12.01|2.11|505|usa|0.08|0.08|6.65|Jan 21 AMC|financial|50.5|1810
SFBS|15|NASDAQ|2020|02|04|15|30|202400|38.540001|37.855|38.529999|38|foreignmoneycenterbanks|5.3|-|-|12.01|2.11|505|usa|0.08|0.08|6.65|Jan 21 AMC|financial|50.5|1810
SFBS|16|NASDAQ|2020|02|03|15|30|190200|37.549999|36.915001|37.540001|37.060001|foreignmoneycenterbanks|5.3|-|-|12.01|2.11|505|usa|0.08|0.08|6.65|Jan 21 AMC|financial|50.5|1810
SFBS|17|NASDAQ|2020|01|31|15|30|197300|37.18|36.619999|36.75|37.18|foreignmoneycenterbanks|5.3|-|-|12.01|2.11|505|usa|0.08|0.08|6.65|Jan 21 AMC|financial|50.5|1810
SFBS|18|NASDAQ|2020|01|30|15|30|127300|37.470001|36.630001|37.450001|36.68|foreignmoneycenterbanks|5.3|-|-|12.01|2.11|505|usa|0.08|0.08|6.65|Jan 21 AMC|financial|50.5|1810
SFBS|19|NASDAQ|2020|01|29|15|30|194500|37.790001|36.93|36.939999|37.790001|foreignmoneycenterbanks|5.3|-|-|12.01|2.11|505|usa|0.08|0.08|6.65|Jan 21 AMC|financial|50.5|1810
SFBS|20|NASDAQ|2020|01|28|15|30|162700|37.849998|37.400002|37.650002|37.639999|foreignmoneycenterbanks|5.3|-|-|12.01|2.11|505|usa|0.08|0.08|6.65|Jan 21 AMC|financial|50.5|1810
SFBS|21|NASDAQ|2020|01|27|15|30|176700|37.924999|37.139999|37.41|37.299999|foreignmoneycenterbanks|5.3|-|-|12.01|2.11|505|usa|0.08|0.08|6.65|Jan 21 AMC|financial|50.5|1810
SFBS|22|NASDAQ|2020|01|24|15|30|243800|39.349998|37.849998|38.080002|39.080002|foreignmoneycenterbanks|5.3|-|-|12.01|2.11|505|usa|0.08|0.08|6.65|Jan 21 AMC|financial|50.5|1810
SFBS|23|NASDAQ|2020|01|23|15|30|498800|40.049999|38.709999|38.82|39.110001|foreignmoneycenterbanks|5.3|-|-|12.01|2.11|505|usa|0.08|0.08|6.65|Jan 21 AMC|financial|50.5|1810
SFBS|24|NASDAQ|2020|01|22|15|30|691200|40.5|37.389999|40.209999|37.459999|foreignmoneycenterbanks|5.3|-|-|12.01|2.11|505|usa|0.08|0.08|6.65|Jan 21 AMC|financial|50.5|1810
SFBS|25|NASDAQ|2020|01|21|15|30|102100|36.830002|36.209999|36.259998|36.830002|foreignmoneycenterbanks|5.3|-|-|12.01|2.11|505|usa|0.08|0.08|6.65|Jan 21 AMC|financial|50.5|1810
