empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
SMMF|0|NASDAQ|2020|02|26|15|30|5900|24.34|24.030001|24.030001|24.27|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|1|NASDAQ|2020|02|25|15|30|14500|24.9|24|24.35|24.77|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|2|NASDAQ|2020|02|24|15|30|9700|25.24|24.459999|24.969999|25.02|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|3|NASDAQ|2020|02|21|15|30|15500|25.77|25.15|25.5|25.620001|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|4|NASDAQ|2020|02|20|15|30|10000|26|25.15|25.559999|26|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|5|NASDAQ|2020|02|19|15|30|9500|26.24|25.309999|26.030001|25.540001|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|6|NASDAQ|2020|02|18|15|30|12000|25.889999|24.709999|25.610001|25.75|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|7|NASDAQ|2020|02|14|15|30|4800|25.969999|25.6|25.6|25.73|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|8|NASDAQ|2020|02|13|15|30|6800|26.18|25.049999|25.940001|25.33|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|9|NASDAQ|2020|02|12|15|30|8600|25.99|25.51|25.6|25.99|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|10|NASDAQ|2020|02|11|15|30|10800|26.15|25.200001|25.85|25.85|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|11|NASDAQ|2020|02|10|15|30|17300|25.98|24.940001|25.9|25.639999|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|12|NASDAQ|2020|02|07|15|30|6900|26.200001|25.549999|25.549999|25.940001|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|13|NASDAQ|2020|02|06|15|30|20200|26.23|25.559999|25.83|26.23|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|14|NASDAQ|2020|02|05|15|30|17800|26.209999|25.5|26.110001|26.09|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|15|NASDAQ|2020|02|04|15|30|15000|25.84|24.940001|25.84|25.040001|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|16|NASDAQ|2020|02|03|15|30|10400|25.49|24.780001|25.309999|24.780001|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|17|NASDAQ|2020|01|31|15|30|20400|26.09|24.549999|24.549999|25.530001|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|18|NASDAQ|2020|01|30|15|30|8400|25.889999|25.16|25.889999|25.16|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|19|NASDAQ|2020|01|29|15|30|11000|25.9|25.17|25.4|25.75|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|20|NASDAQ|2020|01|28|15|30|2600|26.32|26.08|26.08|26.32|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|21|NASDAQ|2020|01|27|15|30|19200|26.35|25.360001|25.93|25.5|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|22|NASDAQ|2020|01|24|15|30|15500|26.27|25.01|25.75|25.01|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|23|NASDAQ|2020|01|23|15|30|11800|25.01|24.51|24.690001|25.01|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|24|NASDAQ|2020|01|22|15|30|4900|25.24|24.75|24.9|25.24|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|25|NASDAQ|2020|01|21|15|30|14700|25.43|24.68|25.01|25.02|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|26|NASDAQ|2020|01|17|15|30|11500|25.780001|25.16|25.219999|25.780001|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|27|NASDAQ|2020|01|16|15|30|11000|25.719999|25.290001|25.540001|25.42|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|28|NASDAQ|2020|01|15|15|30|18400|25.66|24.700001|25.200001|25.4|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|29|NASDAQ|2020|01|14|15|30|16900|26.02|24.99|25.42|25.59|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|30|NASDAQ|2020|01|13|15|30|12600|25.75|24.91|25.75|24.940001|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|31|NASDAQ|2020|01|10|15|30|17200|25.450001|24.719999|24.98|25.34|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|32|NASDAQ|2020|01|09|15|30|17600|25.68|24.5|25.059999|25.309999|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|33|NASDAQ|2020|01|08|15|30|6900|25.700001|25.309999|25.370001|25.41|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|34|NASDAQ|2020|01|07|15|30|3600|25.75|25.49|25.49|25.719999|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|35|NASDAQ|2020|01|06|15|30|9800|26.34|25.809999|25.82|26.01|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|36|NASDAQ|2020|01|03|15|30|9700|26.74|26.129999|26.129999|26.6|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|37|NASDAQ|2020|01|02|15|30|4400|27.1|26.43|26.549999|27.1|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|38|NASDAQ|2019|12|31|15|30|9500|27.23|26.809999|27.09|27.01|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|39|NASDAQ|2019|12|30|15|30|3500|27|26.52|26.870001|27|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|40|NASDAQ|2019|12|27|15|30|16600|27.379999|26.76|26.9|27|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|41|NASDAQ|2019|12|26|15|30|6100|27.110001|26.57|26.82|26.799999|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|42|NASDAQ|2019|12|24|15|30|6500|26.969999|26.360001|26.969999|26.65|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|43|NASDAQ|2019|12|23|15|30|10000|27.389999|26.33|26.790001|27.389999|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|44|NASDAQ|2019|12|20|15|30|53400|27.66|27.059999|27.26|27.540001|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|45|NASDAQ|2019|12|19|15|30|15600|27.75|27.49|27.52|27.65|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|46|NASDAQ|2019|12|18|15|30|20800|27.690001|27.190001|27.690001|27.5|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|47|NASDAQ|2019|12|17|15|30|17200|27.700001|26.98|27.5|26.98|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|48|NASDAQ|2019|12|16|15|30|17200|27.83|26.65|27.48|27.280001|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|49|NASDAQ|2019|12|13|15|30|8600|27.49|26.940001|27.25|26.940001|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|50|NASDAQ|2019|12|12|15|30|11100|27.469999|26.35|27.040001|26.35|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|51|NASDAQ|2019|12|11|15|30|10600|26.84|26.379999|26.52|26.719999|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|52|NASDAQ|2019|12|10|15|30|5500|26.65|26.4|26.65|26.4|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|53|NASDAQ|2019|12|09|15|30|5600|26.709999|25.99|26.440001|26.469999|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|54|NASDAQ|2019|12|06|15|30|17000|26.84|26.33|26.33|26.5|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|55|NASDAQ|2019|12|05|15|30|4900|26.59|26.25|26.5|26.26|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|56|NASDAQ|2019|12|04|15|30|17800|27.25|26.02|26.370001|26.68|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|57|NASDAQ|2019|12|03|15|30|7100|26.610001|26.110001|26.440001|26.200001|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|58|NASDAQ|2019|12|02|15|30|5300|26.969999|26.43|26.629999|26.959999|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|59|NASDAQ|2019|11|29|15|30|4200|27.040001|26.75|26.950001|26.969999|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|60|NASDAQ|2019|11|27|15|30|8900|27.290001|26.889999|26.92|27|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|61|NASDAQ|2019|11|26|15|30|8800|27.219999|26.860001|26.93|26.860001|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|62|NASDAQ|2019|11|25|15|30|13800|27.25|26.07|27.040001|26.07|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|63|NASDAQ|2019|11|22|15|30|1600|26.4|26.17|26.17|26.4|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|64|NASDAQ|2019|11|21|15|30|3500|26.51|26.16|26.17|26.51|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|65|NASDAQ|2019|11|20|15|30|14500|26.530001|26.02|26.34|26.200001|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|66|NASDAQ|2019|11|19|15|30|15200|26.83|26.17|26.33|26.58|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|67|NASDAQ|2019|11|18|15|30|4500|26.74|26.219999|26.66|26.610001|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|68|NASDAQ|2019|11|15|15|30|10100|26.75|26.32|26.32|26.75|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|69|NASDAQ|2019|11|14|15|30|4000|26.74|26.51|26.73|26.51|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|70|NASDAQ|2019|11|13|15|30|9500|26.74|25.440001|26.74|26.15|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|71|NASDAQ|2019|11|12|15|30|2100|26.299999|26.07|26.18|26.299999|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|72|NASDAQ|2019|11|11|15|30|9600|26.59|26.24|26.32|26.469999|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
SMMF|73|NASDAQ|2019|11|08|15|30|5400|26.75|26.16|26.5|26.26|regionalmidatlanticbanks|7.4|-|-|8.56|2.77|371|usa|0.08|0.08|3.41|Jan 28 BMO|financial|37|276.609985
