empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
SNOA|0|NASDAQ|2020|02|26|15|30|1300|5.3|5.07|5.07|5.3|drugmanufacturersother|1.12|2.7|3.3|-|-|62|usa|0|0|-|Feb 27 AMC|healthcare|10.8|9.82
SNOA|1|NASDAQ|2020|02|25|15|30|8100|5.5|5|5.06|5.49|drugmanufacturersother|1.12|2.7|3.3|-|-|62|usa|0|0|-|Feb 27 AMC|healthcare|10.8|9.82
SNOA|2|NASDAQ|2020|02|24|15|30|6400|5.69|5.47|5.49|5.52|drugmanufacturersother|1.12|2.7|3.3|-|-|62|usa|0|0|-|Feb 27 AMC|healthcare|10.8|9.82
SNOA|3|NASDAQ|2020|02|21|15|30|4700|5.7|5.46|5.52|5.68|drugmanufacturersother|1.12|2.7|3.3|-|-|62|usa|0|0|-|Feb 27 AMC|healthcare|10.8|9.82
SNOA|4|NASDAQ|2020|02|20|15|30|30800|5.91|5.35|5.46|5.74|drugmanufacturersother|1.12|2.7|3.3|-|-|62|usa|0|0|-|Feb 27 AMC|healthcare|10.8|9.82
SNOA|5|NASDAQ|2020|02|19|15|30|7000|5.62|5.51|5.54|5.62|drugmanufacturersother|1.12|2.7|3.3|-|-|62|usa|0|0|-|Feb 27 AMC|healthcare|10.8|9.82
SNOA|6|NASDAQ|2020|02|18|15|30|72400|5.6|5.09|5.49|5.3|drugmanufacturersother|1.12|2.7|3.3|-|-|62|usa|0|0|-|Feb 27 AMC|healthcare|10.8|9.82
SNOA|7|NASDAQ|2020|02|14|15|30|3500|5.21|5|5|5.21|drugmanufacturersother|1.12|2.7|3.3|-|-|62|usa|0|0|-|Feb 27 AMC|healthcare|10.8|9.82
SNOA|8|NASDAQ|2020|02|13|15|30|5800|5.29|5|5.24|5.1|drugmanufacturersother|1.12|2.7|3.3|-|-|62|usa|0|0|-|Feb 27 AMC|healthcare|10.8|9.82
SNOA|9|NASDAQ|2020|02|12|15|30|5600|5.23|5.05|5.18|5.21|drugmanufacturersother|1.12|2.7|3.3|-|-|62|usa|0|0|-|Feb 27 AMC|healthcare|10.8|9.82
SNOA|10|NASDAQ|2020|02|11|15|30|11200|5.23|5.05|5.12|5.23|drugmanufacturersother|1.12|2.7|3.3|-|-|62|usa|0|0|-|Feb 27 AMC|healthcare|10.8|9.82
SNOA|11|NASDAQ|2020|02|10|15|30|18000|5.5|5.17|5.22|5.23|drugmanufacturersother|1.12|2.7|3.3|-|-|62|usa|0|0|-|Feb 27 AMC|healthcare|10.8|9.82
SNOA|12|NASDAQ|2020|02|07|15|30|3900|5.29|5|5.17|5|drugmanufacturersother|1.12|2.7|3.3|-|-|62|usa|0|0|-|Feb 27 AMC|healthcare|10.8|9.82
SNOA|13|NASDAQ|2020|02|06|15|30|4100|5.23|5.01|5.06|5.23|drugmanufacturersother|1.12|2.7|3.3|-|-|62|usa|0|0|-|Feb 27 AMC|healthcare|10.8|9.82
SNOA|14|NASDAQ|2020|02|05|15|30|13000|5.2|4.96|5.11|5.1|drugmanufacturersother|1.12|2.7|3.3|-|-|62|usa|0|0|-|Feb 27 AMC|healthcare|10.8|9.82
SNOA|15|NASDAQ|2020|02|04|15|30|57800|5.47|4.71|5.13|5.13|drugmanufacturersother|1.12|2.7|3.3|-|-|62|usa|0|0|-|Feb 27 AMC|healthcare|10.8|9.82
SNOA|16|NASDAQ|2020|02|03|15|30|38300|5.5|5|5.1|5.17|drugmanufacturersother|1.12|2.7|3.3|-|-|62|usa|0|0|-|Feb 27 AMC|healthcare|10.8|9.82
SNOA|17|NASDAQ|2020|01|31|15|30|12200|5.74|5.16|5.2|5.28|drugmanufacturersother|1.12|2.7|3.3|-|-|62|usa|0|0|-|Feb 27 AMC|healthcare|10.8|9.82
SNOA|18|NASDAQ|2020|01|30|15|30|14700|5.39|5.15|5.2|5.35|drugmanufacturersother|1.12|2.7|3.3|-|-|62|usa|0|0|-|Feb 27 AMC|healthcare|10.8|9.82
SNOA|19|NASDAQ|2020|01|29|15|30|9900|5.63|5.31|5.45|5.31|drugmanufacturersother|1.12|2.7|3.3|-|-|62|usa|0|0|-|Feb 27 AMC|healthcare|10.8|9.82
SNOA|20|NASDAQ|2020|01|28|15|30|17600|5.74|5.09|5.3|5.74|drugmanufacturersother|1.12|2.7|3.3|-|-|62|usa|0|0|-|Feb 27 AMC|healthcare|10.8|9.82
SNOA|21|NASDAQ|2020|01|27|15|30|22700|5.8|5.37|5.65|5.7|drugmanufacturersother|1.12|2.7|3.3|-|-|62|usa|0|0|-|Feb 27 AMC|healthcare|10.8|9.82
SNOA|22|NASDAQ|2020|01|24|15|30|334700|6.9|5.44|5.69|5.75|drugmanufacturersother|1.12|2.7|3.3|-|-|62|usa|0|0|-|Feb 27 AMC|healthcare|10.8|9.82
SNOA|23|NASDAQ|2020|01|23|15|30|30200|5.3|4.81|5.18|5.04|drugmanufacturersother|1.12|2.7|3.3|-|-|62|usa|0|0|-|Feb 27 AMC|healthcare|10.8|9.82
SNOA|24|NASDAQ|2020|01|22|15|30|700|5.33|5.13|5.33|5.3|drugmanufacturersother|1.12|2.7|3.3|-|-|62|usa|0|0|-|Feb 27 AMC|healthcare|10.8|9.82
