empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
SPRT|0|NASDAQ|2020|02|26|15|30|23900|1.24|1.17|1.17|1.24|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|1|NASDAQ|2020|02|25|15|30|121300|1.25|1.17|1.18|1.24|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|2|NASDAQ|2020|02|24|15|30|42400|1.29|1.21|1.21|1.25|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|3|NASDAQ|2020|02|21|15|30|26300|1.29|1.22|1.26|1.22|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|4|NASDAQ|2020|02|20|15|30|27100|1.27|1.21|1.23|1.26|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|5|NASDAQ|2020|02|19|15|30|23000|1.29|1.25|1.25|1.29|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|6|NASDAQ|2020|02|18|15|30|105000|1.31|1.23|1.28|1.23|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|7|NASDAQ|2020|02|14|15|30|34700|1.22|1.21|1.21|1.21|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|8|NASDAQ|2020|02|13|15|30|87600|1.23|1.2|1.23|1.2|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|9|NASDAQ|2020|02|12|15|30|18100|1.21|1.2|1.2|1.2|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|10|NASDAQ|2020|02|11|15|30|5900|1.22|1.2|1.21|1.21|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|11|NASDAQ|2020|02|10|15|30|38200|1.24|1.2|1.21|1.24|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|12|NASDAQ|2020|02|07|15|30|1900|1.24|1.23|1.24|1.24|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|13|NASDAQ|2020|02|06|15|30|23400|1.25|1.22|1.24|1.22|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|14|NASDAQ|2020|02|05|15|30|16900|1.23|1.2|1.2|1.22|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|15|NASDAQ|2020|02|04|15|30|69100|1.25|1.17|1.22|1.25|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|16|NASDAQ|2020|02|03|15|30|12600|1.23|1.22|1.22|1.23|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|17|NASDAQ|2020|01|31|15|30|23600|1.25|1.22|1.22|1.23|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|18|NASDAQ|2020|01|30|15|30|66500|1.25|1.19|1.25|1.2|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|19|NASDAQ|2020|01|29|15|30|108000|1.21|1.16|1.19|1.2|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|20|NASDAQ|2020|01|28|15|30|58700|1.23|1.2|1.21|1.22|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|21|NASDAQ|2020|01|27|15|30|55800|1.23|1.2|1.2|1.21|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|22|NASDAQ|2020|01|24|15|30|34900|1.25|1.23|1.24|1.23|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|23|NASDAQ|2020|01|23|15|30|50600|1.29|1.23|1.23|1.29|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|24|NASDAQ|2020|01|22|15|30|98300|1.25|1.23|1.24|1.23|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|25|NASDAQ|2020|01|21|15|30|198300|1.26|1.15|1.21|1.24|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|26|NASDAQ|2020|01|17|15|30|69100|1.3|1.25|1.26|1.3|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|27|NASDAQ|2020|01|16|15|30|90400|1.31|1.23|1.29|1.29|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|28|NASDAQ|2020|01|15|15|30|148800|1.39|1.22|1.31|1.39|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|29|NASDAQ|2020|01|14|15|30|113400|1.43|1.37|1.37|1.42|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|30|NASDAQ|2020|01|13|15|30|92500|1.43|1.41|1.42|1.41|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|31|NASDAQ|2020|01|10|15|30|149800|1.44|1.38|1.41|1.38|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|32|NASDAQ|2020|01|09|15|30|314100|1.42|1.27|1.38|1.3|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|33|NASDAQ|2020|01|08|15|30|236700|1.29|1.2|1.27|1.21|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|34|NASDAQ|2020|01|07|15|30|196200|1.21|1.13|1.21|1.16|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|35|NASDAQ|2020|01|06|15|30|262500|1.15|1.09|1.15|1.09|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|36|NASDAQ|2020|01|03|15|30|249100|1.12|1.08|1.09|1.11|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|37|NASDAQ|2020|01|02|15|30|172900|1.13|1.08|1.1|1.12|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|38|NASDAQ|2019|12|31|15|30|256300|1.14|1.09|1.09|1.12|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|39|NASDAQ|2019|12|30|15|30|536900|1.17|1.05|1.12|1.16|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|40|NASDAQ|2019|12|27|15|30|1213700|1.32|1.07|1.17|1.11|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|41|NASDAQ|2019|12|26|15|30|178900|2.13|1.95|2.07|2.1|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|42|NASDAQ|2019|12|24|15|30|132600|2.13|2.07|2.12|2.1|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|43|NASDAQ|2019|12|23|15|30|473700|2.12|1.93|2.11|1.95|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|44|NASDAQ|2019|12|20|15|30|380000|1.99|1.88|1.91|1.9|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|45|NASDAQ|2019|12|19|15|30|391400|1.95|1.85|1.88|1.95|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|46|NASDAQ|2019|12|18|15|30|394500|2|1.9|1.94|2|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|47|NASDAQ|2019|12|17|15|30|831500|2.08|1.9|2|2.04|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|48|NASDAQ|2019|12|16|15|30|974700|2.16|2.03|2.06|2.07|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|49|NASDAQ|2019|12|13|15|30|325000|2.02|1.89|2|2.02|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|50|NASDAQ|2019|12|12|15|30|459200|2.1|1.93|1.98|2.1|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|51|NASDAQ|2019|12|11|15|30|1252200|2.06|1.98|2.05|2.01|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|52|NASDAQ|2019|12|10|15|30|591700|2.05|1.9|2|1.96|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|53|NASDAQ|2019|12|09|15|30|1105000|2.2|1.87|1.95|2.2|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|54|NASDAQ|2019|12|06|15|30|41700|1.95|1.92|1.92|1.92|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|55|NASDAQ|2019|12|05|15|30|8800|1.95|1.9|1.9|1.93|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|56|NASDAQ|2019|12|04|15|30|17400|1.95|1.88|1.93|1.88|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|57|NASDAQ|2019|12|03|15|30|56300|1.95|1.86|1.9|1.92|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|58|NASDAQ|2019|12|02|15|30|6600|1.98|1.91|1.94|1.97|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|59|NASDAQ|2019|11|29|15|30|10100|1.99|1.95|1.95|1.95|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|60|NASDAQ|2019|11|27|15|30|11200|1.99|1.95|1.96|1.99|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|61|NASDAQ|2019|11|26|15|30|43100|2|1.95|1.98|1.99|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|62|NASDAQ|2019|11|25|15|30|24400|2.02|1.91|1.95|1.96|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|63|NASDAQ|2019|11|22|15|30|50100|2.01|1.85|1.94|1.89|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|64|NASDAQ|2019|11|21|15|30|18800|1.93|1.86|1.91|1.86|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|65|NASDAQ|2019|11|20|15|30|30600|1.92|1.83|1.84|1.86|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|66|NASDAQ|2019|11|19|15|30|20700|1.88|1.85|1.85|1.85|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|67|NASDAQ|2019|11|18|15|30|40800|1.86|1.83|1.83|1.83|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|68|NASDAQ|2019|11|15|15|30|40400|1.89|1.85|1.85|1.88|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|69|NASDAQ|2019|11|14|15|30|32900|1.9|1.87|1.88|1.88|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
SPRT|70|NASDAQ|2019|11|13|15|30|45500|1.9|1.86|1.86|1.87|internetsoftwareservices|4.1|12.5|12.5|5.09|-|2035|usa|0|0|-|Mar 20 AMC|technology|36.5|21.1
