empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
TCFC|0|NASDAQ|2020|02|26|15|30|6600|33.130001|32.669998|32.669998|33.130001|regionalmidatlanticbanks|3.3|-|-|10.88|1.67|194|usa|0.19|0.19|6.16|Feb 10|financial|35.700001|179.279999
TCFC|1|NASDAQ|2020|02|25|15|30|13100|33.57|32.5|33.110001|33.57|regionalmidatlanticbanks|3.3|-|-|10.88|1.67|194|usa|0.19|0.19|6.16|Feb 10|financial|35.700001|179.279999
TCFC|2|NASDAQ|2020|02|24|15|30|3300|33.5|33.099998|33.360001|33.419998|regionalmidatlanticbanks|3.3|-|-|10.88|1.67|194|usa|0.19|0.19|6.16|Feb 10|financial|35.700001|179.279999
TCFC|3|NASDAQ|2020|02|21|15|30|5500|33.939999|33.400002|33.799999|33.700001|regionalmidatlanticbanks|3.3|-|-|10.88|1.67|194|usa|0.19|0.19|6.16|Feb 10|financial|35.700001|179.279999
TCFC|4|NASDAQ|2020|02|20|15|30|10900|33.869999|33.02|33.52|33.119999|regionalmidatlanticbanks|3.3|-|-|10.88|1.67|194|usa|0.19|0.19|6.16|Feb 10|financial|35.700001|179.279999
TCFC|5|NASDAQ|2020|02|19|15|30|3300|33.59|33.060001|33.32|33.349998|regionalmidatlanticbanks|3.3|-|-|10.88|1.67|194|usa|0.19|0.19|6.16|Feb 10|financial|35.700001|179.279999
TCFC|6|NASDAQ|2020|02|18|15|30|3100|33.709999|33.299999|33.450001|33.48|regionalmidatlanticbanks|3.3|-|-|10.88|1.67|194|usa|0.19|0.19|6.16|Feb 10|financial|35.700001|179.279999
TCFC|7|NASDAQ|2020|02|14|15|30|3800|33.700001|33.43|33.669998|33.5|regionalmidatlanticbanks|3.3|-|-|10.88|1.67|194|usa|0.19|0.19|6.16|Feb 10|financial|35.700001|179.279999
TCFC|8|NASDAQ|2020|02|13|15|30|7000|33.959999|33.240002|33.700001|33.349998|regionalmidatlanticbanks|3.3|-|-|10.88|1.67|194|usa|0.19|0.19|6.16|Feb 10|financial|35.700001|179.279999
TCFC|9|NASDAQ|2020|02|12|15|30|2600|33.720001|33.110001|33.5|33.110001|regionalmidatlanticbanks|3.3|-|-|10.88|1.67|194|usa|0.19|0.19|6.16|Feb 10|financial|35.700001|179.279999
TCFC|10|NASDAQ|2020|02|11|15|30|7500|33.799999|33.200001|33.59|33.669998|regionalmidatlanticbanks|3.3|-|-|10.88|1.67|194|usa|0.19|0.19|6.16|Feb 10|financial|35.700001|179.279999
TCFC|11|NASDAQ|2020|02|10|15|30|1400|33.84|33.740002|33.84|33.740002|regionalmidatlanticbanks|3.3|-|-|10.88|1.67|194|usa|0.19|0.19|6.16|Feb 10|financial|35.700001|179.279999
