empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
TECH|0|NASDAQ|2020|02|26|15|30|174300|202.970001|197.639999|197.830002|199.240005|biotechnology|0.5|3.5|4.4|39.150002|0.66|2250|usa|0.29|0.28|15.86|Feb 04 BMO|healthcare|94.699997|7440
TECH|1|NASDAQ|2020|02|25|15|30|214700|202.369995|197.130005|197.639999|202.369995|biotechnology|0.5|3.5|4.4|39.150002|0.66|2250|usa|0.29|0.28|15.86|Feb 04 BMO|healthcare|94.699997|7440
TECH|2|NASDAQ|2020|02|24|15|30|163100|202.369995|197.240005|201.619995|200.089996|biotechnology|0.5|3.5|4.4|39.150002|0.66|2250|usa|0.29|0.28|15.86|Feb 04 BMO|healthcare|94.699997|7440
TECH|3|NASDAQ|2020|02|21|15|30|148800|210.639999|205.940002|206.029999|208.020004|biotechnology|0.5|3.5|4.4|39.150002|0.66|2250|usa|0.29|0.28|15.86|Feb 04 BMO|healthcare|94.699997|7440
TECH|4|NASDAQ|2020|02|20|15|30|113900|210.679993|206.139999|208.869995|210.309998|biotechnology|0.5|3.5|4.4|39.150002|0.66|2250|usa|0.29|0.28|15.86|Feb 04 BMO|healthcare|94.699997|7440
TECH|5|NASDAQ|2020|02|19|15|30|110400|211.259995|206.580002|210.649994|207.020004|biotechnology|0.5|3.5|4.4|39.150002|0.66|2250|usa|0.29|0.28|15.86|Feb 04 BMO|healthcare|94.699997|7440
TECH|6|NASDAQ|2020|02|18|15|30|247600|214.800003|206.009995|206.360001|208.830002|biotechnology|0.5|3.5|4.4|39.150002|0.66|2250|usa|0.29|0.28|15.86|Feb 04 BMO|healthcare|94.699997|7440
TECH|7|NASDAQ|2020|02|14|15|30|77600|209.050003|205.050003|208.529999|206.160004|biotechnology|0.5|3.5|4.4|39.150002|0.66|2250|usa|0.29|0.28|15.86|Feb 04 BMO|healthcare|94.699997|7440
TECH|8|NASDAQ|2020|02|13|15|30|254400|207.080002|203.729996|205.649994|204.800003|biotechnology|0.5|3.5|4.4|39.150002|0.66|2250|usa|0.29|0.28|15.86|Feb 04 BMO|healthcare|94.699997|7440
TECH|9|NASDAQ|2020|02|12|15|30|170200|207.479996|204.509995|205.470001|206.559998|biotechnology|0.5|3.5|4.4|39.150002|0.66|2250|usa|0.29|0.28|15.86|Feb 04 BMO|healthcare|94.699997|7440
TECH|10|NASDAQ|2020|02|11|15|30|238800|209.559998|203.809998|205.509995|206.479996|biotechnology|0.5|3.5|4.4|39.150002|0.66|2250|usa|0.29|0.28|15.86|Feb 04 BMO|healthcare|94.699997|7440
TECH|11|NASDAQ|2020|02|10|15|30|207700|206.300003|199.600006|205.690002|201.350006|biotechnology|0.5|3.5|4.4|39.150002|0.66|2250|usa|0.29|0.28|15.86|Feb 04 BMO|healthcare|94.699997|7440
TECH|12|NASDAQ|2020|02|07|15|30|149600|203.970001|198.639999|201.059998|203.679993|biotechnology|0.5|3.5|4.4|39.150002|0.66|2250|usa|0.29|0.28|15.86|Feb 04 BMO|healthcare|94.699997|7440
TECH|13|NASDAQ|2020|02|06|15|30|118100|208.320007|203.850006|204.350006|206.949997|biotechnology|0.5|3.5|4.4|39.150002|0.66|2250|usa|0.29|0.28|15.86|Feb 04 BMO|healthcare|94.699997|7440
TECH|14|NASDAQ|2020|02|05|15|30|182100|213.089996|206.089996|206.639999|209.550003|biotechnology|0.5|3.5|4.4|39.150002|0.66|2250|usa|0.29|0.28|15.86|Feb 04 BMO|healthcare|94.699997|7440
TECH|15|NASDAQ|2020|02|04|15|30|401300|213.779999|196.669998|208.369995|200|biotechnology|0.5|3.5|4.4|39.150002|0.66|2250|usa|0.29|0.28|15.86|Feb 04 BMO|healthcare|94.699997|7440
TECH|16|NASDAQ|2020|02|03|15|30|371300|211.110001|204.929993|207.25|210.940002|biotechnology|0.5|3.5|4.4|39.150002|0.66|2250|usa|0.29|0.28|15.86|Feb 04 BMO|healthcare|94.699997|7440
TECH|17|NASDAQ|2020|01|31|15|30|218400|212.660004|208.320007|209.970001|212.070007|biotechnology|0.5|3.5|4.4|39.150002|0.66|2250|usa|0.29|0.28|15.86|Feb 04 BMO|healthcare|94.699997|7440
