empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
TWST|0|NASDAQ|2020|02|26|15|30|557500|32.869999|30.1|30.719999|31.879999|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|1280
TWST|1|NASDAQ|2020|02|25|15|30|711400|34.029999|31.5|31.700001|33.23|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|1280
TWST|2|NASDAQ|2020|02|24|15|30|1063300|35.650002|31.01|33.029999|32.66|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|1280
TWST|3|NASDAQ|2020|02|21|15|30|696700|34.25|32.040001|33.049999|32.939999|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|1280
TWST|4|NASDAQ|2020|02|20|15|30|3641900|33.790001|29.790001|33.130001|30.139999|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|1280
TWST|5|NASDAQ|2020|02|19|15|30|1046400|29.940001|27.700001|28.440001|29.129999|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|1280
TWST|6|NASDAQ|2020|02|18|15|30|324800|31.360001|29.91|30.559999|29.950001|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|1280
TWST|7|NASDAQ|2020|02|14|15|30|473900|30.4|29.48|30.200001|30.219999|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|1280
TWST|8|NASDAQ|2020|02|13|15|30|339900|31.35|29.809999|30.23|31.08|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|1280
TWST|9|NASDAQ|2020|02|12|15|30|548200|31.879999|30|30.940001|30.059999|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|1280
TWST|10|NASDAQ|2020|02|11|15|30|599600|32.299999|30.32|30.5|32.02|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|1280
TWST|11|NASDAQ|2020|02|10|15|30|521800|33.5|31.5|32.59|32.049999|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|1280
TWST|12|NASDAQ|2020|02|07|15|30|1731900|33.43|30|32.459999|30.01|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|1280
