empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
UGLD|0|NASDAQ|2020|02|26|15|30|244300|177.240005|169.279999|173.139999|172.330002|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
UGLD|1|NASDAQ|2020|02|25|15|30|335200|180.330002|169.570007|171.270004|176.839996|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
UGLD|2|NASDAQ|2020|02|24|15|30|434200|188.789993|177.520004|180.419998|188.570007|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
UGLD|3|NASDAQ|2020|02|21|15|30|230900|177.690002|174.309998|175.929993|175|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
UGLD|4|NASDAQ|2020|02|20|15|30|122700|169.600006|166.820007|168.449997|166.979996|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
UGLD|5|NASDAQ|2020|02|19|15|30|93700|166.399994|163.199997|166.380005|163.800003|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
UGLD|6|NASDAQ|2020|02|18|15|30|116600|163.940002|158.929993|163.410004|160|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
UGLD|7|NASDAQ|2020|02|14|15|30|51900|157.860001|156.429993|157.350006|156.479996|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
UGLD|8|NASDAQ|2020|02|13|15|30|54800|155.899994|154.270004|155.380005|154.880005|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
UGLD|9|NASDAQ|2020|02|12|15|30|37200|153.679993|151.699997|152.669998|152.360001|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
UGLD|10|NASDAQ|2020|02|11|15|30|44200|154.929993|151.539993|153.169998|154.559998|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
UGLD|11|NASDAQ|2020|02|10|15|30|49200|155.75|154.149994|154.710007|155.169998|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
UGLD|12|NASDAQ|2020|02|07|15|30|84100|154.979996|152.399994|153.869995|153.779999|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
UGLD|13|NASDAQ|2020|02|06|15|30|69200|153.100006|151.210007|152.710007|152.199997|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
UGLD|14|NASDAQ|2020|02|05|15|30|59300|150.770004|148.839996|150.009995|149.380005|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
UGLD|15|NASDAQ|2020|02|04|15|30|169800|151.580002|147.740005|149.460007|151.330002|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
UGLD|16|NASDAQ|2020|02|03|15|30|224000|157.110001|153.779999|155.940002|156.809998|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
