empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
UMBF|0|NASDAQ|2020|02|26|15|30|201000|63.790001|62.610001|62.950001|63.150002|regionalsouthwestbanks|0.8|-|-|11.6|2.15|3670|usa|0.04|0.04|2.63|Jan 28 AMC|financial|87|2930.000244
UMBF|1|NASDAQ|2020|02|25|15|30|230400|66.029999|62.900002|63.02|65.309998|regionalsouthwestbanks|0.8|-|-|11.6|2.15|3670|usa|0.04|0.04|2.63|Jan 28 AMC|financial|87|2930.000244
UMBF|2|NASDAQ|2020|02|24|15|30|228100|66.139999|64.709999|65.480003|65.669998|regionalsouthwestbanks|0.8|-|-|11.6|2.15|3670|usa|0.04|0.04|2.63|Jan 28 AMC|financial|87|2930.000244
UMBF|3|NASDAQ|2020|02|21|15|30|173100|67.769997|67|67.720001|67.769997|regionalsouthwestbanks|0.8|-|-|11.6|2.15|3670|usa|0.04|0.04|2.63|Jan 28 AMC|financial|87|2930.000244
UMBF|4|NASDAQ|2020|02|20|15|30|102300|68.440002|67|67.959999|67.330002|regionalsouthwestbanks|0.8|-|-|11.6|2.15|3670|usa|0.04|0.04|2.63|Jan 28 AMC|financial|87|2930.000244
UMBF|5|NASDAQ|2020|02|19|15|30|155800|68.010002|67.349998|67.550003|67.739998|regionalsouthwestbanks|0.8|-|-|11.6|2.15|3670|usa|0.04|0.04|2.63|Jan 28 AMC|financial|87|2930.000244
UMBF|6|NASDAQ|2020|02|18|15|30|101600|68.580002|67.370003|67.580002|68.440002|regionalsouthwestbanks|0.8|-|-|11.6|2.15|3670|usa|0.04|0.04|2.63|Jan 28 AMC|financial|87|2930.000244
UMBF|7|NASDAQ|2020|02|14|15|30|113900|68.75|67.889999|68.379997|68.519997|regionalsouthwestbanks|0.8|-|-|11.6|2.15|3670|usa|0.04|0.04|2.63|Jan 28 AMC|financial|87|2930.000244
UMBF|8|NASDAQ|2020|02|13|15|30|90000|68.760002|67.690002|68.639999|67.690002|regionalsouthwestbanks|0.8|-|-|11.6|2.15|3670|usa|0.04|0.04|2.63|Jan 28 AMC|financial|87|2930.000244
UMBF|9|NASDAQ|2020|02|12|15|30|106800|68.779999|68.019997|68.160004|68.779999|regionalsouthwestbanks|0.8|-|-|11.6|2.15|3670|usa|0.04|0.04|2.63|Jan 28 AMC|financial|87|2930.000244
UMBF|10|NASDAQ|2020|02|11|15|30|138200|69.040001|68.209999|68.269997|68.25|regionalsouthwestbanks|0.8|-|-|11.6|2.15|3670|usa|0.04|0.04|2.63|Jan 28 AMC|financial|87|2930.000244
UMBF|11|NASDAQ|2020|02|10|15|30|87300|68.169998|67.480003|68.080002|67.739998|regionalsouthwestbanks|0.8|-|-|11.6|2.15|3670|usa|0.04|0.04|2.63|Jan 28 AMC|financial|87|2930.000244
UMBF|12|NASDAQ|2020|02|07|15|30|138400|68.989998|67.730003|67.959999|68.68|regionalsouthwestbanks|0.8|-|-|11.6|2.15|3670|usa|0.04|0.04|2.63|Jan 28 AMC|financial|87|2930.000244
UMBF|13|NASDAQ|2020|02|06|15|30|136700|70.260002|69.120003|69.239998|70.260002|regionalsouthwestbanks|0.8|-|-|11.6|2.15|3670|usa|0.04|0.04|2.63|Jan 28 AMC|financial|87|2930.000244
UMBF|14|NASDAQ|2020|02|05|15|30|217800|70.089996|68.540001|69.790001|68.989998|regionalsouthwestbanks|0.8|-|-|11.6|2.15|3670|usa|0.04|0.04|2.63|Jan 28 AMC|financial|87|2930.000244
UMBF|15|NASDAQ|2020|02|04|15|30|181100|68.5|67.339996|68.080002|68.400002|regionalsouthwestbanks|0.8|-|-|11.6|2.15|3670|usa|0.04|0.04|2.63|Jan 28 AMC|financial|87|2930.000244
UMBF|16|NASDAQ|2020|02|03|15|30|192200|67.599998|66.620003|67.309998|66.900002|regionalsouthwestbanks|0.8|-|-|11.6|2.15|3670|usa|0.04|0.04|2.63|Jan 28 AMC|financial|87|2930.000244
UMBF|17|NASDAQ|2020|01|31|15|30|414600|68.550003|66|66.459999|68.550003|regionalsouthwestbanks|0.8|-|-|11.6|2.15|3670|usa|0.04|0.04|2.63|Jan 28 AMC|financial|87|2930.000244
UMBF|18|NASDAQ|2020|01|30|15|30|358400|69.260002|67.199997|69.160004|67.199997|regionalsouthwestbanks|0.8|-|-|11.6|2.15|3670|usa|0.04|0.04|2.63|Jan 28 AMC|financial|87|2930.000244
UMBF|19|NASDAQ|2020|01|29|15|30|387100|68.510002|66.879997|67.269997|67.989998|regionalsouthwestbanks|0.8|-|-|11.6|2.15|3670|usa|0.04|0.04|2.63|Jan 28 AMC|financial|87|2930.000244
UMBF|20|NASDAQ|2020|01|28|15|30|137800|65.580002|65.059998|65.349998|65.150002|regionalsouthwestbanks|0.8|-|-|11.6|2.15|3670|usa|0.04|0.04|2.63|Jan 28 AMC|financial|87|2930.000244
UMBF|21|NASDAQ|2020|01|27|15|30|180700|65.169998|63.52|64.82|63.950001|regionalsouthwestbanks|0.8|-|-|11.6|2.15|3670|usa|0.04|0.04|2.63|Jan 28 AMC|financial|87|2930.000244
UMBF|22|NASDAQ|2020|01|24|15|30|132700|66.410004|64.599998|65.120003|66.410004|regionalsouthwestbanks|0.8|-|-|11.6|2.15|3670|usa|0.04|0.04|2.63|Jan 28 AMC|financial|87|2930.000244
UMBF|23|NASDAQ|2020|01|23|15|30|112200|66.610001|65.559998|66.419998|66|regionalsouthwestbanks|0.8|-|-|11.6|2.15|3670|usa|0.04|0.04|2.63|Jan 28 AMC|financial|87|2930.000244
UMBF|24|NASDAQ|2020|01|22|15|30|92100|66.610001|65.639999|66.449997|66.610001|regionalsouthwestbanks|0.8|-|-|11.6|2.15|3670|usa|0.04|0.04|2.63|Jan 28 AMC|financial|87|2930.000244
UMBF|25|NASDAQ|2020|01|21|15|30|212400|67.690002|66.050003|66.300003|67.489998|regionalsouthwestbanks|0.8|-|-|11.6|2.15|3670|usa|0.04|0.04|2.63|Jan 28 AMC|financial|87|2930.000244
UMBF|26|NASDAQ|2020|01|17|15|30|173000|68.849998|67.629997|67.849998|68.779999|regionalsouthwestbanks|0.8|-|-|11.6|2.15|3670|usa|0.04|0.04|2.63|Jan 28 AMC|financial|87|2930.000244
UMBF|27|NASDAQ|2020|01|16|15|30|161000|68.379997|67.309998|68.379997|67.400002|regionalsouthwestbanks|0.8|-|-|11.6|2.15|3670|usa|0.04|0.04|2.63|Jan 28 AMC|financial|87|2930.000244
UMBF|28|NASDAQ|2020|01|15|15|30|174600|67.419998|66.540001|67.019997|67.029999|regionalsouthwestbanks|0.8|-|-|11.6|2.15|3670|usa|0.04|0.04|2.63|Jan 28 AMC|financial|87|2930.000244
UMBF|29|NASDAQ|2020|01|14|15|30|150900|67.720001|67.120003|67.330002|67.589996|regionalsouthwestbanks|0.8|-|-|11.6|2.15|3670|usa|0.04|0.04|2.63|Jan 28 AMC|financial|87|2930.000244
UMBF|30|NASDAQ|2020|01|13|15|30|125200|67.690002|66.779999|67.669998|67.099998|regionalsouthwestbanks|0.8|-|-|11.6|2.15|3670|usa|0.04|0.04|2.63|Jan 28 AMC|financial|87|2930.000244
UMBF|31|NASDAQ|2020|01|10|15|30|128000|67.669998|66.860001|67.050003|67.559998|regionalsouthwestbanks|0.8|-|-|11.6|2.15|3670|usa|0.04|0.04|2.63|Jan 28 AMC|financial|87|2930.000244
