empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
XT|0|NASDAQ|2020|02|26|15|30|150600|42.669998|41.849998|41.900002|42.18|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
XT|1|NASDAQ|2020|02|25|15|30|202000|43.23|41.873001|41.959999|43.200001|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
XT|2|NASDAQ|2020|02|24|15|30|256500|43.293999|42.837002|42.990002|43.040001|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
XT|3|NASDAQ|2020|02|21|15|30|237200|44.858002|44.470001|44.549999|44.830002|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
XT|4|NASDAQ|2020|02|20|15|30|204300|45.252998|44.599998|45|45.110001|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
XT|5|NASDAQ|2020|02|19|15|30|170400|45.330002|45.09|45.275002|45.09|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
XT|6|NASDAQ|2020|02|18|15|30|243400|44.849998|44.654999|44.810001|44.759998|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
XT|7|NASDAQ|2020|02|14|15|30|293400|45.040001|44.869999|44.98|44.990002|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
XT|8|NASDAQ|2020|02|13|15|30|4181600|45.07|44.689999|44.959999|44.759998|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
XT|9|NASDAQ|2020|02|12|15|30|2092900|45.09|44.848|45.040001|44.889999|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
XT|10|NASDAQ|2020|02|11|15|30|1071000|44.869999|44.580002|44.669998|44.639999|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
XT|11|NASDAQ|2020|02|10|15|30|98400|44.25|43.860001|44.25|43.869999|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
XT|12|NASDAQ|2020|02|07|15|30|169200|44.150002|43.880001|43.880001|44.150002|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
XT|13|NASDAQ|2020|02|06|15|30|92500|44.400002|44.200001|44.369999|44.299999|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
XT|14|NASDAQ|2020|02|05|15|30|184100|44.389999|44.060001|44.200001|44.34|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
XT|15|NASDAQ|2020|02|04|15|30|94500|43.985001|43.639999|43.880001|43.639999|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
XT|16|NASDAQ|2020|02|03|15|30|124400|43.066002|42.68|42.869999|42.709999|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
XT|17|NASDAQ|2020|01|31|15|30|100200|43.040001|42.355|42.490002|43.040001|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
XT|18|NASDAQ|2020|01|30|15|30|77200|43.264999|42.793999|43.209999|43.02|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
XT|19|NASDAQ|2020|01|29|15|30|85700|43.75|43.372002|43.389999|43.610001|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
XT|20|NASDAQ|2020|01|28|15|30|128700|43.529999|43.080002|43.439999|43.150002|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
XT|21|NASDAQ|2020|01|27|15|30|101700|43.140999|42.77|42.880001|42.98|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
XT|22|NASDAQ|2020|01|24|15|30|85400|44.380001|43.643002|43.759998|44.380001|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
XT|23|NASDAQ|2020|01|23|15|30|228400|44.240002|43.93|44.189999|44.139999|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
XT|24|NASDAQ|2020|01|22|15|30|177400|44.472|44.209999|44.23|44.279999|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
XT|25|NASDAQ|2020|01|21|15|30|116800|44.23|44.060001|44.080002|44.119999|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
XT|26|NASDAQ|2020|01|17|15|30|238700|44.299999|44.119999|44.189999|44.299999|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
XT|27|NASDAQ|2020|01|16|15|30|106100|44.169998|43.98|44.16|43.990002|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
XT|28|NASDAQ|2020|01|15|15|30|109400|43.959999|43.720001|43.790001|43.830002|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
XT|29|NASDAQ|2020|01|14|15|30|343700|43.993|43.630001|43.799999|43.66|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
XT|30|NASDAQ|2020|01|13|15|30|191800|43.799999|43.459999|43.77|43.630001|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
XT|31|NASDAQ|2020|01|10|15|30|330100|43.699001|43.450001|43.540001|43.66|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
XT|32|NASDAQ|2020|01|09|15|30|148800|43.599998|43.400002|43.52|43.400002|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
XT|33|NASDAQ|2020|01|08|15|30|96700|43.400002|42.959999|43.23|42.959999|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
XT|34|NASDAQ|2020|01|07|15|30|86100|43|42.75|42.939999|42.869999|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
XT|35|NASDAQ|2020|01|06|15|30|105700|42.84|42.5|42.810001|42.509998|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
XT|36|NASDAQ|2020|01|03|15|30|157800|42.926998|42.57|42.75|42.689999|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
XT|37|NASDAQ|2020|01|02|15|30|135200|43.259998|42.959999|43.259998|43.029999|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
XT|38|NASDAQ|2019|12|31|15|30|50100|42.77|42.529999|42.759998|42.529999|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
XT|39|NASDAQ|2019|12|30|15|30|92900|42.959999|42.560001|42.580002|42.889999|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
XT|40|NASDAQ|2019|12|27|15|30|97400|43.09|42.82|42.900002|43.09|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
XT|41|NASDAQ|2019|12|26|15|30|51800|42.970001|42.82|42.970001|42.82|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
XT|42|NASDAQ|2019|12|24|15|30|44900|42.880001|42.720001|42.880001|42.799999|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
XT|43|NASDAQ|2019|12|23|15|30|115400|42.84|42.73|42.82|42.799999|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
XT|44|NASDAQ|2019|12|20|15|30|85800|42.790001|42.667|42.75|42.740002|exchangetradedfund|-|-|-|-|1.66|-|usa|-|-|-|-|financial|-|-
