empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
ZIOP|0|NASDAQ|2020|02|26|15|30|1912300|3.3|3.16|3.24|3.2|biotechnology|1.5|8.4|8.4|-|-|73|usa|0|0|-2.9|Mar 02 AMC|healthcare|47.099998|641.099976
ZIOP|1|NASDAQ|2020|02|25|15|30|1854800|3.22|3.1|3.2|3.1|biotechnology|1.5|8.4|8.4|-|-|73|usa|0|0|-2.9|Mar 02 AMC|healthcare|47.099998|641.099976
ZIOP|2|NASDAQ|2020|02|24|15|30|2545000|3.26|3.07|3.11|3.16|biotechnology|1.5|8.4|8.4|-|-|73|usa|0|0|-2.9|Mar 02 AMC|healthcare|47.099998|641.099976
ZIOP|3|NASDAQ|2020|02|21|15|30|1501800|3.35|3.2|3.3|3.26|biotechnology|1.5|8.4|8.4|-|-|73|usa|0|0|-2.9|Mar 02 AMC|healthcare|47.099998|641.099976
ZIOP|4|NASDAQ|2020|02|20|15|30|1137500|3.32|3.19|3.26|3.19|biotechnology|1.5|8.4|8.4|-|-|73|usa|0|0|-2.9|Mar 02 AMC|healthcare|47.099998|641.099976
ZIOP|5|NASDAQ|2020|02|19|15|30|1338100|3.39|3.19|3.23|3.38|biotechnology|1.5|8.4|8.4|-|-|73|usa|0|0|-2.9|Mar 02 AMC|healthcare|47.099998|641.099976
ZIOP|6|NASDAQ|2020|02|18|15|30|1369400|3.37|3.15|3.36|3.17|biotechnology|1.5|8.4|8.4|-|-|73|usa|0|0|-2.9|Mar 02 AMC|healthcare|47.099998|641.099976
ZIOP|7|NASDAQ|2020|02|14|15|30|2864800|3.23|3.12|3.18|3.19|biotechnology|1.5|8.4|8.4|-|-|73|usa|0|0|-2.9|Mar 02 AMC|healthcare|47.099998|641.099976
ZIOP|8|NASDAQ|2020|02|13|15|30|1524600|3.24|3.14|3.19|3.14|biotechnology|1.5|8.4|8.4|-|-|73|usa|0|0|-2.9|Mar 02 AMC|healthcare|47.099998|641.099976
ZIOP|9|NASDAQ|2020|02|12|15|30|2761300|3.26|3.15|3.2|3.17|biotechnology|1.5|8.4|8.4|-|-|73|usa|0|0|-2.9|Mar 02 AMC|healthcare|47.099998|641.099976
ZIOP|10|NASDAQ|2020|02|11|15|30|1960400|3.41|3.09|3.16|3.38|biotechnology|1.5|8.4|8.4|-|-|73|usa|0|0|-2.9|Mar 02 AMC|healthcare|47.099998|641.099976
ZIOP|11|NASDAQ|2020|02|10|15|30|2955900|3.44|3.08|3.3|3.09|biotechnology|1.5|8.4|8.4|-|-|73|usa|0|0|-2.9|Mar 02 AMC|healthcare|47.099998|641.099976
ZIOP|12|NASDAQ|2020|02|07|15|30|5922000|3.33|3.04|3.06|3.29|biotechnology|1.5|8.4|8.4|-|-|73|usa|0|0|-2.9|Mar 02 AMC|healthcare|47.099998|641.099976
ZIOP|13|NASDAQ|2020|02|06|15|30|5693500|3.56|3.22|3.31|3.55|biotechnology|1.5|8.4|8.4|-|-|73|usa|0|0|-2.9|Mar 02 AMC|healthcare|47.099998|641.099976
ZIOP|14|NASDAQ|2020|02|05|15|30|11918400|3.79|3.29|3.4|3.72|biotechnology|1.5|8.4|8.4|-|-|73|usa|0|0|-2.9|Mar 02 AMC|healthcare|47.099998|641.099976
ZIOP|15|NASDAQ|2020|02|04|15|30|991100|4.11|3.99|4.07|4.05|biotechnology|1.5|8.4|8.4|-|-|73|usa|0|0|-2.9|Mar 02 AMC|healthcare|47.099998|641.099976
ZIOP|16|NASDAQ|2020|02|03|15|30|1095200|4.04|3.94|4|4|biotechnology|1.5|8.4|8.4|-|-|73|usa|0|0|-2.9|Mar 02 AMC|healthcare|47.099998|641.099976
ZIOP|17|NASDAQ|2020|01|31|15|30|1581700|4.08|3.94|3.94|4.06|biotechnology|1.5|8.4|8.4|-|-|73|usa|0|0|-2.9|Mar 02 AMC|healthcare|47.099998|641.099976
