empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
ZNGA|0|NASDAQ|2020|02|26|15|30|16525100|7.1|6.85|6.88|7.02|multimediagraphicssoftware|4.3|2|2|207.649994|-|1883|usa|0.29|0.29|20.15|Feb 05 AMC|technology|80.5|6880
ZNGA|1|NASDAQ|2020|02|25|15|30|25043300|7.2|6.94|6.99|7.1|multimediagraphicssoftware|4.3|2|2|207.649994|-|1883|usa|0.29|0.29|20.15|Feb 05 AMC|technology|80.5|6880
ZNGA|2|NASDAQ|2020|02|24|15|30|24748600|7.11|6.75|7.02|6.82|multimediagraphicssoftware|4.3|2|2|207.649994|-|1883|usa|0.29|0.29|20.15|Feb 05 AMC|technology|80.5|6880
ZNGA|3|NASDAQ|2020|02|21|15|30|14497200|7.17|7.06|7.13|7.13|multimediagraphicssoftware|4.3|2|2|207.649994|-|1883|usa|0.29|0.29|20.15|Feb 05 AMC|technology|80.5|6880
ZNGA|4|NASDAQ|2020|02|20|15|30|16621100|7.29|7.1|7.18|7.1|multimediagraphicssoftware|4.3|2|2|207.649994|-|1883|usa|0.29|0.29|20.15|Feb 05 AMC|technology|80.5|6880
ZNGA|5|NASDAQ|2020|02|19|15|30|15484100|7.22|7.08|7.09|7.1|multimediagraphicssoftware|4.3|2|2|207.649994|-|1883|usa|0.29|0.29|20.15|Feb 05 AMC|technology|80.5|6880
ZNGA|6|NASDAQ|2020|02|18|15|30|21907600|7.1|6.89|7.09|6.9|multimediagraphicssoftware|4.3|2|2|207.649994|-|1883|usa|0.29|0.29|20.15|Feb 05 AMC|technology|80.5|6880
ZNGA|7|NASDAQ|2020|02|14|15|30|17105900|7.04|6.87|6.93|6.95|multimediagraphicssoftware|4.3|2|2|207.649994|-|1883|usa|0.29|0.29|20.15|Feb 05 AMC|technology|80.5|6880
ZNGA|8|NASDAQ|2020|02|13|15|30|21070400|6.98|6.71|6.92|6.73|multimediagraphicssoftware|4.3|2|2|207.649994|-|1883|usa|0.29|0.29|20.15|Feb 05 AMC|technology|80.5|6880
ZNGA|9|NASDAQ|2020|02|12|15|30|12837300|6.84|6.73|6.75|6.77|multimediagraphicssoftware|4.3|2|2|207.649994|-|1883|usa|0.29|0.29|20.15|Feb 05 AMC|technology|80.5|6880
ZNGA|10|NASDAQ|2020|02|11|15|30|16649800|6.84|6.71|6.74|6.8|multimediagraphicssoftware|4.3|2|2|207.649994|-|1883|usa|0.29|0.29|20.15|Feb 05 AMC|technology|80.5|6880
ZNGA|11|NASDAQ|2020|02|10|15|30|26750500|6.81|6.6|6.79|6.64|multimediagraphicssoftware|4.3|2|2|207.649994|-|1883|usa|0.29|0.29|20.15|Feb 05 AMC|technology|80.5|6880
ZNGA|12|NASDAQ|2020|02|07|15|30|29492500|6.93|6.62|6.65|6.64|multimediagraphicssoftware|4.3|2|2|207.649994|-|1883|usa|0.29|0.29|20.15|Feb 05 AMC|technology|80.5|6880
ZNGA|13|NASDAQ|2020|02|06|15|30|72158600|6.88|6.37|6.71|6.41|multimediagraphicssoftware|4.3|2|2|207.649994|-|1883|usa|0.29|0.29|20.15|Feb 05 AMC|technology|80.5|6880
ZNGA|14|NASDAQ|2020|02|05|15|30|46641900|6.23|5.89|5.93|6.11|multimediagraphicssoftware|4.3|2|2|207.649994|-|1883|usa|0.29|0.29|20.15|Feb 05 AMC|technology|80.5|6880
ZNGA|15|NASDAQ|2020|02|04|15|30|28860800|6.1|5.89|6.08|6.04|multimediagraphicssoftware|4.3|2|2|207.649994|-|1883|usa|0.29|0.29|20.15|Feb 05 AMC|technology|80.5|6880
ZNGA|16|NASDAQ|2020|02|03|15|30|21706100|6.1|5.95|5.96|6.04|multimediagraphicssoftware|4.3|2|2|207.649994|-|1883|usa|0.29|0.29|20.15|Feb 05 AMC|technology|80.5|6880
ZNGA|17|NASDAQ|2020|01|31|15|30|27572000|6.1|5.97|6.02|6.07|multimediagraphicssoftware|4.3|2|2|207.649994|-|1883|usa|0.29|0.29|20.15|Feb 05 AMC|technology|80.5|6880
ZNGA|18|NASDAQ|2020|01|30|15|30|28495500|6.13|6.01|6.08|6.06|multimediagraphicssoftware|4.3|2|2|207.649994|-|1883|usa|0.29|0.29|20.15|Feb 05 AMC|technology|80.5|6880
ZNGA|19|NASDAQ|2020|01|29|15|30|18542100|6.15|6.03|6.06|6.11|multimediagraphicssoftware|4.3|2|2|207.649994|-|1883|usa|0.29|0.29|20.15|Feb 05 AMC|technology|80.5|6880
ZNGA|20|NASDAQ|2020|01|28|15|30|27495000|6.19|5.94|6.07|5.98|multimediagraphicssoftware|4.3|2|2|207.649994|-|1883|usa|0.29|0.29|20.15|Feb 05 AMC|technology|80.5|6880
ZNGA|21|NASDAQ|2020|01|27|15|30|25822300|6.06|5.9|5.93|6.05|multimediagraphicssoftware|4.3|2|2|207.649994|-|1883|usa|0.29|0.29|20.15|Feb 05 AMC|technology|80.5|6880
ZNGA|22|NASDAQ|2020|01|24|15|30|33677600|6.43|6.09|6.1|6.41|multimediagraphicssoftware|4.3|2|2|207.649994|-|1883|usa|0.29|0.29|20.15|Feb 05 AMC|technology|80.5|6880
ZNGA|23|NASDAQ|2020|01|23|15|30|24225200|6.54|6.39|6.39|6.53|multimediagraphicssoftware|4.3|2|2|207.649994|-|1883|usa|0.29|0.29|20.15|Feb 05 AMC|technology|80.5|6880
