empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
LFVN|0|NASDAQ|2020|03|04|15|30|82200|13.25|12.59|13.14|12.62|personalproducts|9.2|0.9|1.5|16.27|-|227|usa|0.02|0|7.59|Jan 28 AMC|consumergoods|48.099998|189.369995
LFVN|1|NASDAQ|2020|03|03|15|30|94200|12.888|12.23|12.44|12.7|personalproducts|9.2|0.9|1.5|16.27|-|227|usa|0.02|0|7.59|Jan 28 AMC|consumergoods|48.099998|189.369995
LFVN|2|NASDAQ|2020|03|02|15|30|115800|12.77|11.87|12.67|11.87|personalproducts|9.2|0.9|1.5|16.27|-|227|usa|0.02|0|7.59|Jan 28 AMC|consumergoods|48.099998|189.369995
LFVN|3|NASDAQ|2020|02|28|15|30|106500|12.44|11.64|11.91|12.05|personalproducts|9.2|0.9|1.5|16.27|-|227|usa|0.02|0|7.59|Jan 28 AMC|consumergoods|48.099998|189.369995
LFVN|4|NASDAQ|2020|02|27|15|30|140100|13.5|12.31|12.33|13.39|personalproducts|9.2|0.9|1.5|16.27|-|227|usa|0.02|0|7.59|Jan 28 AMC|consumergoods|48.099998|189.369995
LFVN|5|NASDAQ|2020|02|26|15|30|54600|14.17|13.66|13.79|14.05|personalproducts|9.2|0.9|1.5|16.27|-|227|usa|0.02|0|7.59|Jan 28 AMC|consumergoods|48.099998|189.369995
LFVN|6|NASDAQ|2020|02|25|15|30|88800|14.417|13.81|14.05|14.24|personalproducts|9.2|0.9|1.5|16.27|-|227|usa|0.02|0|7.59|Jan 28 AMC|consumergoods|48.099998|189.369995
LFVN|7|NASDAQ|2020|02|24|15|30|74700|14.575|14.21|14.26|14.5|personalproducts|9.2|0.9|1.5|16.27|-|227|usa|0.02|0|7.59|Jan 28 AMC|consumergoods|48.099998|189.369995
LFVN|8|NASDAQ|2020|02|21|15|30|93400|15.335|14.5|14.63|15.23|personalproducts|9.2|0.9|1.5|16.27|-|227|usa|0.02|0|7.59|Jan 28 AMC|consumergoods|48.099998|189.369995
LFVN|9|NASDAQ|2020|02|20|15|30|93800|15.54|15.16|15.2|15.53|personalproducts|9.2|0.9|1.5|16.27|-|227|usa|0.02|0|7.59|Jan 28 AMC|consumergoods|48.099998|189.369995
