empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
LORL|0|NASDAQ|2020|03|04|15|30|33700|31.469999|30.790001|31.469999|31.110001|communicationequipment|0.81|66.099998|66.099998|21.49|-|20|usa|0|0|-|Feb 27 BMO|technology|96.099998|660.719971
LORL|1|NASDAQ|2020|03|03|15|30|55400|31.860001|30.15|30.84|31.5|communicationequipment|0.81|66.099998|66.099998|21.49|-|20|usa|0|0|-|Feb 27 BMO|technology|96.099998|660.719971
LORL|2|NASDAQ|2020|03|02|15|30|64100|31.59|30.33|31.4|31.200001|communicationequipment|0.81|66.099998|66.099998|21.49|-|20|usa|0|0|-|Feb 27 BMO|technology|96.099998|660.719971
LORL|3|NASDAQ|2020|02|28|15|30|75100|32.34|30.34|31.059999|30.889999|communicationequipment|0.81|66.099998|66.099998|21.49|-|20|usa|0|0|-|Feb 27 BMO|technology|96.099998|660.719971
LORL|4|NASDAQ|2020|02|27|15|30|105900|32.310001|30.389999|31.77|31.190001|communicationequipment|0.81|66.099998|66.099998|21.49|-|20|usa|0|0|-|Feb 27 BMO|technology|96.099998|660.719971
LORL|5|NASDAQ|2020|02|26|15|30|58800|32.689999|31.52|32.18|32.560001|communicationequipment|0.81|66.099998|66.099998|21.49|-|20|usa|0|0|-|Feb 27 BMO|technology|96.099998|660.719971
LORL|6|NASDAQ|2020|02|25|15|30|79600|33.669998|31.66|32.490002|33.669998|communicationequipment|0.81|66.099998|66.099998|21.49|-|20|usa|0|0|-|Feb 27 BMO|technology|96.099998|660.719971
LORL|7|NASDAQ|2020|02|24|15|30|42500|33.639999|33.27|33.540001|33.470001|communicationequipment|0.81|66.099998|66.099998|21.49|-|20|usa|0|0|-|Feb 27 BMO|technology|96.099998|660.719971
LORL|8|NASDAQ|2020|02|21|15|30|167200|35.209999|33.950001|34.23|35.209999|communicationequipment|0.81|66.099998|66.099998|21.49|-|20|usa|0|0|-|Feb 27 BMO|technology|96.099998|660.719971
LORL|9|NASDAQ|2020|02|20|15|30|36600|35.630001|35.07|35.150002|35.119999|communicationequipment|0.81|66.099998|66.099998|21.49|-|20|usa|0|0|-|Feb 27 BMO|technology|96.099998|660.719971
LORL|10|NASDAQ|2020|02|19|15|30|42300|35.689999|35.040001|35.25|35.630001|communicationequipment|0.81|66.099998|66.099998|21.49|-|20|usa|0|0|-|Feb 27 BMO|technology|96.099998|660.719971
LORL|11|NASDAQ|2020|02|18|15|30|34600|35.459999|34.919998|35.41|34.919998|communicationequipment|0.81|66.099998|66.099998|21.49|-|20|usa|0|0|-|Feb 27 BMO|technology|96.099998|660.719971
LORL|12|NASDAQ|2020|02|14|15|30|31400|35.68|34.84|34.91|35.5|communicationequipment|0.81|66.099998|66.099998|21.49|-|20|usa|0|0|-|Feb 27 BMO|technology|96.099998|660.719971
LORL|13|NASDAQ|2020|02|13|15|30|33400|35.889999|35.380001|35.529999|35.799999|communicationequipment|0.81|66.099998|66.099998|21.49|-|20|usa|0|0|-|Feb 27 BMO|technology|96.099998|660.719971
