empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
MRSN|0|NASDAQ|2020|03|04|15|30|357000|8.94|7.93|8.42|8.7|biotechnology|-|4.2|4.2|-|-|83|usa|0.07|0.06|7.4|Feb 28 BMO|healthcare|81.5|353.890015
MRSN|1|NASDAQ|2020|03|03|15|30|494700|9.134|7.86|8.49|9.12|biotechnology|-|4.2|4.2|-|-|83|usa|0.07|0.06|7.4|Feb 28 BMO|healthcare|81.5|353.890015
MRSN|2|NASDAQ|2020|03|02|15|30|503500|9.35|8.28|9.06|8.85|biotechnology|-|4.2|4.2|-|-|83|usa|0.07|0.06|7.4|Feb 28 BMO|healthcare|81.5|353.890015
MRSN|3|NASDAQ|2020|02|28|15|30|854700|9.14|7.54|8.66|8.79|biotechnology|-|4.2|4.2|-|-|83|usa|0.07|0.06|7.4|Feb 28 BMO|healthcare|81.5|353.890015
MRSN|4|NASDAQ|2020|02|27|15|30|519000|9.22|8.578|8.75|9.09|biotechnology|-|4.2|4.2|-|-|83|usa|0.07|0.06|7.4|Feb 28 BMO|healthcare|81.5|353.890015
MRSN|5|NASDAQ|2020|02|26|15|30|403800|9.57|8.86|9.28|9.14|biotechnology|-|4.2|4.2|-|-|83|usa|0.07|0.06|7.4|Feb 28 BMO|healthcare|81.5|353.890015
MRSN|6|NASDAQ|2020|02|25|15|30|612100|9.48|8.835|8.98|9.02|biotechnology|-|4.2|4.2|-|-|83|usa|0.07|0.06|7.4|Feb 28 BMO|healthcare|81.5|353.890015
MRSN|7|NASDAQ|2020|02|24|15|30|425000|9.18|8.5|9.02|8.52|biotechnology|-|4.2|4.2|-|-|83|usa|0.07|0.06|7.4|Feb 28 BMO|healthcare|81.5|353.890015
MRSN|8|NASDAQ|2020|02|21|15|30|538300|9.26|8.51|8.81|9.26|biotechnology|-|4.2|4.2|-|-|83|usa|0.07|0.06|7.4|Feb 28 BMO|healthcare|81.5|353.890015
MRSN|9|NASDAQ|2020|02|20|15|30|447200|9.4|9|9.27|9.11|biotechnology|-|4.2|4.2|-|-|83|usa|0.07|0.06|7.4|Feb 28 BMO|healthcare|81.5|353.890015
MRSN|10|NASDAQ|2020|02|19|15|30|629600|9.25|8.62|9.12|8.65|biotechnology|-|4.2|4.2|-|-|83|usa|0.07|0.06|7.4|Feb 28 BMO|healthcare|81.5|353.890015
MRSN|11|NASDAQ|2020|02|18|15|30|586500|8.65|7.8|8.51|7.86|biotechnology|-|4.2|4.2|-|-|83|usa|0.07|0.06|7.4|Feb 28 BMO|healthcare|81.5|353.890015
MRSN|12|NASDAQ|2020|02|14|15|30|285200|8.12|7.384|7.8|7.68|biotechnology|-|4.2|4.2|-|-|83|usa|0.07|0.06|7.4|Feb 28 BMO|healthcare|81.5|353.890015
MRSN|13|NASDAQ|2020|02|13|15|30|234400|8.2|7.59|7.65|8.11|biotechnology|-|4.2|4.2|-|-|83|usa|0.07|0.06|7.4|Feb 28 BMO|healthcare|81.5|353.890015
MRSN|14|NASDAQ|2020|02|12|15|30|290200|8.34|7.61|8.155|7.8|biotechnology|-|4.2|4.2|-|-|83|usa|0.07|0.06|7.4|Feb 28 BMO|healthcare|81.5|353.890015
MRSN|15|NASDAQ|2020|02|11|15|30|327000|8.1|7.29|7.78|7.64|biotechnology|-|4.2|4.2|-|-|83|usa|0.07|0.06|7.4|Feb 28 BMO|healthcare|81.5|353.890015
MRSN|16|NASDAQ|2020|02|10|15|30|259600|7.6|6.56|7.57|6.58|biotechnology|-|4.2|4.2|-|-|83|usa|0.07|0.06|7.4|Feb 28 BMO|healthcare|81.5|353.890015
MRSN|17|NASDAQ|2020|02|07|15|30|298300|7.06|6.56|6.59|6.8|biotechnology|-|4.2|4.2|-|-|83|usa|0.07|0.06|7.4|Feb 28 BMO|healthcare|81.5|353.890015
MRSN|18|NASDAQ|2020|02|06|15|30|446900|7.18|6.54|6.84|7.09|biotechnology|-|4.2|4.2|-|-|83|usa|0.07|0.06|7.4|Feb 28 BMO|healthcare|81.5|353.890015
MRSN|19|NASDAQ|2020|02|05|15|30|297000|7.65|7.01|7.06|7.46|biotechnology|-|4.2|4.2|-|-|83|usa|0.07|0.06|7.4|Feb 28 BMO|healthcare|81.5|353.890015
MRSN|20|NASDAQ|2020|02|04|15|30|414200|7.55|6.87|7.37|7.37|biotechnology|-|4.2|4.2|-|-|83|usa|0.07|0.06|7.4|Feb 28 BMO|healthcare|81.5|353.890015
MRSN|21|NASDAQ|2020|02|03|15|30|440700|7.55|6.78|7.25|6.78|biotechnology|-|4.2|4.2|-|-|83|usa|0.07|0.06|7.4|Feb 28 BMO|healthcare|81.5|353.890015
MRSN|22|NASDAQ|2020|01|31|15|30|371600|7.015|6.34|6.75|6.97|biotechnology|-|4.2|4.2|-|-|83|usa|0.07|0.06|7.4|Feb 28 BMO|healthcare|81.5|353.890015
MRSN|23|NASDAQ|2020|01|30|15|30|217200|7.409|6.94|6.98|7.37|biotechnology|-|4.2|4.2|-|-|83|usa|0.07|0.06|7.4|Feb 28 BMO|healthcare|81.5|353.890015
MRSN|24|NASDAQ|2020|01|29|15|30|494200|7.98|7.4|7.45|7.55|biotechnology|-|4.2|4.2|-|-|83|usa|0.07|0.06|7.4|Feb 28 BMO|healthcare|81.5|353.890015
MRSN|25|NASDAQ|2020|01|28|15|30|232100|7.68|7.13|7.5|7.68|biotechnology|-|4.2|4.2|-|-|83|usa|0.07|0.06|7.4|Feb 28 BMO|healthcare|81.5|353.890015
MRSN|26|NASDAQ|2020|01|27|15|30|237800|7.82|7.09|7.62|7.41|biotechnology|-|4.2|4.2|-|-|83|usa|0.07|0.06|7.4|Feb 28 BMO|healthcare|81.5|353.890015
MRSN|27|NASDAQ|2020|01|24|15|30|250300|8|7.36|7.42|7.93|biotechnology|-|4.2|4.2|-|-|83|usa|0.07|0.06|7.4|Feb 28 BMO|healthcare|81.5|353.890015
MRSN|28|NASDAQ|2020|01|23|15|30|339800|8.04|7.38|7.92|7.65|biotechnology|-|4.2|4.2|-|-|83|usa|0.07|0.06|7.4|Feb 28 BMO|healthcare|81.5|353.890015
MRSN|29|NASDAQ|2020|01|22|15|30|764000|8.344|7.56|7.67|8.04|biotechnology|-|4.2|4.2|-|-|83|usa|0.07|0.06|7.4|Feb 28 BMO|healthcare|81.5|353.890015
MRSN|30|NASDAQ|2020|01|21|15|30|737000|8.665|7.872|8.01|8.23|biotechnology|-|4.2|4.2|-|-|83|usa|0.07|0.06|7.4|Feb 28 BMO|healthcare|81.5|353.890015
MRSN|31|NASDAQ|2020|01|17|15|30|2478000|8.93|7.33|8.05|7.6|biotechnology|-|4.2|4.2|-|-|83|usa|0.07|0.06|7.4|Feb 28 BMO|healthcare|81.5|353.890015
MRSN|32|NASDAQ|2020|01|16|15|30|1353800|7.69|5.79|7.61|6.21|biotechnology|-|4.2|4.2|-|-|83|usa|0.07|0.06|7.4|Feb 28 BMO|healthcare|81.5|353.890015
MRSN|33|NASDAQ|2020|01|15|15|30|382700|6.66|6.037|6.16|6.12|biotechnology|-|4.2|4.2|-|-|83|usa|0.07|0.06|7.4|Feb 28 BMO|healthcare|81.5|353.890015
MRSN|34|NASDAQ|2020|01|14|15|30|435300|6.24|5.09|6.07|5.25|biotechnology|-|4.2|4.2|-|-|83|usa|0.07|0.06|7.4|Feb 28 BMO|healthcare|81.5|353.890015
MRSN|35|NASDAQ|2020|01|13|15|30|414000|5.6|5.165|5.27|5.57|biotechnology|-|4.2|4.2|-|-|83|usa|0.07|0.06|7.4|Feb 28 BMO|healthcare|81.5|353.890015
MRSN|36|NASDAQ|2020|01|10|15|30|1135300|6|5.395|5.54|5.51|biotechnology|-|4.2|4.2|-|-|83|usa|0.07|0.06|7.4|Feb 28 BMO|healthcare|81.5|353.890015
MRSN|37|NASDAQ|2020|01|09|15|30|236100|5.534|5.21|5.445|5.21|biotechnology|-|4.2|4.2|-|-|83|usa|0.07|0.06|7.4|Feb 28 BMO|healthcare|81.5|353.890015
MRSN|38|NASDAQ|2020|01|08|15|30|215800|5.29|5.14|5.16|5.23|biotechnology|-|4.2|4.2|-|-|83|usa|0.07|0.06|7.4|Feb 28 BMO|healthcare|81.5|353.890015
MRSN|39|NASDAQ|2020|01|07|15|30|262900|5.36|5.17|5.175|5.28|biotechnology|-|4.2|4.2|-|-|83|usa|0.07|0.06|7.4|Feb 28 BMO|healthcare|81.5|353.890015
MRSN|40|NASDAQ|2020|01|06|15|30|282500|5.44|5.09|5.28|5.17|biotechnology|-|4.2|4.2|-|-|83|usa|0.07|0.06|7.4|Feb 28 BMO|healthcare|81.5|353.890015
