empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
NEON|0|NASDAQ|2020|03|04|15|30|28500|2.32|2.15|2.15|2.2|diversifiedelectronics|42.509998|2.3|2.7|-|-|45|sweden|0.14|0.07|15.7|Mar 12 BMO|technology|6.3|18.1
NEON|1|NASDAQ|2020|03|03|15|30|43400|2.28|2.16|2.25|2.22|diversifiedelectronics|42.509998|2.3|2.7|-|-|45|sweden|0.14|0.07|15.7|Mar 12 BMO|technology|6.3|18.1
NEON|2|NASDAQ|2020|03|02|15|30|28600|2.35|2.16|2.17|2.18|diversifiedelectronics|42.509998|2.3|2.7|-|-|45|sweden|0.14|0.07|15.7|Mar 12 BMO|technology|6.3|18.1
NEON|3|NASDAQ|2020|02|28|15|30|11800|2.2|2|2.16|2|diversifiedelectronics|42.509998|2.3|2.7|-|-|45|sweden|0.14|0.07|15.7|Mar 12 BMO|technology|6.3|18.1
NEON|4|NASDAQ|2020|02|27|15|30|42600|2.25|2|2.1|2.25|diversifiedelectronics|42.509998|2.3|2.7|-|-|45|sweden|0.14|0.07|15.7|Mar 12 BMO|technology|6.3|18.1
NEON|5|NASDAQ|2020|02|26|15|30|15900|2.34|2.2|2.25|2.3|diversifiedelectronics|42.509998|2.3|2.7|-|-|45|sweden|0.14|0.07|15.7|Mar 12 BMO|technology|6.3|18.1
NEON|6|NASDAQ|2020|02|25|15|30|2800|2.49|2.28|2.39|2.41|diversifiedelectronics|42.509998|2.3|2.7|-|-|45|sweden|0.14|0.07|15.7|Mar 12 BMO|technology|6.3|18.1
NEON|7|NASDAQ|2020|02|24|15|30|18200|2.35|2.2|2.34|2.29|diversifiedelectronics|42.509998|2.3|2.7|-|-|45|sweden|0.14|0.07|15.7|Mar 12 BMO|technology|6.3|18.1
NEON|8|NASDAQ|2020|02|21|15|30|12800|2.53|2.3|2.35|2.5|diversifiedelectronics|42.509998|2.3|2.7|-|-|45|sweden|0.14|0.07|15.7|Mar 12 BMO|technology|6.3|18.1
NEON|9|NASDAQ|2020|02|20|15|30|18600|2.49|2.29|2.49|2.32|diversifiedelectronics|42.509998|2.3|2.7|-|-|45|sweden|0.14|0.07|15.7|Mar 12 BMO|technology|6.3|18.1
NEON|10|NASDAQ|2020|02|19|15|30|38000|2.49|2.2|2.4|2.26|diversifiedelectronics|42.509998|2.3|2.7|-|-|45|sweden|0.14|0.07|15.7|Mar 12 BMO|technology|6.3|18.1
NEON|11|NASDAQ|2020|02|18|15|30|28200|2.5|2.25|2.31|2.42|diversifiedelectronics|42.509998|2.3|2.7|-|-|45|sweden|0.14|0.07|15.7|Mar 12 BMO|technology|6.3|18.1
NEON|12|NASDAQ|2020|02|14|15|30|32000|2.63|2.4|2.42|2.5|diversifiedelectronics|42.509998|2.3|2.7|-|-|45|sweden|0.14|0.07|15.7|Mar 12 BMO|technology|6.3|18.1
NEON|13|NASDAQ|2020|02|13|15|30|24500|2.7|2.51|2.57|2.68|diversifiedelectronics|42.509998|2.3|2.7|-|-|45|sweden|0.14|0.07|15.7|Mar 12 BMO|technology|6.3|18.1
NEON|14|NASDAQ|2020|02|12|15|30|12900|2.68|2.62|2.62|2.66|diversifiedelectronics|42.509998|2.3|2.7|-|-|45|sweden|0.14|0.07|15.7|Mar 12 BMO|technology|6.3|18.1
NEON|15|NASDAQ|2020|02|11|15|30|14800|2.65|2.57|2.57|2.57|diversifiedelectronics|42.509998|2.3|2.7|-|-|45|sweden|0.14|0.07|15.7|Mar 12 BMO|technology|6.3|18.1
NEON|16|NASDAQ|2020|02|10|15|30|5900|2.58|2.5|2.57|2.57|diversifiedelectronics|42.509998|2.3|2.7|-|-|45|sweden|0.14|0.07|15.7|Mar 12 BMO|technology|6.3|18.1
NEON|17|NASDAQ|2020|02|07|15|30|6900|2.57|2.43|2.56|2.48|diversifiedelectronics|42.509998|2.3|2.7|-|-|45|sweden|0.14|0.07|15.7|Mar 12 BMO|technology|6.3|18.1
NEON|18|NASDAQ|2020|02|06|15|30|7500|2.52|2.43|2.52|2.43|diversifiedelectronics|42.509998|2.3|2.7|-|-|45|sweden|0.14|0.07|15.7|Mar 12 BMO|technology|6.3|18.1
NEON|19|NASDAQ|2020|02|05|15|30|6000|2.46|2.33|2.45|2.4|diversifiedelectronics|42.509998|2.3|2.7|-|-|45|sweden|0.14|0.07|15.7|Mar 12 BMO|technology|6.3|18.1
NEON|20|NASDAQ|2020|02|04|15|30|5700|2.47|2.31|2.36|2.47|diversifiedelectronics|42.509998|2.3|2.7|-|-|45|sweden|0.14|0.07|15.7|Mar 12 BMO|technology|6.3|18.1
NEON|21|NASDAQ|2020|02|03|15|30|12700|2.37|2.26|2.32|2.26|diversifiedelectronics|42.509998|2.3|2.7|-|-|45|sweden|0.14|0.07|15.7|Mar 12 BMO|technology|6.3|18.1
NEON|22|NASDAQ|2020|01|31|15|30|34100|2.55|2.25|2.3|2.27|diversifiedelectronics|42.509998|2.3|2.7|-|-|45|sweden|0.14|0.07|15.7|Mar 12 BMO|technology|6.3|18.1
NEON|23|NASDAQ|2020|01|30|15|30|19700|2.55|2.26|2.37|2.26|diversifiedelectronics|42.509998|2.3|2.7|-|-|45|sweden|0.14|0.07|15.7|Mar 12 BMO|technology|6.3|18.1
NEON|24|NASDAQ|2020|01|29|15|30|35900|2.38|2.26|2.27|2.38|diversifiedelectronics|42.509998|2.3|2.7|-|-|45|sweden|0.14|0.07|15.7|Mar 12 BMO|technology|6.3|18.1
NEON|25|NASDAQ|2020|01|28|15|30|37100|2.56|2.32|2.44|2.56|diversifiedelectronics|42.509998|2.3|2.7|-|-|45|sweden|0.14|0.07|15.7|Mar 12 BMO|technology|6.3|18.1
NEON|26|NASDAQ|2020|01|27|15|30|30300|2.69|2.46|2.6|2.67|diversifiedelectronics|42.509998|2.3|2.7|-|-|45|sweden|0.14|0.07|15.7|Mar 12 BMO|technology|6.3|18.1
NEON|27|NASDAQ|2020|01|24|15|30|31000|2.9|2.66|2.74|2.66|diversifiedelectronics|42.509998|2.3|2.7|-|-|45|sweden|0.14|0.07|15.7|Mar 12 BMO|technology|6.3|18.1
NEON|28|NASDAQ|2020|01|23|15|30|67100|2.82|2.4|2.66|2.8|diversifiedelectronics|42.509998|2.3|2.7|-|-|45|sweden|0.14|0.07|15.7|Mar 12 BMO|technology|6.3|18.1
NEON|29|NASDAQ|2020|01|22|15|30|28700|2.95|2.8|2.83|2.9|diversifiedelectronics|42.509998|2.3|2.7|-|-|45|sweden|0.14|0.07|15.7|Mar 12 BMO|technology|6.3|18.1
NEON|30|NASDAQ|2020|01|21|15|30|66600|3.15|2.9|2.9|2.92|diversifiedelectronics|42.509998|2.3|2.7|-|-|45|sweden|0.14|0.07|15.7|Mar 12 BMO|technology|6.3|18.1
NEON|31|NASDAQ|2020|01|17|15|30|36000|2.9|2.7|2.81|2.81|diversifiedelectronics|42.509998|2.3|2.7|-|-|45|sweden|0.14|0.07|15.7|Mar 12 BMO|technology|6.3|18.1
NEON|32|NASDAQ|2020|01|16|15|30|72200|2.95|2.6|2.68|2.88|diversifiedelectronics|42.509998|2.3|2.7|-|-|45|sweden|0.14|0.07|15.7|Mar 12 BMO|technology|6.3|18.1
NEON|33|NASDAQ|2020|01|15|15|30|134000|2.79|2.4|2.77|2.4|diversifiedelectronics|42.509998|2.3|2.7|-|-|45|sweden|0.14|0.07|15.7|Mar 12 BMO|technology|6.3|18.1
NEON|34|NASDAQ|2020|01|14|15|30|44700|2.4|2.28|2.4|2.4|diversifiedelectronics|42.509998|2.3|2.7|-|-|45|sweden|0.14|0.07|15.7|Mar 12 BMO|technology|6.3|18.1
NEON|35|NASDAQ|2020|01|13|15|30|228800|2.88|2.15|2.49|2.15|diversifiedelectronics|42.509998|2.3|2.7|-|-|45|sweden|0.14|0.07|15.7|Mar 12 BMO|technology|6.3|18.1
NEON|36|NASDAQ|2020|01|10|15|30|20600|2.2|2.15|2.17|2.2|diversifiedelectronics|42.509998|2.3|2.7|-|-|45|sweden|0.14|0.07|15.7|Mar 12 BMO|technology|6.3|18.1
NEON|37|NASDAQ|2020|01|09|15|30|32900|2.2|2.11|2.18|2.11|diversifiedelectronics|42.509998|2.3|2.7|-|-|45|sweden|0.14|0.07|15.7|Mar 12 BMO|technology|6.3|18.1
