empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
PDCE|0|NASDAQ|2020|03|04|15|30|2213600|18.92|17.799999|18.49|18.27|independentoilgas|1|0.8|0.8|-|-|540|usa|0.51|0.51|30.200001|Feb 26 AMC|basicmaterials|72|1740
PDCE|1|NASDAQ|2020|03|03|15|30|1974500|19.059999|17.18|17.530001|18.559999|independentoilgas|1|0.8|0.8|-|-|540|usa|0.51|0.51|30.200001|Feb 26 AMC|basicmaterials|72|1740
PDCE|2|NASDAQ|2020|03|02|15|30|2391200|19.42|17.940001|18.530001|19.34|independentoilgas|1|0.8|0.8|-|-|540|usa|0.51|0.51|30.200001|Feb 26 AMC|basicmaterials|72|1740
PDCE|3|NASDAQ|2020|02|28|15|30|2482700|19.1|16.370001|19.030001|16.700001|independentoilgas|1|0.8|0.8|-|-|540|usa|0.51|0.51|30.200001|Feb 26 AMC|basicmaterials|72|1740
PDCE|4|NASDAQ|2020|02|27|15|30|3203100|19.459999|16.49|17.540001|18.4|independentoilgas|1|0.8|0.8|-|-|540|usa|0.51|0.51|30.200001|Feb 26 AMC|basicmaterials|72|1740
PDCE|5|NASDAQ|2020|02|26|15|30|1833000|20.01|18.139999|18.440001|19.639999|independentoilgas|1|0.8|0.8|-|-|540|usa|0.51|0.51|30.200001|Feb 26 AMC|basicmaterials|72|1740
PDCE|6|NASDAQ|2020|02|25|15|30|1737500|21.42|19.18|19.459999|21.35|independentoilgas|1|0.8|0.8|-|-|540|usa|0.51|0.51|30.200001|Feb 26 AMC|basicmaterials|72|1740
PDCE|7|NASDAQ|2020|02|24|15|30|1526900|21.549999|20.469999|21.23|21.17|independentoilgas|1|0.8|0.8|-|-|540|usa|0.51|0.51|30.200001|Feb 26 AMC|basicmaterials|72|1740
PDCE|8|NASDAQ|2020|02|21|15|30|1151900|22.5|21.809999|22.389999|22.389999|independentoilgas|1|0.8|0.8|-|-|540|usa|0.51|0.51|30.200001|Feb 26 AMC|basicmaterials|72|1740
PDCE|9|NASDAQ|2020|02|20|15|30|1126100|23.309999|22.35|22.73|22.530001|independentoilgas|1|0.8|0.8|-|-|540|usa|0.51|0.51|30.200001|Feb 26 AMC|basicmaterials|72|1740
PDCE|10|NASDAQ|2020|02|19|15|30|1300400|22.709999|21.59|22.42|21.879999|independentoilgas|1|0.8|0.8|-|-|540|usa|0.51|0.51|30.200001|Feb 26 AMC|basicmaterials|72|1740
PDCE|11|NASDAQ|2020|02|18|15|30|1309800|22.16|21.25|21.559999|22.040001|independentoilgas|1|0.8|0.8|-|-|540|usa|0.51|0.51|30.200001|Feb 26 AMC|basicmaterials|72|1740
PDCE|12|NASDAQ|2020|02|14|15|30|1171000|22.5|21.940001|22.309999|22.27|independentoilgas|1|0.8|0.8|-|-|540|usa|0.51|0.51|30.200001|Feb 26 AMC|basicmaterials|72|1740
PDCE|13|NASDAQ|2020|02|13|15|30|951600|22.370001|21.57|22.030001|22.110001|independentoilgas|1|0.8|0.8|-|-|540|usa|0.51|0.51|30.200001|Feb 26 AMC|basicmaterials|72|1740
PDCE|14|NASDAQ|2020|02|12|15|30|1683800|23.43|21.870001|22.200001|22.299999|independentoilgas|1|0.8|0.8|-|-|540|usa|0.51|0.51|30.200001|Feb 26 AMC|basicmaterials|72|1740
PDCE|15|NASDAQ|2020|02|11|15|30|1163600|22.219999|21.51|21.82|22.01|independentoilgas|1|0.8|0.8|-|-|540|usa|0.51|0.51|30.200001|Feb 26 AMC|basicmaterials|72|1740
PDCE|16|NASDAQ|2020|02|10|15|30|1314400|21.9|21.059999|21.540001|21.860001|independentoilgas|1|0.8|0.8|-|-|540|usa|0.51|0.51|30.200001|Feb 26 AMC|basicmaterials|72|1740
PDCE|17|NASDAQ|2020|02|07|15|30|1220400|22.700001|21.469999|22.17|22.57|independentoilgas|1|0.8|0.8|-|-|540|usa|0.51|0.51|30.200001|Feb 26 AMC|basicmaterials|72|1740
PDCE|18|NASDAQ|2020|02|06|15|30|1707900|23.76|22.84|22.99|23.43|independentoilgas|1|0.8|0.8|-|-|540|usa|0.51|0.51|30.200001|Feb 26 AMC|basicmaterials|72|1740
PDCE|19|NASDAQ|2020|02|05|15|30|1623800|23.84|22.799999|23.42|22.92|independentoilgas|1|0.8|0.8|-|-|540|usa|0.51|0.51|30.200001|Feb 26 AMC|basicmaterials|72|1740
