empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
PRIM|0|NASDAQ|2020|03|04|15|30|217700|20.49|20|20.16|20.23|heavyconstruction|5.3|1.4|1.4|12.6|1.18|1600|usa|0.56|0.47|18.5|Feb 25 BMO|industrialgoods|88.400002|979.090027
PRIM|1|NASDAQ|2020|03|03|15|30|191200|20.5|19.57|19.92|19.719999|heavyconstruction|5.3|1.4|1.4|12.6|1.18|1600|usa|0.56|0.47|18.5|Feb 25 BMO|industrialgoods|88.400002|979.090027
PRIM|2|NASDAQ|2020|03|02|15|30|171000|19.82|18.84|19.76|19.01|heavyconstruction|5.3|1.4|1.4|12.6|1.18|1600|usa|0.56|0.47|18.5|Feb 25 BMO|industrialgoods|88.400002|979.090027
PRIM|3|NASDAQ|2020|02|28|15|30|328200|19.379999|18.5|18.98|18.99|heavyconstruction|5.3|1.4|1.4|12.6|1.18|1600|usa|0.56|0.47|18.5|Feb 25 BMO|industrialgoods|88.400002|979.090027
PRIM|4|NASDAQ|2020|02|27|15|30|186700|20.26|19.6|19.66|19.870001|heavyconstruction|5.3|1.4|1.4|12.6|1.18|1600|usa|0.56|0.47|18.5|Feb 25 BMO|industrialgoods|88.400002|979.090027
PRIM|5|NASDAQ|2020|02|26|15|30|229700|21.67|19.93|20.200001|21.299999|heavyconstruction|5.3|1.4|1.4|12.6|1.18|1600|usa|0.56|0.47|18.5|Feb 25 BMO|industrialgoods|88.400002|979.090027
PRIM|6|NASDAQ|2020|02|25|15|30|224400|22.959999|21.120001|21.25|21.49|heavyconstruction|5.3|1.4|1.4|12.6|1.18|1600|usa|0.56|0.47|18.5|Feb 25 BMO|industrialgoods|88.400002|979.090027
PRIM|7|NASDAQ|2020|02|24|15|30|112300|22.719999|21.940001|22.559999|22.219999|heavyconstruction|5.3|1.4|1.4|12.6|1.18|1600|usa|0.56|0.47|18.5|Feb 25 BMO|industrialgoods|88.400002|979.090027
PRIM|8|NASDAQ|2020|02|21|15|30|118300|23.24|22.200001|22.950001|22.389999|heavyconstruction|5.3|1.4|1.4|12.6|1.18|1600|usa|0.56|0.47|18.5|Feb 25 BMO|industrialgoods|88.400002|979.090027
PRIM|9|NASDAQ|2020|02|20|15|30|178300|23.459999|22.360001|22.4|23.290001|heavyconstruction|5.3|1.4|1.4|12.6|1.18|1600|usa|0.56|0.47|18.5|Feb 25 BMO|industrialgoods|88.400002|979.090027
PRIM|10|NASDAQ|2020|02|19|15|30|68000|23.5|23.209999|23.379999|23.4|heavyconstruction|5.3|1.4|1.4|12.6|1.18|1600|usa|0.56|0.47|18.5|Feb 25 BMO|industrialgoods|88.400002|979.090027
PRIM|11|NASDAQ|2020|02|18|15|30|100500|23.52|23.15|23.370001|23.280001|heavyconstruction|5.3|1.4|1.4|12.6|1.18|1600|usa|0.56|0.47|18.5|Feb 25 BMO|industrialgoods|88.400002|979.090027
PRIM|12|NASDAQ|2020|02|14|15|30|88600|23.42|23.030001|23.35|23.18|heavyconstruction|5.3|1.4|1.4|12.6|1.18|1600|usa|0.56|0.47|18.5|Feb 25 BMO|industrialgoods|88.400002|979.090027
PRIM|13|NASDAQ|2020|02|13|15|30|92200|23.129999|22.709999|23.129999|22.92|heavyconstruction|5.3|1.4|1.4|12.6|1.18|1600|usa|0.56|0.47|18.5|Feb 25 BMO|industrialgoods|88.400002|979.090027
PRIM|14|NASDAQ|2020|02|12|15|30|100100|23.16|22.610001|22.959999|22.67|heavyconstruction|5.3|1.4|1.4|12.6|1.18|1600|usa|0.56|0.47|18.5|Feb 25 BMO|industrialgoods|88.400002|979.090027
PRIM|15|NASDAQ|2020|02|11|15|30|83700|22.82|21.969999|22.51|21.969999|heavyconstruction|5.3|1.4|1.4|12.6|1.18|1600|usa|0.56|0.47|18.5|Feb 25 BMO|industrialgoods|88.400002|979.090027
PRIM|16|NASDAQ|2020|02|10|15|30|45500|21.860001|21.610001|21.82|21.700001|heavyconstruction|5.3|1.4|1.4|12.6|1.18|1600|usa|0.56|0.47|18.5|Feb 25 BMO|industrialgoods|88.400002|979.090027
PRIM|17|NASDAQ|2020|02|07|15|30|78600|21.860001|21.530001|21.74|21.790001|heavyconstruction|5.3|1.4|1.4|12.6|1.18|1600|usa|0.56|0.47|18.5|Feb 25 BMO|industrialgoods|88.400002|979.090027
PRIM|18|NASDAQ|2020|02|06|15|30|96700|22.389999|21.73|21.9|22.309999|heavyconstruction|5.3|1.4|1.4|12.6|1.18|1600|usa|0.56|0.47|18.5|Feb 25 BMO|industrialgoods|88.400002|979.090027
PRIM|19|NASDAQ|2020|02|05|15|30|189300|22.219999|21.629999|22.209999|21.700001|heavyconstruction|5.3|1.4|1.4|12.6|1.18|1600|usa|0.56|0.47|18.5|Feb 25 BMO|industrialgoods|88.400002|979.090027
PRIM|20|NASDAQ|2020|02|04|15|30|141700|21.75|21.41|21.469999|21.65|heavyconstruction|5.3|1.4|1.4|12.6|1.18|1600|usa|0.56|0.47|18.5|Feb 25 BMO|industrialgoods|88.400002|979.090027
PRIM|21|NASDAQ|2020|02|03|15|30|162000|21.559999|21.35|21.389999|21.5|heavyconstruction|5.3|1.4|1.4|12.6|1.18|1600|usa|0.56|0.47|18.5|Feb 25 BMO|industrialgoods|88.400002|979.090027
PRIM|22|NASDAQ|2020|01|31|15|30|200700|21.940001|21.16|21.33|21.85|heavyconstruction|5.3|1.4|1.4|12.6|1.18|1600|usa|0.56|0.47|18.5|Feb 25 BMO|industrialgoods|88.400002|979.090027
PRIM|23|NASDAQ|2020|01|30|15|30|100800|22|21.639999|22|21.690001|heavyconstruction|5.3|1.4|1.4|12.6|1.18|1600|usa|0.56|0.47|18.5|Feb 25 BMO|industrialgoods|88.400002|979.090027
PRIM|24|NASDAQ|2020|01|29|15|30|100700|22.09|21.719999|21.870001|21.790001|heavyconstruction|5.3|1.4|1.4|12.6|1.18|1600|usa|0.56|0.47|18.5|Feb 25 BMO|industrialgoods|88.400002|979.090027
PRIM|25|NASDAQ|2020|01|28|15|30|81500|22.129999|21.57|21.799999|21.83|heavyconstruction|5.3|1.4|1.4|12.6|1.18|1600|usa|0.56|0.47|18.5|Feb 25 BMO|industrialgoods|88.400002|979.090027
PRIM|26|NASDAQ|2020|01|27|15|30|85900|22.02|21.540001|21.77|21.629999|heavyconstruction|5.3|1.4|1.4|12.6|1.18|1600|usa|0.56|0.47|18.5|Feb 25 BMO|industrialgoods|88.400002|979.090027
PRIM|27|NASDAQ|2020|01|24|15|30|83000|22.780001|21.950001|22|22.66|heavyconstruction|5.3|1.4|1.4|12.6|1.18|1600|usa|0.56|0.47|18.5|Feb 25 BMO|industrialgoods|88.400002|979.090027
PRIM|28|NASDAQ|2020|01|23|15|30|152700|23.309999|22.370001|22.76|22.690001|heavyconstruction|5.3|1.4|1.4|12.6|1.18|1600|usa|0.56|0.47|18.5|Feb 25 BMO|industrialgoods|88.400002|979.090027
