empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
PTC|0|NASDAQ|2020|03|04|15|30|1660300|72.419998|69.559998|70.82|71.419998|technicalsystemsoftware|0.9|1.2|1.2|-|-|6055|usa|0.9|0.9|23.860001|Jan 22 AMC|technology|91.699997|8020.000488
PTC|1|NASDAQ|2020|03|03|15|30|1573900|76.019997|69.57|70.050003|74.93|technicalsystemsoftware|0.9|1.2|1.2|-|-|6055|usa|0.9|0.9|23.860001|Jan 22 AMC|technology|91.699997|8020.000488
PTC|2|NASDAQ|2020|03|02|15|30|1644000|76.720001|72.910004|74.68|76.330002|technicalsystemsoftware|0.9|1.2|1.2|-|-|6055|usa|0.9|0.9|23.860001|Jan 22 AMC|technology|91.699997|8020.000488
PTC|3|NASDAQ|2020|02|28|15|30|1309400|76.190002|72.82|75.550003|72.879997|technicalsystemsoftware|0.9|1.2|1.2|-|-|6055|usa|0.9|0.9|23.860001|Jan 22 AMC|technology|91.699997|8020.000488
PTC|4|NASDAQ|2020|02|27|15|30|1050700|79.089996|75.190002|76.029999|77.93|technicalsystemsoftware|0.9|1.2|1.2|-|-|6055|usa|0.9|0.9|23.860001|Jan 22 AMC|technology|91.699997|8020.000488
PTC|5|NASDAQ|2020|02|26|15|30|743000|83.290001|79.870003|80.43|81.720001|technicalsystemsoftware|0.9|1.2|1.2|-|-|6055|usa|0.9|0.9|23.860001|Jan 22 AMC|technology|91.699997|8020.000488
PTC|6|NASDAQ|2020|02|25|15|30|1128000|86.309998|80.099998|81.32|86.18|technicalsystemsoftware|0.9|1.2|1.2|-|-|6055|usa|0.9|0.9|23.860001|Jan 22 AMC|technology|91.699997|8020.000488
PTC|7|NASDAQ|2020|02|24|15|30|816700|86.099998|83.379997|85.650002|84.800003|technicalsystemsoftware|0.9|1.2|1.2|-|-|6055|usa|0.9|0.9|23.860001|Jan 22 AMC|technology|91.699997|8020.000488
PTC|8|NASDAQ|2020|02|21|15|30|702800|88.720001|87.18|88.620003|88.360001|technicalsystemsoftware|0.9|1.2|1.2|-|-|6055|usa|0.9|0.9|23.860001|Jan 22 AMC|technology|91.699997|8020.000488
PTC|9|NASDAQ|2020|02|20|15|30|420800|89.07|87.239998|88.379997|88.309998|technicalsystemsoftware|0.9|1.2|1.2|-|-|6055|usa|0.9|0.9|23.860001|Jan 22 AMC|technology|91.699997|8020.000488
