empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
QADB|0|NASDAQ|2020|03|04|15|30|4600|33.599998|30.99|33.02|33.419998|applicationsoftware|77.010002|-|-|-|0.79|1930|usa|-|-|-|Mar 18 AMC|technology|11.58|101.290001
QADB|1|NASDAQ|2020|03|03|15|30|4800|34.549999|32.09|33.650002|33.310001|applicationsoftware|77.010002|-|-|-|0.79|1930|usa|-|-|-|Mar 18 AMC|technology|11.58|101.290001
QADB|2|NASDAQ|2020|03|02|15|30|0|33.5|33.5|33.5|33.5|applicationsoftware|77.010002|-|-|-|0.79|1930|usa|-|-|-|Mar 18 AMC|technology|11.58|101.290001
QADB|3|NASDAQ|2020|02|28|15|30|0|33.5|33.5|33.5|33.5|applicationsoftware|77.010002|-|-|-|0.79|1930|usa|-|-|-|Mar 18 AMC|technology|11.58|101.290001
QADB|4|NASDAQ|2020|02|27|15|30|800|33.5|33.5|33.5|33.5|applicationsoftware|77.010002|-|-|-|0.79|1930|usa|-|-|-|Mar 18 AMC|technology|11.58|101.290001
QADB|5|NASDAQ|2020|02|26|15|30|500|34|34|34|34|applicationsoftware|77.010002|-|-|-|0.79|1930|usa|-|-|-|Mar 18 AMC|technology|11.58|101.290001
QADB|6|NASDAQ|2020|02|25|15|30|300|34.040001|34|34.02|34|applicationsoftware|77.010002|-|-|-|0.79|1930|usa|-|-|-|Mar 18 AMC|technology|11.58|101.290001
QADB|7|NASDAQ|2020|02|24|15|30|0|35.5|35.5|35.5|35.5|applicationsoftware|77.010002|-|-|-|0.79|1930|usa|-|-|-|Mar 18 AMC|technology|11.58|101.290001
QADB|8|NASDAQ|2020|02|21|15|30|300|35.5|35.5|35.5|35.5|applicationsoftware|77.010002|-|-|-|0.79|1930|usa|-|-|-|Mar 18 AMC|technology|11.58|101.290001
QADB|9|NASDAQ|2020|02|20|15|30|100|37|37|37|37|applicationsoftware|77.010002|-|-|-|0.79|1930|usa|-|-|-|Mar 18 AMC|technology|11.58|101.290001
QADB|10|NASDAQ|2020|02|19|15|30|1400|37|36.98|37|36.98|applicationsoftware|77.010002|-|-|-|0.79|1930|usa|-|-|-|Mar 18 AMC|technology|11.58|101.290001
QADB|11|NASDAQ|2020|02|18|15|30|0|35.849998|35.849998|35.849998|35.849998|applicationsoftware|77.010002|-|-|-|0.79|1930|usa|-|-|-|Mar 18 AMC|technology|11.58|101.290001
QADB|12|NASDAQ|2020|02|14|15|30|1200|35.849998|35.669998|35.849998|35.669998|applicationsoftware|77.010002|-|-|-|0.79|1930|usa|-|-|-|Mar 18 AMC|technology|11.58|101.290001
QADB|13|NASDAQ|2020|02|13|15|30|200|38|38|38|38|applicationsoftware|77.010002|-|-|-|0.79|1930|usa|-|-|-|Mar 18 AMC|technology|11.58|101.290001
QADB|14|NASDAQ|2020|02|12|15|30|300|37|37|37|37|applicationsoftware|77.010002|-|-|-|0.79|1930|usa|-|-|-|Mar 18 AMC|technology|11.58|101.290001
QADB|15|NASDAQ|2020|02|11|15|30|0|35.009998|35.009998|35.009998|35.009998|applicationsoftware|77.010002|-|-|-|0.79|1930|usa|-|-|-|Mar 18 AMC|technology|11.58|101.290001
QADB|16|NASDAQ|2020|02|10|15|30|0|35.009998|35.009998|35.009998|35.009998|applicationsoftware|77.010002|-|-|-|0.79|1930|usa|-|-|-|Mar 18 AMC|technology|11.58|101.290001
QADB|17|NASDAQ|2020|02|07|15|30|1500|35.009998|35|35.009998|35|applicationsoftware|77.010002|-|-|-|0.79|1930|usa|-|-|-|Mar 18 AMC|technology|11.58|101.290001
QADB|18|NASDAQ|2020|02|06|15|30|500|35.669998|35.380001|35.380001|35.669998|applicationsoftware|77.010002|-|-|-|0.79|1930|usa|-|-|-|Mar 18 AMC|technology|11.58|101.290001
QADB|19|NASDAQ|2020|02|05|15|30|0|36.5|36.5|36.5|36.5|applicationsoftware|77.010002|-|-|-|0.79|1930|usa|-|-|-|Mar 18 AMC|technology|11.58|101.290001
QADB|20|NASDAQ|2020|02|04|15|30|0|36.5|36.5|36.5|36.5|applicationsoftware|77.010002|-|-|-|0.79|1930|usa|-|-|-|Mar 18 AMC|technology|11.58|101.290001
QADB|21|NASDAQ|2020|02|03|15|30|0|36.5|36.5|36.5|36.5|applicationsoftware|77.010002|-|-|-|0.79|1930|usa|-|-|-|Mar 18 AMC|technology|11.58|101.290001
QADB|22|NASDAQ|2020|01|31|15|30|0|36.5|36.5|36.5|36.5|applicationsoftware|77.010002|-|-|-|0.79|1930|usa|-|-|-|Mar 18 AMC|technology|11.58|101.290001
QADB|23|NASDAQ|2020|01|30|15|30|800|36.549999|36.5|36.5|36.549999|applicationsoftware|77.010002|-|-|-|0.79|1930|usa|-|-|-|Mar 18 AMC|technology|11.58|101.290001
QADB|24|NASDAQ|2020|01|29|15|30|500|37|37|37|37|applicationsoftware|77.010002|-|-|-|0.79|1930|usa|-|-|-|Mar 18 AMC|technology|11.58|101.290001
QADB|25|NASDAQ|2020|01|28|15|30|0|37.25|37.25|37.25|37.25|applicationsoftware|77.010002|-|-|-|0.79|1930|usa|-|-|-|Mar 18 AMC|technology|11.58|101.290001
QADB|26|NASDAQ|2020|01|27|15|30|0|37.25|37.25|37.25|37.25|applicationsoftware|77.010002|-|-|-|0.79|1930|usa|-|-|-|Mar 18 AMC|technology|11.58|101.290001
