empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
QTNT|0|NASDAQ|2020|03|04|15|30|546300|6.88|6.32|6.5|6.44|diagnosticsubstances|1.6|5.7|6.4|-|-|420|switzerland|9.69|9.66|16.299999|Jan 30 BMO|healthcare|86.5|488.279999
QTNT|1|NASDAQ|2020|03|03|15|30|445800|6.55|6.01|6.33|6.06|diagnosticsubstances|1.6|5.7|6.4|-|-|420|switzerland|9.69|9.66|16.299999|Jan 30 BMO|healthcare|86.5|488.279999
QTNT|2|NASDAQ|2020|03|02|15|30|445700|6.23|5.84|6.04|6.1|diagnosticsubstances|1.6|5.7|6.4|-|-|420|switzerland|9.69|9.66|16.299999|Jan 30 BMO|healthcare|86.5|488.279999
QTNT|3|NASDAQ|2020|02|28|15|30|1375400|6.35|5.93|6.08|6.3|diagnosticsubstances|1.6|5.7|6.4|-|-|420|switzerland|9.69|9.66|16.299999|Jan 30 BMO|healthcare|86.5|488.279999
QTNT|4|NASDAQ|2020|02|27|15|30|841500|6.69|6.02|6.42|6.18|diagnosticsubstances|1.6|5.7|6.4|-|-|420|switzerland|9.69|9.66|16.299999|Jan 30 BMO|healthcare|86.5|488.279999
QTNT|5|NASDAQ|2020|02|26|15|30|484900|6.6|6.16|6.32|6.31|diagnosticsubstances|1.6|5.7|6.4|-|-|420|switzerland|9.69|9.66|16.299999|Jan 30 BMO|healthcare|86.5|488.279999
QTNT|6|NASDAQ|2020|02|25|15|30|637900|7|6.2|6.27|6.84|diagnosticsubstances|1.6|5.7|6.4|-|-|420|switzerland|9.69|9.66|16.299999|Jan 30 BMO|healthcare|86.5|488.279999
QTNT|7|NASDAQ|2020|02|24|15|30|349200|6.94|6.52|6.85|6.76|diagnosticsubstances|1.6|5.7|6.4|-|-|420|switzerland|9.69|9.66|16.299999|Jan 30 BMO|healthcare|86.5|488.279999
QTNT|8|NASDAQ|2020|02|21|15|30|170100|7.17|6.95|6.99|7.15|diagnosticsubstances|1.6|5.7|6.4|-|-|420|switzerland|9.69|9.66|16.299999|Jan 30 BMO|healthcare|86.5|488.279999
QTNT|9|NASDAQ|2020|02|20|15|30|232100|7.31|6.91|7.17|7.3|diagnosticsubstances|1.6|5.7|6.4|-|-|420|switzerland|9.69|9.66|16.299999|Jan 30 BMO|healthcare|86.5|488.279999
QTNT|10|NASDAQ|2020|02|19|15|30|382000|7.37|7.05|7.29|7.21|diagnosticsubstances|1.6|5.7|6.4|-|-|420|switzerland|9.69|9.66|16.299999|Jan 30 BMO|healthcare|86.5|488.279999
QTNT|11|NASDAQ|2020|02|18|15|30|439300|7.26|6.81|7.24|7.02|diagnosticsubstances|1.6|5.7|6.4|-|-|420|switzerland|9.69|9.66|16.299999|Jan 30 BMO|healthcare|86.5|488.279999
QTNT|12|NASDAQ|2020|02|14|15|30|349000|7.49|6.93|7|7.43|diagnosticsubstances|1.6|5.7|6.4|-|-|420|switzerland|9.69|9.66|16.299999|Jan 30 BMO|healthcare|86.5|488.279999
QTNT|13|NASDAQ|2020|02|13|15|30|215800|7.11|6.88|6.93|7.11|diagnosticsubstances|1.6|5.7|6.4|-|-|420|switzerland|9.69|9.66|16.299999|Jan 30 BMO|healthcare|86.5|488.279999
