empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
RCM|0|NASDAQ|2020|03|04|15|30|527900|12.88|12.487|12.85|12.5|healthcareinformationservices|17.6|0.9|0.9|-|-|19000|usa|19.639999|18.690001|47.189999|Feb 20 BMO|technology|79.699997|1470
RCM|1|NASDAQ|2020|03|03|15|30|775900|13.13|12.2|12.36|12.62|healthcareinformationservices|17.6|0.9|0.9|-|-|19000|usa|19.639999|18.690001|47.189999|Feb 20 BMO|technology|79.699997|1470
RCM|2|NASDAQ|2020|03|02|15|30|925800|12.65|12.05|12.6|12.38|healthcareinformationservices|17.6|0.9|0.9|-|-|19000|usa|19.639999|18.690001|47.189999|Feb 20 BMO|technology|79.699997|1470
RCM|3|NASDAQ|2020|02|28|15|30|1009100|12.39|11.84|12.28|12.02|healthcareinformationservices|17.6|0.9|0.9|-|-|19000|usa|19.639999|18.690001|47.189999|Feb 20 BMO|technology|79.699997|1470
RCM|4|NASDAQ|2020|02|27|15|30|1331100|12.95|12.29|12.46|12.9|healthcareinformationservices|17.6|0.9|0.9|-|-|19000|usa|19.639999|18.690001|47.189999|Feb 20 BMO|technology|79.699997|1470
RCM|5|NASDAQ|2020|02|26|15|30|691800|13.36|13|13.09|13.13|healthcareinformationservices|17.6|0.9|0.9|-|-|19000|usa|19.639999|18.690001|47.189999|Feb 20 BMO|technology|79.699997|1470
RCM|6|NASDAQ|2020|02|25|15|30|1189900|13.54|12.9|13.085|13.53|healthcareinformationservices|17.6|0.9|0.9|-|-|19000|usa|19.639999|18.690001|47.189999|Feb 20 BMO|technology|79.699997|1470
RCM|7|NASDAQ|2020|02|24|15|30|1030300|13.67|13.12|13.395|13.67|healthcareinformationservices|17.6|0.9|0.9|-|-|19000|usa|19.639999|18.690001|47.189999|Feb 20 BMO|technology|79.699997|1470
RCM|8|NASDAQ|2020|02|21|15|30|1919400|13.97|13.3|13.91|13.3|healthcareinformationservices|17.6|0.9|0.9|-|-|19000|usa|19.639999|18.690001|47.189999|Feb 20 BMO|technology|79.699997|1470
RCM|9|NASDAQ|2020|02|20|15|30|1670400|13.65|12.68|13.28|13|healthcareinformationservices|17.6|0.9|0.9|-|-|19000|usa|19.639999|18.690001|47.189999|Feb 20 BMO|technology|79.699997|1470
RCM|10|NASDAQ|2020|02|19|15|30|1397800|13.78|13.42|13.62|13.48|healthcareinformationservices|17.6|0.9|0.9|-|-|19000|usa|19.639999|18.690001|47.189999|Feb 20 BMO|technology|79.699997|1470
RCM|11|NASDAQ|2020|02|18|15|30|913300|13.47|13.02|13.46|13.2|healthcareinformationservices|17.6|0.9|0.9|-|-|19000|usa|19.639999|18.690001|47.189999|Feb 20 BMO|technology|79.699997|1470
RCM|12|NASDAQ|2020|02|14|15|30|769700|13.69|13.225|13.26|13.69|healthcareinformationservices|17.6|0.9|0.9|-|-|19000|usa|19.639999|18.690001|47.189999|Feb 20 BMO|technology|79.699997|1470
RCM|13|NASDAQ|2020|02|13|15|30|720600|13.88|13.4|13.72|13.5|healthcareinformationservices|17.6|0.9|0.9|-|-|19000|usa|19.639999|18.690001|47.189999|Feb 20 BMO|technology|79.699997|1470
RCM|14|NASDAQ|2020|02|12|15|30|929200|13.655|13.29|13.56|13.34|healthcareinformationservices|17.6|0.9|0.9|-|-|19000|usa|19.639999|18.690001|47.189999|Feb 20 BMO|technology|79.699997|1470
RCM|15|NASDAQ|2020|02|11|15|30|757400|13.33|12.92|13.28|12.99|healthcareinformationservices|17.6|0.9|0.9|-|-|19000|usa|19.639999|18.690001|47.189999|Feb 20 BMO|technology|79.699997|1470
RCM|16|NASDAQ|2020|02|10|15|30|456400|13.01|12.83|12.92|12.91|healthcareinformationservices|17.6|0.9|0.9|-|-|19000|usa|19.639999|18.690001|47.189999|Feb 20 BMO|technology|79.699997|1470
RCM|17|NASDAQ|2020|02|07|15|30|421000|13.12|12.895|12.93|13.07|healthcareinformationservices|17.6|0.9|0.9|-|-|19000|usa|19.639999|18.690001|47.189999|Feb 20 BMO|technology|79.699997|1470
RCM|18|NASDAQ|2020|02|06|15|30|374000|13.23|13.04|13.09|13.23|healthcareinformationservices|17.6|0.9|0.9|-|-|19000|usa|19.639999|18.690001|47.189999|Feb 20 BMO|technology|79.699997|1470
RCM|19|NASDAQ|2020|02|05|15|30|440400|13.31|13.13|13.19|13.23|healthcareinformationservices|17.6|0.9|0.9|-|-|19000|usa|19.639999|18.690001|47.189999|Feb 20 BMO|technology|79.699997|1470
RCM|20|NASDAQ|2020|02|04|15|30|716500|13.22|12.705|13.14|12.71|healthcareinformationservices|17.6|0.9|0.9|-|-|19000|usa|19.639999|18.690001|47.189999|Feb 20 BMO|technology|79.699997|1470
RCM|21|NASDAQ|2020|02|03|15|30|774200|12.86|12.5|12.58|12.53|healthcareinformationservices|17.6|0.9|0.9|-|-|19000|usa|19.639999|18.690001|47.189999|Feb 20 BMO|technology|79.699997|1470
RCM|22|NASDAQ|2020|01|31|15|30|828400|12.7|12.27|12.5|12.59|healthcareinformationservices|17.6|0.9|0.9|-|-|19000|usa|19.639999|18.690001|47.189999|Feb 20 BMO|technology|79.699997|1470
RCM|23|NASDAQ|2020|01|30|15|30|980900|12.87|12.475|12.63|12.81|healthcareinformationservices|17.6|0.9|0.9|-|-|19000|usa|19.639999|18.690001|47.189999|Feb 20 BMO|technology|79.699997|1470
RCM|24|NASDAQ|2020|01|29|15|30|868800|13.19|12.88|12.9|13|healthcareinformationservices|17.6|0.9|0.9|-|-|19000|usa|19.639999|18.690001|47.189999|Feb 20 BMO|technology|79.699997|1470
RCM|25|NASDAQ|2020|01|28|15|30|835100|13.08|12.875|13.02|12.98|healthcareinformationservices|17.6|0.9|0.9|-|-|19000|usa|19.639999|18.690001|47.189999|Feb 20 BMO|technology|79.699997|1470
RCM|26|NASDAQ|2020|01|27|15|30|1132600|13.12|12.67|12.86|12.76|healthcareinformationservices|17.6|0.9|0.9|-|-|19000|usa|19.639999|18.690001|47.189999|Feb 20 BMO|technology|79.699997|1470
RCM|27|NASDAQ|2020|01|24|15|30|704100|13.299|12.78|12.95|13.25|healthcareinformationservices|17.6|0.9|0.9|-|-|19000|usa|19.639999|18.690001|47.189999|Feb 20 BMO|technology|79.699997|1470
RCM|28|NASDAQ|2020|01|23|15|30|748000|13.39|13.12|13.25|13.32|healthcareinformationservices|17.6|0.9|0.9|-|-|19000|usa|19.639999|18.690001|47.189999|Feb 20 BMO|technology|79.699997|1470
RCM|29|NASDAQ|2020|01|22|15|30|664200|13.55|13.25|13.31|13.55|healthcareinformationservices|17.6|0.9|0.9|-|-|19000|usa|19.639999|18.690001|47.189999|Feb 20 BMO|technology|79.699997|1470
RCM|30|NASDAQ|2020|01|21|15|30|994100|13.79|13.31|13.47|13.43|healthcareinformationservices|17.6|0.9|0.9|-|-|19000|usa|19.639999|18.690001|47.189999|Feb 20 BMO|technology|79.699997|1470
RCM|31|NASDAQ|2020|01|17|15|30|847800|13.65|13.39|13.42|13.63|healthcareinformationservices|17.6|0.9|0.9|-|-|19000|usa|19.639999|18.690001|47.189999|Feb 20 BMO|technology|79.699997|1470
RCM|32|NASDAQ|2020|01|16|15|30|528000|13.68|13.475|13.53|13.57|healthcareinformationservices|17.6|0.9|0.9|-|-|19000|usa|19.639999|18.690001|47.189999|Feb 20 BMO|technology|79.699997|1470
RCM|33|NASDAQ|2020|01|15|15|30|821900|13.715|13.36|13.49|13.5|healthcareinformationservices|17.6|0.9|0.9|-|-|19000|usa|19.639999|18.690001|47.189999|Feb 20 BMO|technology|79.699997|1470
RCM|34|NASDAQ|2020|01|14|15|30|1240800|13.99|13.42|13.54|13.88|healthcareinformationservices|17.6|0.9|0.9|-|-|19000|usa|19.639999|18.690001|47.189999|Feb 20 BMO|technology|79.699997|1470
RCM|35|NASDAQ|2020|01|13|15|30|3402700|13.895|12.99|13.84|13.03|healthcareinformationservices|17.6|0.9|0.9|-|-|19000|usa|19.639999|18.690001|47.189999|Feb 20 BMO|technology|79.699997|1470
RCM|36|NASDAQ|2020|01|10|15|30|1487900|13.17|12.905|13.02|13.05|healthcareinformationservices|17.6|0.9|0.9|-|-|19000|usa|19.639999|18.690001|47.189999|Feb 20 BMO|technology|79.699997|1470
RCM|37|NASDAQ|2020|01|09|15|30|673500|13.11|12.85|12.9|12.98|healthcareinformationservices|17.6|0.9|0.9|-|-|19000|usa|19.639999|18.690001|47.189999|Feb 20 BMO|technology|79.699997|1470
RCM|38|NASDAQ|2020|01|08|15|30|906100|12.915|12.47|12.865|12.52|healthcareinformationservices|17.6|0.9|0.9|-|-|19000|usa|19.639999|18.690001|47.189999|Feb 20 BMO|technology|79.699997|1470
RCM|39|NASDAQ|2020|01|07|15|30|499300|12.68|12.45|12.54|12.5|healthcareinformationservices|17.6|0.9|0.9|-|-|19000|usa|19.639999|18.690001|47.189999|Feb 20 BMO|technology|79.699997|1470
RCM|40|NASDAQ|2020|01|06|15|30|912500|12.535|12.14|12.5|12.34|healthcareinformationservices|17.6|0.9|0.9|-|-|19000|usa|19.639999|18.690001|47.189999|Feb 20 BMO|technology|79.699997|1470
RCM|41|NASDAQ|2020|01|03|15|30|703500|12.715|12.4|12.47|12.53|healthcareinformationservices|17.6|0.9|0.9|-|-|19000|usa|19.639999|18.690001|47.189999|Feb 20 BMO|technology|79.699997|1470
