empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
RGLD|0|NASDAQ|2020|03|04|15|30|509800|105|101.739998|104.120003|104.449997|gold|0.2|2.7|3.1|41.099998|1.07|23|usa|0.06|0.06|3.81|Feb 05 AMC|basicmaterials|83|6989.999512
RGLD|1|NASDAQ|2020|03|03|15|30|731400|106.220001|100.470001|103.110001|101.510002|gold|0.2|2.7|3.1|41.099998|1.07|23|usa|0.06|0.06|3.81|Feb 05 AMC|basicmaterials|83|6989.999512
RGLD|2|NASDAQ|2020|03|02|15|30|852000|100.68|96.57|100.050003|97.279999|gold|0.2|2.7|3.1|41.099998|1.07|23|usa|0.06|0.06|3.81|Feb 05 AMC|basicmaterials|83|6989.999512
RGLD|3|NASDAQ|2020|02|28|15|30|1590200|99.370003|91.760002|96.470001|97.599998|gold|0.2|2.7|3.1|41.099998|1.07|23|usa|0.06|0.06|3.81|Feb 05 AMC|basicmaterials|83|6989.999512
RGLD|4|NASDAQ|2020|02|27|15|30|1301900|108.339996|101.68|101.730003|108|gold|0.2|2.7|3.1|41.099998|1.07|23|usa|0.06|0.06|3.81|Feb 05 AMC|basicmaterials|83|6989.999512
RGLD|5|NASDAQ|2020|02|26|15|30|805500|108.43|106.300003|107.199997|106.82|gold|0.2|2.7|3.1|41.099998|1.07|23|usa|0.06|0.06|3.81|Feb 05 AMC|basicmaterials|83|6989.999512
RGLD|6|NASDAQ|2020|02|25|15|30|727500|110.559998|107.330002|107.339996|107.959999|gold|0.2|2.7|3.1|41.099998|1.07|23|usa|0.06|0.06|3.81|Feb 05 AMC|basicmaterials|83|6989.999512
RGLD|7|NASDAQ|2020|02|24|15|30|755900|113.699997|109.199997|110.18|113.580002|gold|0.2|2.7|3.1|41.099998|1.07|23|usa|0.06|0.06|3.81|Feb 05 AMC|basicmaterials|83|6989.999512
RGLD|8|NASDAQ|2020|02|21|15|30|687400|110.300003|108|109.089996|108.940002|gold|0.2|2.7|3.1|41.099998|1.07|23|usa|0.06|0.06|3.81|Feb 05 AMC|basicmaterials|83|6989.999512
RGLD|9|NASDAQ|2020|02|20|15|30|532900|107.949997|105.580002|107.269997|105.739998|gold|0.2|2.7|3.1|41.099998|1.07|23|usa|0.06|0.06|3.81|Feb 05 AMC|basicmaterials|83|6989.999512
RGLD|10|NASDAQ|2020|02|19|15|30|808200|107.389999|104.610001|105.760002|105.199997|gold|0.2|2.7|3.1|41.099998|1.07|23|usa|0.06|0.06|3.81|Feb 05 AMC|basicmaterials|83|6989.999512
RGLD|11|NASDAQ|2020|02|18|15|30|540900|105.610001|102.93|104.610001|103|gold|0.2|2.7|3.1|41.099998|1.07|23|usa|0.06|0.06|3.81|Feb 05 AMC|basicmaterials|83|6989.999512
RGLD|12|NASDAQ|2020|02|14|15|30|708800|103.690002|101.389999|102.919998|103.690002|gold|0.2|2.7|3.1|41.099998|1.07|23|usa|0.06|0.06|3.81|Feb 05 AMC|basicmaterials|83|6989.999512
RGLD|13|NASDAQ|2020|02|13|15|30|672400|106.449997|104.120003|104.220001|106.279999|gold|0.2|2.7|3.1|41.099998|1.07|23|usa|0.06|0.06|3.81|Feb 05 AMC|basicmaterials|83|6989.999512
RGLD|14|NASDAQ|2020|02|12|15|30|475700|107.610001|104.760002|105.339996|107.559998|gold|0.2|2.7|3.1|41.099998|1.07|23|usa|0.06|0.06|3.81|Feb 05 AMC|basicmaterials|83|6989.999512
RGLD|15|NASDAQ|2020|02|11|15|30|471500|107.730003|105.720001|106.639999|106.489998|gold|0.2|2.7|3.1|41.099998|1.07|23|usa|0.06|0.06|3.81|Feb 05 AMC|basicmaterials|83|6989.999512
RGLD|16|NASDAQ|2020|02|10|15|30|519500|107.190002|105.110001|106.849998|105.540001|gold|0.2|2.7|3.1|41.099998|1.07|23|usa|0.06|0.06|3.81|Feb 05 AMC|basicmaterials|83|6989.999512
RGLD|17|NASDAQ|2020|02|07|15|30|457300|109.220001|105.519997|105.660004|108.919998|gold|0.2|2.7|3.1|41.099998|1.07|23|usa|0.06|0.06|3.81|Feb 05 AMC|basicmaterials|83|6989.999512
RGLD|18|NASDAQ|2020|02|06|15|30|1022000|113|105|108.760002|110.5|gold|0.2|2.7|3.1|41.099998|1.07|23|usa|0.06|0.06|3.81|Feb 05 AMC|basicmaterials|83|6989.999512
RGLD|19|NASDAQ|2020|02|05|15|30|565100|113.690002|110.709999|112.089996|110.800003|gold|0.2|2.7|3.1|41.099998|1.07|23|usa|0.06|0.06|3.81|Feb 05 AMC|basicmaterials|83|6989.999512
RGLD|20|NASDAQ|2020|02|04|15|30|588100|112.660004|110.57|111.139999|111.57|gold|0.2|2.7|3.1|41.099998|1.07|23|usa|0.06|0.06|3.81|Feb 05 AMC|basicmaterials|83|6989.999512
RGLD|21|NASDAQ|2020|02|03|15|30|626500|114.839996|111.839996|112.389999|114.699997|gold|0.2|2.7|3.1|41.099998|1.07|23|usa|0.06|0.06|3.81|Feb 05 AMC|basicmaterials|83|6989.999512
RGLD|22|NASDAQ|2020|01|31|15|30|538900|115.910004|114|115.32|114.010002|gold|0.2|2.7|3.1|41.099998|1.07|23|usa|0.06|0.06|3.81|Feb 05 AMC|basicmaterials|83|6989.999512
RGLD|23|NASDAQ|2020|01|30|15|30|350700|115.190002|113.019997|113.910004|113.940002|gold|0.2|2.7|3.1|41.099998|1.07|23|usa|0.06|0.06|3.81|Feb 05 AMC|basicmaterials|83|6989.999512
RGLD|24|NASDAQ|2020|01|29|15|30|398400|113.93|111.18|113.639999|111.18|gold|0.2|2.7|3.1|41.099998|1.07|23|usa|0.06|0.06|3.81|Feb 05 AMC|basicmaterials|83|6989.999512
RGLD|25|NASDAQ|2020|01|28|15|30|452600|113.879997|110.360001|111.720001|113.339996|gold|0.2|2.7|3.1|41.099998|1.07|23|usa|0.06|0.06|3.81|Feb 05 AMC|basicmaterials|83|6989.999512
RGLD|26|NASDAQ|2020|01|27|15|30|484400|117.489998|113.739998|114.18|116.239998|gold|0.2|2.7|3.1|41.099998|1.07|23|usa|0.06|0.06|3.81|Feb 05 AMC|basicmaterials|83|6989.999512
