empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
SINO|0|NASDAQ|2020|03|04|15|30|515900|0.54|0.38|0.4|0.43|airdeliveryfreightservices|29.129999|3|3|-|-|26|usa|0|0|-|Feb 19|services|0.1|7.7
SINO|1|NASDAQ|2020|03|03|15|30|52000|0.4|0.34|0.39|0.35|airdeliveryfreightservices|29.129999|3|3|-|-|26|usa|0|0|-|Feb 19|services|0.1|7.7
SINO|2|NASDAQ|2020|03|02|15|30|11100|0.39|0.35|0.35|0.39|airdeliveryfreightservices|29.129999|3|3|-|-|26|usa|0|0|-|Feb 19|services|0.1|7.7
SINO|3|NASDAQ|2020|02|28|15|30|10600|0.4|0.35|0.38|0.4|airdeliveryfreightservices|29.129999|3|3|-|-|26|usa|0|0|-|Feb 19|services|0.1|7.7
SINO|4|NASDAQ|2020|02|27|15|30|79000|0.39|0.36|0.38|0.38|airdeliveryfreightservices|29.129999|3|3|-|-|26|usa|0|0|-|Feb 19|services|0.1|7.7
SINO|5|NASDAQ|2020|02|26|15|30|77500|0.41|0.37|0.38|0.4|airdeliveryfreightservices|29.129999|3|3|-|-|26|usa|0|0|-|Feb 19|services|0.1|7.7
SINO|6|NASDAQ|2020|02|25|15|30|21700|0.42|0.4|0.4|0.42|airdeliveryfreightservices|29.129999|3|3|-|-|26|usa|0|0|-|Feb 19|services|0.1|7.7
SINO|7|NASDAQ|2020|02|24|15|30|11700|0.44|0.42|0.42|0.43|airdeliveryfreightservices|29.129999|3|3|-|-|26|usa|0|0|-|Feb 19|services|0.1|7.7
SINO|8|NASDAQ|2020|02|21|15|30|3700|0.44|0.41|0.44|0.44|airdeliveryfreightservices|29.129999|3|3|-|-|26|usa|0|0|-|Feb 19|services|0.1|7.7
SINO|9|NASDAQ|2020|02|20|15|30|19800|0.45|0.42|0.44|0.42|airdeliveryfreightservices|29.129999|3|3|-|-|26|usa|0|0|-|Feb 19|services|0.1|7.7
SINO|10|NASDAQ|2020|02|19|15|30|45100|0.43|0.41|0.43|0.41|airdeliveryfreightservices|29.129999|3|3|-|-|26|usa|0|0|-|Feb 19|services|0.1|7.7
