empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
SNY|0|NASDAQ|2020|03|04|15|30|1552400|50.560001|48.93|50.540001|49.259998|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|1|NASDAQ|2020|03|03|15|30|2582900|49.240002|47.369999|47.709999|48.490002|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|2|NASDAQ|2020|03|02|15|30|3404500|48.75|47.119999|48.740002|47.43|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|3|NASDAQ|2020|02|28|15|30|4550000|46.549999|45.32|46.25|46.209999|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|4|NASDAQ|2020|02|27|15|30|4529300|49.139999|48.09|48.16|48.43|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|5|NASDAQ|2020|02|26|15|30|2359200|49.599998|48.810001|49.450001|48.82|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|6|NASDAQ|2020|02|25|15|30|2475400|49.900002|48.93|49.009998|49.889999|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|7|NASDAQ|2020|02|24|15|30|2526400|50.02|49|49.84|49.009998|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|8|NASDAQ|2020|02|21|15|30|1722700|50.880001|50.110001|50.849998|50.290001|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|9|NASDAQ|2020|02|20|15|30|2074100|51.099998|50.400002|50.75|50.799999|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|10|NASDAQ|2020|02|19|15|30|2436000|50.959999|50.619999|50.709999|50.869999|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|11|NASDAQ|2020|02|18|15|30|3314500|51.139999|50.330002|51.139999|50.349998|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|12|NASDAQ|2020|02|14|15|30|1498800|50.119999|49.830002|49.93|50.040001|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|13|NASDAQ|2020|02|13|15|30|914000|50.200001|49.709999|50|49.93|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|14|NASDAQ|2020|02|12|15|30|3608700|50.880001|50.490002|50.619999|50.880001|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|15|NASDAQ|2020|02|11|15|30|1371400|51.310001|50.970001|51.23|51|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|16|NASDAQ|2020|02|10|15|30|889600|51.23|50.68|51.220001|50.790001|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|17|NASDAQ|2020|02|07|15|30|1404200|51.509998|50.919998|51.029999|51.439999|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|18|NASDAQ|2020|02|06|15|30|2816300|51.720001|50.84|51.66|51.029999|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|19|NASDAQ|2020|02|05|15|30|1736200|49.599998|49.130001|49.32|49.389999|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|20|NASDAQ|2020|02|04|15|30|776200|48.880001|48.540001|48.639999|48.639999|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|21|NASDAQ|2020|02|03|15|30|860200|48.880001|48.310001|48.380001|48.630001|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|22|NASDAQ|2020|01|31|15|30|1205400|48.59|48.040001|48.27|48.549999|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|23|NASDAQ|2020|01|30|15|30|890300|48.650002|48.299999|48.610001|48.439999|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|24|NASDAQ|2020|01|29|15|30|1067900|48.990002|48.549999|48.810001|48.75|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|25|NASDAQ|2020|01|28|15|30|868500|48.470001|48.110001|48.27|48.27|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|26|NASDAQ|2020|01|27|15|30|1493600|48.16|47.720001|47.77|47.98|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|27|NASDAQ|2020|01|24|15|30|2324100|49.639999|48.720001|48.73|49.540001|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|28|NASDAQ|2020|01|23|15|30|1754900|49.709999|49.209999|49.599998|49.490002|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|29|NASDAQ|2020|01|22|15|30|1578500|49.810001|49.220001|49.400002|49.779999|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|30|NASDAQ|2020|01|21|15|30|2338500|50.860001|50.200001|50.209999|50.639999|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|31|NASDAQ|2020|01|17|15|30|1015600|51.43|51.029999|51.240002|51.279999|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|32|NASDAQ|2020|01|16|15|30|650500|51.189999|50.880001|51.189999|51.110001|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|33|NASDAQ|2020|01|15|15|30|1816800|51.330002|51.029999|51.25|51.049999|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|34|NASDAQ|2020|01|14|15|30|1472100|51.099998|50.439999|50.98|50.57|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|35|NASDAQ|2020|01|13|15|30|1312100|51.5|51.040001|51.41|51.139999|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|36|NASDAQ|2020|01|10|15|30|1583000|51.84|51.509998|51.619999|51.52|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|37|NASDAQ|2020|01|09|15|30|1807700|51.330002|50.939999|51.16|51.200001|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|38|NASDAQ|2020|01|08|15|30|1123000|51.209999|50.59|50.98|50.610001|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|39|NASDAQ|2020|01|07|15|30|884500|50.950001|50.68|50.740002|50.77|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|40|NASDAQ|2020|01|06|15|30|1510500|51.259998|50.849998|51.25|50.869999|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|41|NASDAQ|2020|01|03|15|30|1104100|50.880001|50.299999|50.759998|50.299999|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|42|NASDAQ|2020|01|02|15|30|1271800|50.759998|50.380001|50.68|50.580002|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|43|NASDAQ|2019|12|31|15|30|499300|50.360001|49.970001|50.200001|50.220001|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|44|NASDAQ|2019|12|30|15|30|947900|50.669998|50.150002|50.189999|50.619999|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|45|NASDAQ|2019|12|27|15|30|1016800|50.900002|50.599998|50.860001|50.75|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|46|NASDAQ|2019|12|26|15|30|967900|50.509998|50.25|50.299999|50.509998|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|47|NASDAQ|2019|12|24|15|30|453000|50.419998|50.130001|50.41|50.400002|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|48|NASDAQ|2019|12|23|15|30|1443000|50.43|50.139999|50.310001|50.349998|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|49|NASDAQ|2019|12|20|15|30|4263100|50.790001|50.18|50.549999|50.279999|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|50|NASDAQ|2019|12|19|15|30|2787200|50.57|49.98|50.43|49.98|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|51|NASDAQ|2019|12|18|15|30|3663300|50.43|49.970001|50.369999|50|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|52|NASDAQ|2019|12|17|15|30|3872500|50.41|49.950001|50.189999|50.34|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|53|NASDAQ|2019|12|16|15|30|2772000|50.529999|50.209999|50.470001|50.34|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|54|NASDAQ|2019|12|13|15|30|3171300|49.889999|49.48|49.790001|49.5|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|55|NASDAQ|2019|12|12|15|30|4666600|49.580002|49.009998|49.509998|49.09|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|56|NASDAQ|2019|12|11|15|30|2358000|49.060001|48.349998|49.009998|48.369999|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|57|NASDAQ|2019|12|10|15|30|10369300|48.41|47.389999|48.09|47.810001|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|58|NASDAQ|2019|12|09|15|30|2058900|45.849998|45.23|45.299999|45.84|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|59|NASDAQ|2019|12|06|15|30|1188900|46.330002|45.970001|46.029999|46.310001|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|60|NASDAQ|2019|12|05|15|30|2279200|46.599998|46.080002|46.080002|46.59|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|61|NASDAQ|2019|12|04|15|30|3859000|46.689999|46.299999|46.610001|46.549999|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|62|NASDAQ|2019|12|03|15|30|1906300|45.669998|45.169998|45.549999|45.18|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|63|NASDAQ|2019|12|02|15|30|1091900|46.349998|45.66|45.82|46.290001|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|64|NASDAQ|2019|11|29|15|30|590600|46.75|46.540001|46.68|46.580002|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|65|NASDAQ|2019|11|27|15|30|1300800|46.509998|46.330002|46.380001|46.349998|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|66|NASDAQ|2019|11|26|15|30|1565600|46.630001|46.369999|46.57|46.400002|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|67|NASDAQ|2019|11|25|15|30|1593000|47|46.709999|46.900002|46.73|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|68|NASDAQ|2019|11|22|15|30|1960100|46.759998|46.349998|46.52|46.529999|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|69|NASDAQ|2019|11|21|15|30|2023500|47.279999|46.610001|47.169998|46.650002|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|70|NASDAQ|2019|11|20|15|30|867200|46.209999|45.669998|45.950001|46.07|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|71|NASDAQ|2019|11|19|15|30|818400|46.419998|45.939999|46.220001|46.34|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|72|NASDAQ|2019|11|18|15|30|1118200|46.830002|46.200001|46.709999|46.200001|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|73|NASDAQ|2019|11|15|15|30|2200400|46.110001|45.259998|46.110001|45.34|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
SNY|74|NASDAQ|2019|11|14|15|30|1888900|45.23|44.919998|45.02|45.18|drugmanufacturersmajor|16.4|-|-|37.119999|3.59|104226|france|-|-|9.93|Feb 06 BMO|healthcare|7.7|124900
