empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
SORL|0|NASDAQ|2020|03|04|15|30|35400|4.26|4.17|4.25|4.26|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|1|NASDAQ|2020|03|03|15|30|58000|4.26|4.21|4.25|4.26|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|2|NASDAQ|2020|03|02|15|30|116200|4.3|4.15|4.28|4.2|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|3|NASDAQ|2020|02|28|15|30|83900|4.23|4.11|4.17|4.16|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|4|NASDAQ|2020|02|27|15|30|112600|4.25|4.03|4.2|4.21|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|5|NASDAQ|2020|02|26|15|30|113600|4.43|4.29|4.31|4.41|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|6|NASDAQ|2020|02|25|15|30|138400|4.5|4.39|4.46|4.5|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|7|NASDAQ|2020|02|24|15|30|107400|4.51|4.46|4.47|4.51|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|8|NASDAQ|2020|02|21|15|30|44300|4.53|4.51|4.52|4.51|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|9|NASDAQ|2020|02|20|15|30|24300|4.52|4.51|4.52|4.52|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|10|NASDAQ|2020|02|19|15|30|67100|4.54|4.51|4.51|4.51|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|11|NASDAQ|2020|02|18|15|30|3700|4.52|4.51|4.51|4.51|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|12|NASDAQ|2020|02|14|15|30|47200|4.54|4.51|4.52|4.54|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|13|NASDAQ|2020|02|13|15|30|12600|4.54|4.51|4.54|4.51|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|14|NASDAQ|2020|02|12|15|30|55900|4.54|4.51|4.54|4.52|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|15|NASDAQ|2020|02|11|15|30|60600|4.55|4.5|4.54|4.52|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|16|NASDAQ|2020|02|10|15|30|24200|4.54|4.5|4.5|4.52|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|17|NASDAQ|2020|02|07|15|30|24100|4.54|4.52|4.54|4.54|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|18|NASDAQ|2020|02|06|15|30|70900|4.56|4.53|4.54|4.55|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|19|NASDAQ|2020|02|05|15|30|59100|4.57|4.52|4.56|4.52|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|20|NASDAQ|2020|02|04|15|30|16200|4.57|4.54|4.56|4.54|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|21|NASDAQ|2020|02|03|15|30|26200|4.57|4.55|4.55|4.57|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|22|NASDAQ|2020|01|31|15|30|21800|4.58|4.56|4.58|4.57|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|23|NASDAQ|2020|01|30|15|30|28300|4.59|4.56|4.57|4.57|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|24|NASDAQ|2020|01|29|15|30|20200|4.58|4.55|4.57|4.57|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|25|NASDAQ|2020|01|28|15|30|40000|4.59|4.49|4.59|4.49|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|26|NASDAQ|2020|01|27|15|30|301400|4.61|4.5|4.5|4.61|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|27|NASDAQ|2020|01|24|15|30|80400|4.63|4.6|4.63|4.6|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|28|NASDAQ|2020|01|23|15|30|69200|4.62|4.59|4.62|4.59|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|29|NASDAQ|2020|01|22|15|30|67600|4.63|4.59|4.61|4.59|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|30|NASDAQ|2020|01|21|15|30|59800|4.62|4.58|4.6|4.61|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|31|NASDAQ|2020|01|17|15|30|91400|4.62|4.59|4.62|4.6|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|32|NASDAQ|2020|01|16|15|30|39800|4.61|4.55|4.6|4.57|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|33|NASDAQ|2020|01|15|15|30|63900|4.62|4.56|4.59|4.56|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|34|NASDAQ|2020|01|14|15|30|29700|4.63|4.58|4.61|4.63|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|35|NASDAQ|2020|01|13|15|30|64600|4.62|4.54|4.61|4.58|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|36|NASDAQ|2020|01|10|15|30|21400|4.58|4.53|4.58|4.53|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|37|NASDAQ|2020|01|09|15|30|72100|4.56|4.52|4.54|4.54|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|38|NASDAQ|2020|01|08|15|30|98300|4.59|4.49|4.54|4.55|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|39|NASDAQ|2020|01|07|15|30|157200|4.57|4.45|4.55|4.48|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|40|NASDAQ|2020|01|06|15|30|78400|4.47|4.44|4.46|4.44|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|41|NASDAQ|2020|01|03|15|30|69200|4.46|4.44|4.44|4.46|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|42|NASDAQ|2020|01|02|15|30|58200|4.47|4.44|4.46|4.47|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|43|NASDAQ|2019|12|31|15|30|69000|4.47|4.44|4.44|4.45|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|44|NASDAQ|2019|12|30|15|30|63100|4.47|4.44|4.44|4.44|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|45|NASDAQ|2019|12|27|15|30|84400|4.46|4.44|4.44|4.46|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|46|NASDAQ|2019|12|26|15|30|79300|4.48|4.46|4.46|4.46|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|47|NASDAQ|2019|12|24|15|30|4900|4.48|4.45|4.48|4.45|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|48|NASDAQ|2019|12|23|15|30|69000|4.48|4.45|4.48|4.48|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|49|NASDAQ|2019|12|20|15|30|120500|4.5|4.43|4.48|4.44|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|50|NASDAQ|2019|12|19|15|30|98600|4.47|4.44|4.44|4.46|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
SORL|51|NASDAQ|2019|12|18|15|30|34400|4.46|4.44|4.45|4.44|automanufacturersmajor|5.9|0.7|1.1|3.7|-|6459|china|1.21|0.02|-12.39|Mar 30 AMC|consumergoods|5.7|82
