empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
SOXX|0|NASDAQ|2020|03|04|15|30|1118600|243.380005|233.190002|243.380005|236.660004|exchangetradedfund|-|-|-|-|1.34|-|usa|-|-|-|-|financial|-|-
SOXX|1|NASDAQ|2020|03|03|15|30|909900|244.210007|230|231.550003|241.070007|exchangetradedfund|-|-|-|-|1.34|-|usa|-|-|-|-|financial|-|-
SOXX|2|NASDAQ|2020|03|02|15|30|1379200|240|228.309998|240|235.899994|exchangetradedfund|-|-|-|-|1.34|-|usa|-|-|-|-|financial|-|-
SOXX|3|NASDAQ|2020|02|28|15|30|1597300|233.309998|218.119995|231.789993|218.779999|exchangetradedfund|-|-|-|-|1.34|-|usa|-|-|-|-|financial|-|-
SOXX|4|NASDAQ|2020|02|27|15|30|1390700|235.309998|226.270004|226.679993|230.580002|exchangetradedfund|-|-|-|-|1.34|-|usa|-|-|-|-|financial|-|-
SOXX|5|NASDAQ|2020|02|26|15|30|1508400|242.869995|236.199997|237.649994|239.279999|exchangetradedfund|-|-|-|-|1.34|-|usa|-|-|-|-|financial|-|-
SOXX|6|NASDAQ|2020|02|25|15|30|1709200|248.270004|235.910004|237.330002|247.899994|exchangetradedfund|-|-|-|-|1.34|-|usa|-|-|-|-|financial|-|-
SOXX|7|NASDAQ|2020|02|24|15|30|1262200|248.360001|243|244.619995|244.869995|exchangetradedfund|-|-|-|-|1.34|-|usa|-|-|-|-|financial|-|-
SOXX|8|NASDAQ|2020|02|21|15|30|826400|263.190002|255.910004|256.929993|262.959991|exchangetradedfund|-|-|-|-|1.34|-|usa|-|-|-|-|financial|-|-
SOXX|9|NASDAQ|2020|02|20|15|30|767100|268.570007|260.899994|264.799988|267.859985|exchangetradedfund|-|-|-|-|1.34|-|usa|-|-|-|-|financial|-|-
