empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
SSBI|0|NASDAQ|2020|03|04|15|30|8200|10.95|10.75|10.78|10.95|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|1|NASDAQ|2020|03|03|15|30|8000|11.21|10.75|10.79|11.01|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|2|NASDAQ|2020|03|02|15|30|1700|11.91|11.44|11.5|11.82|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|3|NASDAQ|2020|02|28|15|30|5600|12.08|11.57|11.57|12.02|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|4|NASDAQ|2020|02|27|15|30|5300|12.12|11.4|12.12|11.46|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|5|NASDAQ|2020|02|26|15|30|400|12.14|11.97|12.11|11.97|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|6|NASDAQ|2020|02|25|15|30|700|12.2|12.15|12.2|12.16|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|7|NASDAQ|2020|02|24|15|30|9900|12.66|12.28|12.4|12.6|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|8|NASDAQ|2020|02|21|15|30|2000|12.7|12.55|12.57|12.69|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|9|NASDAQ|2020|02|20|15|30|2800|12.85|12.67|12.71|12.75|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|10|NASDAQ|2020|02|19|15|30|2500|12.78|12.69|12.69|12.78|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|11|NASDAQ|2020|02|18|15|30|3900|12.63|12.51|12.63|12.51|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|12|NASDAQ|2020|02|14|15|30|500|12.7|12.66|12.66|12.7|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|13|NASDAQ|2020|02|13|15|30|1600|12.71|12.69|12.69|12.71|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|14|NASDAQ|2020|02|12|15|30|6500|13.01|12.94|12.99|12.94|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|15|NASDAQ|2020|02|11|15|30|200|12.94|12.94|12.94|12.94|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|16|NASDAQ|2020|02|10|15|30|24900|13.1|12.7|12.7|12.9|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|17|NASDAQ|2020|02|07|15|30|3000|13|12.99|13|12.99|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|18|NASDAQ|2020|02|06|15|30|17400|13|12.81|12.9|12.88|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|19|NASDAQ|2020|02|05|15|30|0|12.87|12.87|12.87|12.87|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|20|NASDAQ|2020|02|04|15|30|1000|12.87|12.85|12.87|12.85|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|21|NASDAQ|2020|02|03|15|30|2000|13.21|12.83|12.85|13.21|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|22|NASDAQ|2020|01|31|15|30|1500|13.02|13.02|13.02|13.02|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|23|NASDAQ|2020|01|30|15|30|1500|13.01|12.95|13|12.99|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|24|NASDAQ|2020|01|29|15|30|5900|13.15|13.14|13.15|13.15|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|25|NASDAQ|2020|01|28|15|30|1600|13.05|12.75|13.05|12.85|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|26|NASDAQ|2020|01|27|15|30|7900|12.94|12.75|12.84|12.81|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|27|NASDAQ|2020|01|24|15|30|3300|12.96|12.8|12.8|12.96|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|28|NASDAQ|2020|01|23|15|30|5800|12.9|12.8|12.84|12.8|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|29|NASDAQ|2020|01|22|15|30|1300|12.87|12.75|12.87|12.75|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|30|NASDAQ|2020|01|21|15|30|6200|12.9|12.75|12.75|12.82|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|31|NASDAQ|2020|01|17|15|30|800|12.83|12.83|12.83|12.83|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|32|NASDAQ|2020|01|16|15|30|0|12.9|12.9|12.9|12.9|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|33|NASDAQ|2020|01|15|15|30|2900|12.91|12.77|12.9|12.89|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|34|NASDAQ|2020|01|14|15|30|0|12.71|12.71|12.71|12.71|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|35|NASDAQ|2020|01|13|15|30|1200|12.75|12.71|12.71|12.71|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|36|NASDAQ|2020|01|10|15|30|400|12.71|12.71|12.71|12.71|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|37|NASDAQ|2020|01|09|15|30|500|12.83|12.83|12.83|12.83|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|38|NASDAQ|2020|01|08|15|30|1400|12.9|12.9|12.9|12.9|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|39|NASDAQ|2020|01|07|15|30|700|12.81|12.75|12.81|12.75|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|40|NASDAQ|2020|01|06|15|30|1000|12.71|12.71|12.71|12.71|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|41|NASDAQ|2020|01|03|15|30|7000|12.97|12.8|12.81|12.94|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|42|NASDAQ|2020|01|02|15|30|4600|12.94|12.71|12.83|12.71|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|43|NASDAQ|2019|12|31|15|30|10800|13|12.97|12.97|12.98|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|44|NASDAQ|2019|12|30|15|30|500|12.75|12.75|12.75|12.75|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|45|NASDAQ|2019|12|27|15|30|400|12.84|12.84|12.84|12.84|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|46|NASDAQ|2019|12|26|15|30|8500|12.98|12.8|12.85|12.8|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|47|NASDAQ|2019|12|24|15|30|2900|13|12.93|12.96|12.93|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|48|NASDAQ|2019|12|23|15|30|2000|12.98|12.81|12.81|12.86|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|49|NASDAQ|2019|12|20|15|30|19200|12.98|12.73|12.89|12.73|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|50|NASDAQ|2019|12|19|15|30|800|12.8|12.75|12.79|12.8|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|51|NASDAQ|2019|12|18|15|30|4200|13|12.67|12.83|12.98|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
SSBI|52|NASDAQ|2019|12|17|15|30|8100|12.98|12.5|12.82|12.9|regionalpacificbanks|12.1|-|-|10.28|4.38|60|usa|0.09|0.09|-|Jan 28 BMO|financial|14|65.209999
