empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
STLD|0|NASDAQ|2020|03|04|15|30|2428500|27.41|26.559999|27.35|27.35|steeliron|5|2.5|4.2|8.23|3.89|8385|usa|0.67|0.65|-6.1|Jan 22 AMC|basicmaterials|86.800003|5480
STLD|1|NASDAQ|2020|03|03|15|30|2462500|27.99|26.389999|26.66|27.32|steeliron|5|2.5|4.2|8.23|3.89|8385|usa|0.67|0.65|-6.1|Jan 22 AMC|basicmaterials|86.800003|5480
STLD|2|NASDAQ|2020|03|02|15|30|4749600|27.299999|25.780001|27.290001|26.610001|steeliron|5|2.5|4.2|8.23|3.89|8385|usa|0.67|0.65|-6.1|Jan 22 AMC|basicmaterials|86.800003|5480
STLD|3|NASDAQ|2020|02|28|15|30|4171900|26.82|25.67|26.629999|25.92|steeliron|5|2.5|4.2|8.23|3.89|8385|usa|0.67|0.65|-6.1|Jan 22 AMC|basicmaterials|86.800003|5480
STLD|4|NASDAQ|2020|02|27|15|30|2435900|27.959999|26.4|26.889999|27.35|steeliron|5|2.5|4.2|8.23|3.89|8385|usa|0.67|0.65|-6.1|Jan 22 AMC|basicmaterials|86.800003|5480
STLD|5|NASDAQ|2020|02|26|15|30|1517200|28.6|27.84|27.860001|28.219999|steeliron|5|2.5|4.2|8.23|3.89|8385|usa|0.67|0.65|-6.1|Jan 22 AMC|basicmaterials|86.800003|5480
STLD|6|NASDAQ|2020|02|25|15|30|2543700|29.530001|28|28.049999|29.4|steeliron|5|2.5|4.2|8.23|3.89|8385|usa|0.67|0.65|-6.1|Jan 22 AMC|basicmaterials|86.800003|5480
STLD|7|NASDAQ|2020|02|24|15|30|3556600|29.67|28.209999|29.32|28.25|steeliron|5|2.5|4.2|8.23|3.89|8385|usa|0.67|0.65|-6.1|Jan 22 AMC|basicmaterials|86.800003|5480
STLD|8|NASDAQ|2020|02|21|15|30|2080400|29.790001|28.790001|29.690001|29.02|steeliron|5|2.5|4.2|8.23|3.89|8385|usa|0.67|0.65|-6.1|Jan 22 AMC|basicmaterials|86.800003|5480
STLD|9|NASDAQ|2020|02|20|15|30|1610800|29.43|28.9|29.35|29.190001|steeliron|5|2.5|4.2|8.23|3.89|8385|usa|0.67|0.65|-6.1|Jan 22 AMC|basicmaterials|86.800003|5480
STLD|10|NASDAQ|2020|02|19|15|30|2585300|29.41|28.790001|29.129999|28.870001|steeliron|5|2.5|4.2|8.23|3.89|8385|usa|0.67|0.65|-6.1|Jan 22 AMC|basicmaterials|86.800003|5480
STLD|11|NASDAQ|2020|02|18|15|30|2323400|28.91|28.17|28.719999|28.299999|steeliron|5|2.5|4.2|8.23|3.89|8385|usa|0.67|0.65|-6.1|Jan 22 AMC|basicmaterials|86.800003|5480
STLD|12|NASDAQ|2020|02|14|15|30|1921900|29.459999|28.27|28.440001|29.24|steeliron|5|2.5|4.2|8.23|3.89|8385|usa|0.67|0.65|-6.1|Jan 22 AMC|basicmaterials|86.800003|5480
STLD|13|NASDAQ|2020|02|13|15|30|1068100|29.559999|29.02|29.110001|29.209999|steeliron|5|2.5|4.2|8.23|3.89|8385|usa|0.67|0.65|-6.1|Jan 22 AMC|basicmaterials|86.800003|5480
STLD|14|NASDAQ|2020|02|12|15|30|2014300|30.120001|29.290001|29.4|29.969999|steeliron|5|2.5|4.2|8.23|3.89|8385|usa|0.67|0.65|-6.1|Jan 22 AMC|basicmaterials|86.800003|5480
