empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
STRM|0|NASDAQ|2020|03|04|15|30|31600|1.34|1.3|1.33|1.32|healthcareinformationservices|7.3|0.4|0.4|32.220001|-|106|usa|0.19|0|-200|Apr 08 AMC|technology|46.200001|40.599998
STRM|1|NASDAQ|2020|03|03|15|30|46800|1.41|1.34|1.34|1.38|healthcareinformationservices|7.3|0.4|0.4|32.220001|-|106|usa|0.19|0|-200|Apr 08 AMC|technology|46.200001|40.599998
STRM|2|NASDAQ|2020|03|02|15|30|74600|1.43|1.25|1.36|1.25|healthcareinformationservices|7.3|0.4|0.4|32.220001|-|106|usa|0.19|0|-200|Apr 08 AMC|technology|46.200001|40.599998
STRM|3|NASDAQ|2020|02|28|15|30|64800|1.33|1.26|1.28|1.32|healthcareinformationservices|7.3|0.4|0.4|32.220001|-|106|usa|0.19|0|-200|Apr 08 AMC|technology|46.200001|40.599998
STRM|4|NASDAQ|2020|02|27|15|30|34400|1.35|1.3|1.33|1.33|healthcareinformationservices|7.3|0.4|0.4|32.220001|-|106|usa|0.19|0|-200|Apr 08 AMC|technology|46.200001|40.599998
STRM|5|NASDAQ|2020|02|26|15|30|108700|1.46|1.34|1.36|1.46|healthcareinformationservices|7.3|0.4|0.4|32.220001|-|106|usa|0.19|0|-200|Apr 08 AMC|technology|46.200001|40.599998
STRM|6|NASDAQ|2020|02|25|15|30|87900|1.48|1.34|1.35|1.45|healthcareinformationservices|7.3|0.4|0.4|32.220001|-|106|usa|0.19|0|-200|Apr 08 AMC|technology|46.200001|40.599998
STRM|7|NASDAQ|2020|02|24|15|30|77700|1.44|1.38|1.4|1.44|healthcareinformationservices|7.3|0.4|0.4|32.220001|-|106|usa|0.19|0|-200|Apr 08 AMC|technology|46.200001|40.599998
STRM|8|NASDAQ|2020|02|21|15|30|101700|1.45|1.38|1.4|1.4|healthcareinformationservices|7.3|0.4|0.4|32.220001|-|106|usa|0.19|0|-200|Apr 08 AMC|technology|46.200001|40.599998
STRM|9|NASDAQ|2020|02|20|15|30|240900|1.51|1.38|1.4|1.39|healthcareinformationservices|7.3|0.4|0.4|32.220001|-|106|usa|0.19|0|-200|Apr 08 AMC|technology|46.200001|40.599998
STRM|10|NASDAQ|2020|02|19|15|30|1045200|1.64|1.3|1.35|1.43|healthcareinformationservices|7.3|0.4|0.4|32.220001|-|106|usa|0.19|0|-200|Apr 08 AMC|technology|46.200001|40.599998
STRM|11|NASDAQ|2020|02|18|15|30|5900|1.15|1.11|1.14|1.15|healthcareinformationservices|7.3|0.4|0.4|32.220001|-|106|usa|0.19|0|-200|Apr 08 AMC|technology|46.200001|40.599998
STRM|12|NASDAQ|2020|02|14|15|30|240600|1.23|1.13|1.15|1.13|healthcareinformationservices|7.3|0.4|0.4|32.220001|-|106|usa|0.19|0|-200|Apr 08 AMC|technology|46.200001|40.599998
STRM|13|NASDAQ|2020|02|13|15|30|90000|1.17|1.11|1.15|1.15|healthcareinformationservices|7.3|0.4|0.4|32.220001|-|106|usa|0.19|0|-200|Apr 08 AMC|technology|46.200001|40.599998
STRM|14|NASDAQ|2020|02|12|15|30|38100|1.22|1.17|1.17|1.22|healthcareinformationservices|7.3|0.4|0.4|32.220001|-|106|usa|0.19|0|-200|Apr 08 AMC|technology|46.200001|40.599998
STRM|15|NASDAQ|2020|02|11|15|30|5400|1.36|1.24|1.24|1.36|healthcareinformationservices|7.3|0.4|0.4|32.220001|-|106|usa|0.19|0|-200|Apr 08 AMC|technology|46.200001|40.599998
STRM|16|NASDAQ|2020|02|10|15|30|59800|1.35|1.19|1.34|1.2|healthcareinformationservices|7.3|0.4|0.4|32.220001|-|106|usa|0.19|0|-200|Apr 08 AMC|technology|46.200001|40.599998
STRM|17|NASDAQ|2020|02|07|15|30|56800|1.23|1.13|1.2|1.15|healthcareinformationservices|7.3|0.4|0.4|32.220001|-|106|usa|0.19|0|-200|Apr 08 AMC|technology|46.200001|40.599998
