empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
SY|0|NASDAQ|2020|03|04|15|30|498600|12.76|12.25|12.4|12.39|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|1|NASDAQ|2020|03|03|15|30|755800|12.66|12.04|12.25|12.5|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|2|NASDAQ|2020|03|02|15|30|897700|12.53|12.045|12.49|12.23|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|3|NASDAQ|2020|02|28|15|30|678500|12.49|11.6|12.05|12.3|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|4|NASDAQ|2020|02|27|15|30|626500|12.99|12.23|12.55|12.53|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|5|NASDAQ|2020|02|26|15|30|177100|12.84|12.23|12.59|12.27|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|6|NASDAQ|2020|02|25|15|30|468500|12.8|12.08|12.2|12.8|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|7|NASDAQ|2020|02|24|15|30|369300|12.85|11.81|12.71|12.29|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|8|NASDAQ|2020|02|21|15|30|192600|13.17|12.8|12.87|13.07|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|9|NASDAQ|2020|02|20|15|30|257200|13.285|12.76|13.14|13.1|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|10|NASDAQ|2020|02|19|15|30|536600|13.2|12.5|13.1|12.87|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|11|NASDAQ|2020|02|18|15|30|410400|13.39|12.64|12.68|13.39|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|12|NASDAQ|2020|02|14|15|30|214000|13.88|13.3|13.4|13.78|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|13|NASDAQ|2020|02|13|15|30|262700|13.99|13.52|13.78|13.56|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|14|NASDAQ|2020|02|12|15|30|849100|13.73|13.09|13.63|13.36|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|15|NASDAQ|2020|02|11|15|30|1168800|13.72|12.93|13.14|13.09|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|16|NASDAQ|2020|02|10|15|30|234200|13.1|12.5|12.96|12.52|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|17|NASDAQ|2020|02|07|15|30|381100|13.23|12.4|12.61|13.17|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|18|NASDAQ|2020|02|06|15|30|199600|13.66|13|13.34|13.07|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|19|NASDAQ|2020|02|05|15|30|400400|13.21|12.53|13.11|13.18|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|20|NASDAQ|2020|02|04|15|30|491900|13.31|12.45|13.01|12.45|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|21|NASDAQ|2020|02|03|15|30|551500|12.76|12.07|12.39|12.15|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|22|NASDAQ|2020|01|31|15|30|331100|12.5|12.11|12.15|12.5|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|23|NASDAQ|2020|01|30|15|30|421500|12.72|12.2|12.55|12.62|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|24|NASDAQ|2020|01|29|15|30|148900|13.03|12.49|12.73|12.89|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|25|NASDAQ|2020|01|28|15|30|296300|12.92|12.635|12.72|12.8|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|26|NASDAQ|2020|01|27|15|30|509900|12.85|12.505|12.67|12.61|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|27|NASDAQ|2020|01|24|15|30|422100|13.81|12.867|13.15|13.81|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|28|NASDAQ|2020|01|23|15|30|326300|14.12|13.67|13.8|14.07|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|29|NASDAQ|2020|01|22|15|30|262300|14.72|14.36|14.46|14.45|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|30|NASDAQ|2020|01|21|15|30|665900|14.6|14|14.39|14.34|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|31|NASDAQ|2020|01|17|15|30|460200|14.89|14.5|14.77|14.52|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|32|NASDAQ|2020|01|16|15|30|499600|14.73|14.26|14.6|14.42|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|33|NASDAQ|2020|01|15|15|30|489000|14.4|14|14.4|14.39|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|34|NASDAQ|2020|01|14|15|30|372800|14.63|14.04|14.4|14.49|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|35|NASDAQ|2020|01|13|15|30|666800|14.68|13.794|14.45|13.98|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|36|NASDAQ|2020|01|10|15|30|446900|14.15|13.71|13.95|14.07|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|37|NASDAQ|2020|01|09|15|30|513100|14.3|14.01|14.07|14.17|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|38|NASDAQ|2020|01|08|15|30|585700|14.35|13.5|14.18|13.74|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|39|NASDAQ|2020|01|07|15|30|447300|14.24|13.02|14.14|13.42|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|40|NASDAQ|2020|01|06|15|30|546600|13.41|12.19|13.4|12.55|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|41|NASDAQ|2020|01|03|15|30|395700|12.73|11.93|12.59|11.96|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|42|NASDAQ|2020|01|02|15|30|993500|12.32|11.88|12.13|12.15|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|43|NASDAQ|2019|12|31|15|30|295400|12.22|11.8|12.22|11.95|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|44|NASDAQ|2019|12|30|15|30|483200|12|11.37|11.88|11.9|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|45|NASDAQ|2019|12|27|15|30|856600|12.21|11.81|11.93|12.21|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|46|NASDAQ|2019|12|26|15|30|358300|12.33|12.03|12.21|12.07|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|47|NASDAQ|2019|12|24|15|30|210500|12.35|11.98|12.17|12.35|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|48|NASDAQ|2019|12|23|15|30|828700|12.5|12.17|12.33|12.5|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|49|NASDAQ|2019|12|20|15|30|1354000|12.59|12.28|12.51|12.52|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|50|NASDAQ|2019|12|19|15|30|535100|12.6|12.15|12.45|12.6|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|51|NASDAQ|2019|12|18|15|30|258700|12.68|12.37|12.43|12.55|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|52|NASDAQ|2019|12|17|15|30|815200|12.9|12.22|12.66|12.52|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|53|NASDAQ|2019|12|16|15|30|820600|13.45|12.32|12.47|12.58|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|54|NASDAQ|2019|12|13|15|30|877600|12.67|11.8|12.67|12.1|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|55|NASDAQ|2019|12|12|15|30|757600|12.11|11.71|12|11.99|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|56|NASDAQ|2019|12|11|15|30|513200|12|11.8|11.98|11.93|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|57|NASDAQ|2019|12|10|15|30|981100|12.27|11.62|11.93|12.27|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|58|NASDAQ|2019|12|09|15|30|964600|12.38|11.52|11.96|12.2|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|59|NASDAQ|2019|12|06|15|30|742100|12.49|12|12.2|12.26|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|60|NASDAQ|2019|12|05|15|30|702800|13|11.92|12.06|13|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|61|NASDAQ|2019|12|04|15|30|241300|12.65|12.27|12.47|12.27|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|62|NASDAQ|2019|12|03|15|30|339600|12.49|11.72|12.38|11.96|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|63|NASDAQ|2019|12|02|15|30|729800|12.46|11.285|12.1|12.24|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|64|NASDAQ|2019|11|29|15|30|498300|12.56|11.41|12.32|11.81|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|65|NASDAQ|2019|11|27|15|30|457500|12|11.44|11.84|11.96|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|66|NASDAQ|2019|11|26|15|30|518200|12.34|11.95|11.95|12.2|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|67|NASDAQ|2019|11|25|15|30|536100|12.46|11.62|12.15|11.86|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|68|NASDAQ|2019|11|22|15|30|347400|12.07|11.6|11.91|11.92|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|69|NASDAQ|2019|11|21|15|30|739000|12.09|11.01|12|12.01|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|70|NASDAQ|2019|11|20|15|30|847200|12.15|11.83|12.02|11.84|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|71|NASDAQ|2019|11|19|15|30|785300|12.1|11.77|12|12.08|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|72|NASDAQ|2019|11|18|15|30|749200|12.36|11.97|12.03|12.33|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|73|NASDAQ|2019|11|15|15|30|398000|12.3|11.69|12.02|11.92|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|74|NASDAQ|2019|11|14|15|30|629400|11.96|11.6|11.79|11.66|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|75|NASDAQ|2019|11|13|15|30|631700|12.08|11.6|11.8|12.01|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|76|NASDAQ|2019|11|12|15|30|644100|12.15|11.68|12.05|12.01|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
SY|77|NASDAQ|2019|11|11|15|30|506600|12.17|11.51|12.03|11.93|healthcareinformationservices|43.220001|6.4|6.4|136.240005|-|862|china|0|0|62.110001|Mar 19 BMO|technology|27.9|1250
