empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
SYNA|0|NASDAQ|2020|03|04|15|30|867300|73.129997|70.25|72.949997|70.559998|applicationsoftware|2|3|3.3|-|-|1861|usa|0.69|0.69|-6.63|Feb 06 AMC|technology|-|2390.000244
SYNA|1|NASDAQ|2020|03|03|15|30|973200|73.150002|68.540001|69.550003|69.959999|applicationsoftware|2|3|3.3|-|-|1861|usa|0.69|0.69|-6.63|Feb 06 AMC|technology|-|2390.000244
SYNA|2|NASDAQ|2020|03|02|15|30|917700|69.910004|65.209999|69.709999|66.150002|applicationsoftware|2|3|3.3|-|-|1861|usa|0.69|0.69|-6.63|Feb 06 AMC|technology|-|2390.000244
SYNA|3|NASDAQ|2020|02|28|15|30|1063400|66.349998|61.939999|66.050003|61.939999|applicationsoftware|2|3|3.3|-|-|1861|usa|0.69|0.69|-6.63|Feb 06 AMC|technology|-|2390.000244
SYNA|4|NASDAQ|2020|02|27|15|30|1414300|67.650002|64.43|64.470001|66.910004|applicationsoftware|2|3|3.3|-|-|1861|usa|0.69|0.69|-6.63|Feb 06 AMC|technology|-|2390.000244
SYNA|5|NASDAQ|2020|02|26|15|30|666500|72.089996|69|69.269997|71.199997|applicationsoftware|2|3|3.3|-|-|1861|usa|0.69|0.69|-6.63|Feb 06 AMC|technology|-|2390.000244
SYNA|6|NASDAQ|2020|02|25|15|30|588800|72.010002|70.379997|71.059998|71.779999|applicationsoftware|2|3|3.3|-|-|1861|usa|0.69|0.69|-6.63|Feb 06 AMC|technology|-|2390.000244
SYNA|7|NASDAQ|2020|02|24|15|30|1586900|74.470001|70.400002|71.32|73.559998|applicationsoftware|2|3|3.3|-|-|1861|usa|0.69|0.69|-6.63|Feb 06 AMC|technology|-|2390.000244
SYNA|8|NASDAQ|2020|02|21|15|30|510400|77.639999|75.599998|76.160004|77.260002|applicationsoftware|2|3|3.3|-|-|1861|usa|0.69|0.69|-6.63|Feb 06 AMC|technology|-|2390.000244
SYNA|9|NASDAQ|2020|02|20|15|30|554300|79.889999|75.580002|77.760002|79.629997|applicationsoftware|2|3|3.3|-|-|1861|usa|0.69|0.69|-6.63|Feb 06 AMC|technology|-|2390.000244
SYNA|10|NASDAQ|2020|02|19|15|30|585700|80.059998|78.599998|79.769997|79.089996|applicationsoftware|2|3|3.3|-|-|1861|usa|0.69|0.69|-6.63|Feb 06 AMC|technology|-|2390.000244
SYNA|11|NASDAQ|2020|02|18|15|30|651800|81.290001|78.449997|78.620003|80.599998|applicationsoftware|2|3|3.3|-|-|1861|usa|0.69|0.69|-6.63|Feb 06 AMC|technology|-|2390.000244
SYNA|12|NASDAQ|2020|02|14|15|30|421700|82.410004|80.809998|81.360001|81.889999|applicationsoftware|2|3|3.3|-|-|1861|usa|0.69|0.69|-6.63|Feb 06 AMC|technology|-|2390.000244
SYNA|13|NASDAQ|2020|02|13|15|30|603000|82.160004|80.25|81.449997|80.900002|applicationsoftware|2|3|3.3|-|-|1861|usa|0.69|0.69|-6.63|Feb 06 AMC|technology|-|2390.000244
SYNA|14|NASDAQ|2020|02|12|15|30|487800|83.160004|80.919998|82.220001|82.550003|applicationsoftware|2|3|3.3|-|-|1861|usa|0.69|0.69|-6.63|Feb 06 AMC|technology|-|2390.000244
SYNA|15|NASDAQ|2020|02|11|15|30|725300|84.279999|81.459999|81.610001|83.169998|applicationsoftware|2|3|3.3|-|-|1861|usa|0.69|0.69|-6.63|Feb 06 AMC|technology|-|2390.000244
SYNA|16|NASDAQ|2020|02|10|15|30|1477100|83.989998|81.050003|82.540001|83.370003|applicationsoftware|2|3|3.3|-|-|1861|usa|0.69|0.69|-6.63|Feb 06 AMC|technology|-|2390.000244
SYNA|17|NASDAQ|2020|02|07|15|30|5241400|84.75|79.099998|84.529999|80|applicationsoftware|2|3|3.3|-|-|1861|usa|0.69|0.69|-6.63|Feb 06 AMC|technology|-|2390.000244
SYNA|18|NASDAQ|2020|02|06|15|30|1042500|70.879997|69.169998|70.099998|70.43|applicationsoftware|2|3|3.3|-|-|1861|usa|0.69|0.69|-6.63|Feb 06 AMC|technology|-|2390.000244
SYNA|19|NASDAQ|2020|02|05|15|30|739500|71.18|69.43|70.110001|70.699997|applicationsoftware|2|3|3.3|-|-|1861|usa|0.69|0.69|-6.63|Feb 06 AMC|technology|-|2390.000244
SYNA|20|NASDAQ|2020|02|04|15|30|579600|71.199997|68.260002|69.599998|70.07|applicationsoftware|2|3|3.3|-|-|1861|usa|0.69|0.69|-6.63|Feb 06 AMC|technology|-|2390.000244
SYNA|21|NASDAQ|2020|02|03|15|30|757400|68.639999|66.839996|68.580002|67.449997|applicationsoftware|2|3|3.3|-|-|1861|usa|0.69|0.69|-6.63|Feb 06 AMC|technology|-|2390.000244
SYNA|22|NASDAQ|2020|01|31|15|30|533600|68.75|65.919998|66.690002|68.75|applicationsoftware|2|3|3.3|-|-|1861|usa|0.69|0.69|-6.63|Feb 06 AMC|technology|-|2390.000244
SYNA|23|NASDAQ|2020|01|30|15|30|462000|68.980003|67.160004|68.910004|68.040001|applicationsoftware|2|3|3.3|-|-|1861|usa|0.69|0.69|-6.63|Feb 06 AMC|technology|-|2390.000244
SYNA|24|NASDAQ|2020|01|29|15|30|428400|70.32|67.989998|68.230003|70.239998|applicationsoftware|2|3|3.3|-|-|1861|usa|0.69|0.69|-6.63|Feb 06 AMC|technology|-|2390.000244
