empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
SYNH|0|NASDAQ|2020|03|04|15|30|1605900|74.25|69.18|73.629997|70|medicallaboratoriesresearch|0.4|1|1|50.540001|-|24000|usa|0.88|0.85|12.5|Feb 20 BMO|healthcare|-|7420.000488
SYNH|1|NASDAQ|2020|03|03|15|30|2784300|71.209999|67.910004|68.290001|68.779999|medicallaboratoriesresearch|0.4|1|1|50.540001|-|24000|usa|0.88|0.85|12.5|Feb 20 BMO|healthcare|-|7420.000488
SYNH|2|NASDAQ|2020|03|02|15|30|1441900|73.470001|63.52|67.620003|64.419998|medicallaboratoriesresearch|0.4|1|1|50.540001|-|24000|usa|0.88|0.85|12.5|Feb 20 BMO|healthcare|-|7420.000488
SYNH|3|NASDAQ|2020|02|28|15|30|774700|63.419998|60.029999|63.349998|60.720001|medicallaboratoriesresearch|0.4|1|1|50.540001|-|24000|usa|0.88|0.85|12.5|Feb 20 BMO|healthcare|-|7420.000488
SYNH|4|NASDAQ|2020|02|27|15|30|578600|66.510002|62.189999|62.740002|63.43|medicallaboratoriesresearch|0.4|1|1|50.540001|-|24000|usa|0.88|0.85|12.5|Feb 20 BMO|healthcare|-|7420.000488
SYNH|5|NASDAQ|2020|02|26|15|30|303500|66.099998|63.821999|64.57|65.150002|medicallaboratoriesresearch|0.4|1|1|50.540001|-|24000|usa|0.88|0.85|12.5|Feb 20 BMO|healthcare|-|7420.000488
SYNH|6|NASDAQ|2020|02|25|15|30|421000|68.363998|64.150002|64.639999|67|medicallaboratoriesresearch|0.4|1|1|50.540001|-|24000|usa|0.88|0.85|12.5|Feb 20 BMO|healthcare|-|7420.000488
SYNH|7|NASDAQ|2020|02|24|15|30|816500|67.974998|65|67.150002|66.830002|medicallaboratoriesresearch|0.4|1|1|50.540001|-|24000|usa|0.88|0.85|12.5|Feb 20 BMO|healthcare|-|7420.000488
SYNH|8|NASDAQ|2020|02|21|15|30|606200|72.114998|69.5|70.82|72.07|medicallaboratoriesresearch|0.4|1|1|50.540001|-|24000|usa|0.88|0.85|12.5|Feb 20 BMO|healthcare|-|7420.000488
SYNH|9|NASDAQ|2020|02|20|15|30|1066900|72.440002|67.553001|71.5|69.690002|medicallaboratoriesresearch|0.4|1|1|50.540001|-|24000|usa|0.88|0.85|12.5|Feb 20 BMO|healthcare|-|7420.000488
SYNH|10|NASDAQ|2020|02|19|15|30|482400|67.400002|66.535004|66.699997|66.940002|medicallaboratoriesresearch|0.4|1|1|50.540001|-|24000|usa|0.88|0.85|12.5|Feb 20 BMO|healthcare|-|7420.000488
SYNH|11|NASDAQ|2020|02|18|15|30|302100|66.629997|65.349998|66.510002|65.739998|medicallaboratoriesresearch|0.4|1|1|50.540001|-|24000|usa|0.88|0.85|12.5|Feb 20 BMO|healthcare|-|7420.000488
SYNH|12|NASDAQ|2020|02|14|15|30|214400|66.190002|65.160004|65.620003|66.190002|medicallaboratoriesresearch|0.4|1|1|50.540001|-|24000|usa|0.88|0.85|12.5|Feb 20 BMO|healthcare|-|7420.000488
SYNH|13|NASDAQ|2020|02|13|15|30|325600|66.059998|64.449997|65.889999|64.870003|medicallaboratoriesresearch|0.4|1|1|50.540001|-|24000|usa|0.88|0.85|12.5|Feb 20 BMO|healthcare|-|7420.000488
SYNH|14|NASDAQ|2020|02|12|15|30|334200|65.129997|64.065002|64.989998|65.040001|medicallaboratoriesresearch|0.4|1|1|50.540001|-|24000|usa|0.88|0.85|12.5|Feb 20 BMO|healthcare|-|7420.000488
SYNH|15|NASDAQ|2020|02|11|15|30|337900|66|63.450001|64.709999|63.509998|medicallaboratoriesresearch|0.4|1|1|50.540001|-|24000|usa|0.88|0.85|12.5|Feb 20 BMO|healthcare|-|7420.000488
SYNH|16|NASDAQ|2020|02|10|15|30|187300|63|61.459999|62.990002|61.459999|medicallaboratoriesresearch|0.4|1|1|50.540001|-|24000|usa|0.88|0.85|12.5|Feb 20 BMO|healthcare|-|7420.000488
SYNH|17|NASDAQ|2020|02|07|15|30|238000|62.68|61.060001|61.450001|62.68|medicallaboratoriesresearch|0.4|1|1|50.540001|-|24000|usa|0.88|0.85|12.5|Feb 20 BMO|healthcare|-|7420.000488
SYNH|18|NASDAQ|2020|02|06|15|30|310600|63.650002|62.470001|62.68|63.529999|medicallaboratoriesresearch|0.4|1|1|50.540001|-|24000|usa|0.88|0.85|12.5|Feb 20 BMO|healthcare|-|7420.000488
SYNH|19|NASDAQ|2020|02|05|15|30|261300|64.989998|63.189999|63.279999|63.990002|medicallaboratoriesresearch|0.4|1|1|50.540001|-|24000|usa|0.88|0.85|12.5|Feb 20 BMO|healthcare|-|7420.000488
SYNH|20|NASDAQ|2020|02|04|15|30|303000|63.470001|62.040001|63.32|62.619999|medicallaboratoriesresearch|0.4|1|1|50.540001|-|24000|usa|0.88|0.85|12.5|Feb 20 BMO|healthcare|-|7420.000488
SYNH|21|NASDAQ|2020|02|03|15|30|265800|62.689999|61.740002|61.860001|61.759998|medicallaboratoriesresearch|0.4|1|1|50.540001|-|24000|usa|0.88|0.85|12.5|Feb 20 BMO|healthcare|-|7420.000488
SYNH|22|NASDAQ|2020|01|31|15|30|421400|62.150002|60.84|61.360001|62.099998|medicallaboratoriesresearch|0.4|1|1|50.540001|-|24000|usa|0.88|0.85|12.5|Feb 20 BMO|healthcare|-|7420.000488
SYNH|23|NASDAQ|2020|01|30|15|30|236200|62.459999|61.32|62.380001|61.810001|medicallaboratoriesresearch|0.4|1|1|50.540001|-|24000|usa|0.88|0.85|12.5|Feb 20 BMO|healthcare|-|7420.000488
SYNH|24|NASDAQ|2020|01|29|15|30|206000|63.460999|62.209999|62.549999|62.889999|medicallaboratoriesresearch|0.4|1|1|50.540001|-|24000|usa|0.88|0.85|12.5|Feb 20 BMO|healthcare|-|7420.000488
SYNH|25|NASDAQ|2020|01|28|15|30|241600|63.200001|62.310001|62.849998|62.950001|medicallaboratoriesresearch|0.4|1|1|50.540001|-|24000|usa|0.88|0.85|12.5|Feb 20 BMO|healthcare|-|7420.000488
SYNH|26|NASDAQ|2020|01|27|15|30|477600|63.189999|61.130001|62.689999|61.759998|medicallaboratoriesresearch|0.4|1|1|50.540001|-|24000|usa|0.88|0.85|12.5|Feb 20 BMO|healthcare|-|7420.000488
SYNH|27|NASDAQ|2020|01|24|15|30|472300|65.165001|62.509998|62.669998|64.910004|medicallaboratoriesresearch|0.4|1|1|50.540001|-|24000|usa|0.88|0.85|12.5|Feb 20 BMO|healthcare|-|7420.000488
SYNH|28|NASDAQ|2020|01|23|15|30|341400|64.839996|63.549999|64.690002|64.389999|medicallaboratoriesresearch|0.4|1|1|50.540001|-|24000|usa|0.88|0.85|12.5|Feb 20 BMO|healthcare|-|7420.000488
SYNH|29|NASDAQ|2020|01|22|15|30|413900|64.830002|63.759998|64.580002|63.950001|medicallaboratoriesresearch|0.4|1|1|50.540001|-|24000|usa|0.88|0.85|12.5|Feb 20 BMO|healthcare|-|7420.000488
SYNH|30|NASDAQ|2020|01|21|15|30|519100|63.990002|62.610001|63.830002|63.57|medicallaboratoriesresearch|0.4|1|1|50.540001|-|24000|usa|0.88|0.85|12.5|Feb 20 BMO|healthcare|-|7420.000488
SYNH|31|NASDAQ|2020|01|17|15|30|344400|64.440002|63.32|63.990002|64.199997|medicallaboratoriesresearch|0.4|1|1|50.540001|-|24000|usa|0.88|0.85|12.5|Feb 20 BMO|healthcare|-|7420.000488
SYNH|32|NASDAQ|2020|01|16|15|30|575600|64.580002|62.77|63.860001|63.82|medicallaboratoriesresearch|0.4|1|1|50.540001|-|24000|usa|0.88|0.85|12.5|Feb 20 BMO|healthcare|-|7420.000488
SYNH|33|NASDAQ|2020|01|15|15|30|1239600|64.724998|60.34|62.5|60.369999|medicallaboratoriesresearch|0.4|1|1|50.540001|-|24000|usa|0.88|0.85|12.5|Feb 20 BMO|healthcare|-|7420.000488
SYNH|34|NASDAQ|2020|01|14|15|30|589600|60.959999|59.330002|60.540001|59.630001|medicallaboratoriesresearch|0.4|1|1|50.540001|-|24000|usa|0.88|0.85|12.5|Feb 20 BMO|healthcare|-|7420.000488
SYNH|35|NASDAQ|2020|01|13|15|30|357900|60.509998|59.009998|59.810001|60.18|medicallaboratoriesresearch|0.4|1|1|50.540001|-|24000|usa|0.88|0.85|12.5|Feb 20 BMO|healthcare|-|7420.000488
SYNH|36|NASDAQ|2020|01|10|15|30|389200|60.75|59.77|60.07|60|medicallaboratoriesresearch|0.4|1|1|50.540001|-|24000|usa|0.88|0.85|12.5|Feb 20 BMO|healthcare|-|7420.000488
