empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
TOUR|0|NASDAQ|2020|03|04|15|30|12000|1.69|1.55|1.55|1.56|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Mar 19 BMO|consumergoods|22.700001|202.110001
TOUR|1|NASDAQ|2020|03|03|15|30|18900|1.61|1.51|1.6|1.51|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Mar 19 BMO|consumergoods|22.700001|202.110001
TOUR|2|NASDAQ|2020|03|02|15|30|20800|1.64|1.51|1.6|1.54|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Mar 19 BMO|consumergoods|22.700001|202.110001
TOUR|3|NASDAQ|2020|02|28|15|30|7600|1.6|1.52|1.58|1.52|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Mar 19 BMO|consumergoods|22.700001|202.110001
TOUR|4|NASDAQ|2020|02|27|15|30|50700|1.655|1.5|1.59|1.655|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Mar 19 BMO|consumergoods|22.700001|202.110001
TOUR|5|NASDAQ|2020|02|26|15|30|99400|1.68|1.56|1.62|1.68|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Mar 19 BMO|consumergoods|22.700001|202.110001
TOUR|6|NASDAQ|2020|02|25|15|30|59700|1.82|1.65|1.65|1.82|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Mar 19 BMO|consumergoods|22.700001|202.110001
TOUR|7|NASDAQ|2020|02|24|15|30|36200|1.85|1.74|1.75|1.81|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Mar 19 BMO|consumergoods|22.700001|202.110001
TOUR|8|NASDAQ|2020|02|21|15|30|133200|1.895|1.81|1.81|1.895|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Mar 19 BMO|consumergoods|22.700001|202.110001
TOUR|9|NASDAQ|2020|02|20|15|30|23500|1.91|1.86|1.88|1.86|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Mar 19 BMO|consumergoods|22.700001|202.110001
TOUR|10|NASDAQ|2020|02|19|15|30|42800|1.96|1.85|1.85|1.85|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Mar 19 BMO|consumergoods|22.700001|202.110001
TOUR|11|NASDAQ|2020|02|18|15|30|29500|1.905|1.86|1.86|1.905|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Mar 19 BMO|consumergoods|22.700001|202.110001
TOUR|12|NASDAQ|2020|02|14|15|30|29500|1.892|1.85|1.85|1.89|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Mar 19 BMO|consumergoods|22.700001|202.110001
TOUR|13|NASDAQ|2020|02|13|15|30|46600|1.96|1.85|1.85|1.955|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Mar 19 BMO|consumergoods|22.700001|202.110001
TOUR|14|NASDAQ|2020|02|12|15|30|60500|1.965|1.94|1.94|1.94|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Mar 19 BMO|consumergoods|22.700001|202.110001
TOUR|15|NASDAQ|2020|02|11|15|30|17500|1.94|1.92|1.925|1.94|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Mar 19 BMO|consumergoods|22.700001|202.110001
TOUR|16|NASDAQ|2020|02|10|15|30|10600|1.93|1.91|1.92|1.91|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Mar 19 BMO|consumergoods|22.700001|202.110001
TOUR|17|NASDAQ|2020|02|07|15|30|22500|1.98|1.91|1.98|1.96|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Mar 19 BMO|consumergoods|22.700001|202.110001
TOUR|18|NASDAQ|2020|02|06|15|30|20100|1.99|1.93|1.98|1.967|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Mar 19 BMO|consumergoods|22.700001|202.110001
TOUR|19|NASDAQ|2020|02|05|15|30|25100|1.98|1.9|1.91|1.913|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Mar 19 BMO|consumergoods|22.700001|202.110001
TOUR|20|NASDAQ|2020|02|04|15|30|19400|1.93|1.86|1.9|1.9|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Mar 19 BMO|consumergoods|22.700001|202.110001
TOUR|21|NASDAQ|2020|02|03|15|30|32400|1.9|1.84|1.855|1.84|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Mar 19 BMO|consumergoods|22.700001|202.110001
TOUR|22|NASDAQ|2020|01|31|15|30|14900|2.14|1.91|1.92|2.14|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Mar 19 BMO|consumergoods|22.700001|202.110001
TOUR|23|NASDAQ|2020|01|30|15|30|13400|2.18|2.12|2.14|2.15|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Mar 19 BMO|consumergoods|22.700001|202.110001
TOUR|24|NASDAQ|2020|01|29|15|30|31300|2.17|2.11|2.17|2.15|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Mar 19 BMO|consumergoods|22.700001|202.110001
TOUR|25|NASDAQ|2020|01|28|15|30|29000|2.16|2.007|2.11|2.01|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Mar 19 BMO|consumergoods|22.700001|202.110001
TOUR|26|NASDAQ|2020|01|27|15|30|29500|2.12|2.031|2.04|2.12|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Mar 19 BMO|consumergoods|22.700001|202.110001
TOUR|27|NASDAQ|2020|01|24|15|30|75800|2.25|2.13|2.2|2.25|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Mar 19 BMO|consumergoods|22.700001|202.110001
TOUR|28|NASDAQ|2020|01|23|15|30|17700|2.3|2.25|2.25|2.25|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Mar 19 BMO|consumergoods|22.700001|202.110001
TOUR|29|NASDAQ|2020|01|22|15|30|25200|2.344|2.26|2.26|2.28|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Mar 19 BMO|consumergoods|22.700001|202.110001
TOUR|30|NASDAQ|2020|01|21|15|30|41200|2.39|2.25|2.29|2.39|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Mar 19 BMO|consumergoods|22.700001|202.110001
TOUR|31|NASDAQ|2020|01|17|15|30|39500|2.46|2.4|2.4|2.46|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Mar 19 BMO|consumergoods|22.700001|202.110001
TOUR|32|NASDAQ|2020|01|16|15|30|187400|2.54|2.39|2.4|2.39|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Mar 19 BMO|consumergoods|22.700001|202.110001
TOUR|33|NASDAQ|2020|01|15|15|30|25100|2.425|2.37|2.4|2.37|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Mar 19 BMO|consumergoods|22.700001|202.110001
TOUR|34|NASDAQ|2020|01|14|15|30|15700|2.41|2.36|2.38|2.36|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Mar 19 BMO|consumergoods|22.700001|202.110001
TOUR|35|NASDAQ|2020|01|13|15|30|55000|2.42|2.33|2.39|2.41|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Mar 19 BMO|consumergoods|22.700001|202.110001
TOUR|36|NASDAQ|2020|01|10|15|30|119200|2.625|2.44|2.44|2.625|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Mar 19 BMO|consumergoods|22.700001|202.110001
