empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
TXMD|0|NASDAQ|2020|03|04|15|30|5377500|1.98|1.66|1.86|1.66|drugmanufacturersmajor|7.4|3.7|3.9|-|-|348|usa|21.15|21.15|67.699997|Feb 20 BMO|healthcare|71.900002|488.700012
TXMD|1|NASDAQ|2020|03|03|15|30|3488100|1.78|1.59|1.63|1.68|drugmanufacturersmajor|7.4|3.7|3.9|-|-|348|usa|21.15|21.15|67.699997|Feb 20 BMO|healthcare|71.900002|488.700012
TXMD|2|NASDAQ|2020|03|02|15|30|3888300|1.75|1.54|1.63|1.73|drugmanufacturersmajor|7.4|3.7|3.9|-|-|348|usa|21.15|21.15|67.699997|Feb 20 BMO|healthcare|71.900002|488.700012
TXMD|3|NASDAQ|2020|02|28|15|30|4157100|1.71|1.58|1.69|1.63|drugmanufacturersmajor|7.4|3.7|3.9|-|-|348|usa|21.15|21.15|67.699997|Feb 20 BMO|healthcare|71.900002|488.700012
TXMD|4|NASDAQ|2020|02|27|15|30|4650100|1.8|1.62|1.66|1.75|drugmanufacturersmajor|7.4|3.7|3.9|-|-|348|usa|21.15|21.15|67.699997|Feb 20 BMO|healthcare|71.900002|488.700012
TXMD|5|NASDAQ|2020|02|26|15|30|4398600|1.91|1.75|1.78|1.91|drugmanufacturersmajor|7.4|3.7|3.9|-|-|348|usa|21.15|21.15|67.699997|Feb 20 BMO|healthcare|71.900002|488.700012
TXMD|6|NASDAQ|2020|02|25|15|30|4867900|1.97|1.83|1.85|1.93|drugmanufacturersmajor|7.4|3.7|3.9|-|-|348|usa|21.15|21.15|67.699997|Feb 20 BMO|healthcare|71.900002|488.700012
TXMD|7|NASDAQ|2020|02|24|15|30|8255800|2.05|1.86|1.9|2.02|drugmanufacturersmajor|7.4|3.7|3.9|-|-|348|usa|21.15|21.15|67.699997|Feb 20 BMO|healthcare|71.900002|488.700012
TXMD|8|NASDAQ|2020|02|21|15|30|4483100|2.17|2.02|2.06|2.15|drugmanufacturersmajor|7.4|3.7|3.9|-|-|348|usa|21.15|21.15|67.699997|Feb 20 BMO|healthcare|71.900002|488.700012
TXMD|9|NASDAQ|2020|02|20|15|30|16154800|2.5|1.97|2.15|2.48|drugmanufacturersmajor|7.4|3.7|3.9|-|-|348|usa|21.15|21.15|67.699997|Feb 20 BMO|healthcare|71.900002|488.700012
TXMD|10|NASDAQ|2020|02|19|15|30|5693500|2.45|2.26|2.4|2.39|drugmanufacturersmajor|7.4|3.7|3.9|-|-|348|usa|21.15|21.15|67.699997|Feb 20 BMO|healthcare|71.900002|488.700012
TXMD|11|NASDAQ|2020|02|18|15|30|1567400|2.54|2.39|2.42|2.5|drugmanufacturersmajor|7.4|3.7|3.9|-|-|348|usa|21.15|21.15|67.699997|Feb 20 BMO|healthcare|71.900002|488.700012
TXMD|12|NASDAQ|2020|02|14|15|30|1295500|2.49|2.4|2.48|2.44|drugmanufacturersmajor|7.4|3.7|3.9|-|-|348|usa|21.15|21.15|67.699997|Feb 20 BMO|healthcare|71.900002|488.700012
TXMD|13|NASDAQ|2020|02|13|15|30|1790100|2.57|2.43|2.44|2.52|drugmanufacturersmajor|7.4|3.7|3.9|-|-|348|usa|21.15|21.15|67.699997|Feb 20 BMO|healthcare|71.900002|488.700012
TXMD|14|NASDAQ|2020|02|12|15|30|2463700|2.68|2.49|2.5|2.61|drugmanufacturersmajor|7.4|3.7|3.9|-|-|348|usa|21.15|21.15|67.699997|Feb 20 BMO|healthcare|71.900002|488.700012
TXMD|15|NASDAQ|2020|02|11|15|30|3847100|2.63|2.46|2.59|2.49|drugmanufacturersmajor|7.4|3.7|3.9|-|-|348|usa|21.15|21.15|67.699997|Feb 20 BMO|healthcare|71.900002|488.700012
TXMD|16|NASDAQ|2020|02|10|15|30|2098400|2.45|2.3|2.45|2.33|drugmanufacturersmajor|7.4|3.7|3.9|-|-|348|usa|21.15|21.15|67.699997|Feb 20 BMO|healthcare|71.900002|488.700012
