empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
UBCP|0|NASDAQ|2020|03|04|15|30|3600|13.95|13.5|13.7|13.5|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|1|NASDAQ|2020|03|03|15|30|1800|14|13.61|13.62|14|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|2|NASDAQ|2020|03|02|15|30|6600|14.23|13.75|13.95|13.94|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|3|NASDAQ|2020|02|28|15|30|14000|13.86|13.25|13.86|13.33|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|4|NASDAQ|2020|02|27|15|30|7400|14.03|13.25|13.44|13.35|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|5|NASDAQ|2020|02|26|15|30|5500|14.11|13.5|13.5|13.99|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|6|NASDAQ|2020|02|25|15|30|12800|14.25|13.75|13.75|14.25|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|7|NASDAQ|2020|02|24|15|30|5900|14.31|14|14|14|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|8|NASDAQ|2020|02|21|15|30|1100|14.4|14.32|14.33|14.4|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|9|NASDAQ|2020|02|20|15|30|1000|14.53|14.4|14.52|14.4|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|10|NASDAQ|2020|02|19|15|30|21900|14.58|14.4|14.45|14.44|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|11|NASDAQ|2020|02|18|15|30|6800|14.7|14.5|14.65|14.5|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|12|NASDAQ|2020|02|14|15|30|8300|14.89|14.43|14.5|14.5|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|13|NASDAQ|2020|02|13|15|30|3200|14.48|14.16|14.48|14.16|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|14|NASDAQ|2020|02|12|15|30|3800|14.05|13.82|14.03|13.93|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|15|NASDAQ|2020|02|11|15|30|3500|14.05|13.8|13.92|13.91|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|16|NASDAQ|2020|02|10|15|30|3900|14.05|13.82|13.95|13.95|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|17|NASDAQ|2020|02|07|15|30|2800|13.98|13.83|13.83|13.98|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|18|NASDAQ|2020|02|06|15|30|500|14.1|14.06|14.06|14.1|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|19|NASDAQ|2020|02|05|15|30|4500|14.17|13.62|14|14.16|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|20|NASDAQ|2020|02|04|15|30|3900|14.31|14.11|14.16|14.31|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|21|NASDAQ|2020|02|03|15|30|3800|14.32|14.2|14.2|14.32|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|22|NASDAQ|2020|01|31|15|30|5800|14.28|13.5|14.24|13.5|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|23|NASDAQ|2020|01|30|15|30|0|13.41|13.41|13.41|13.41|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|24|NASDAQ|2020|01|29|15|30|2700|13.49|13.32|13.41|13.45|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|25|NASDAQ|2020|01|28|15|30|1200|13.74|13.42|13.42|13.74|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|26|NASDAQ|2020|01|27|15|30|1300|13.94|13.31|13.94|13.48|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|27|NASDAQ|2020|01|24|15|30|1400|13.6|13.6|13.6|13.6|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|28|NASDAQ|2020|01|23|15|30|10500|13.76|13.36|13.6|13.76|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|29|NASDAQ|2020|01|22|15|30|7700|14.15|13.57|13.57|14.15|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|30|NASDAQ|2020|01|21|15|30|9000|14.5|14.08|14.15|14.5|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|31|NASDAQ|2020|01|17|15|30|3700|14.5|14.35|14.35|14.5|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|32|NASDAQ|2020|01|16|15|30|2000|14.5|14.35|14.35|14.5|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|33|NASDAQ|2020|01|15|15|30|2000|14.39|14.2|14.33|14.2|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|34|NASDAQ|2020|01|14|15|30|400|14.22|14.06|14.06|14.15|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|35|NASDAQ|2020|01|13|15|30|700|14.2|14.2|14.2|14.2|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|36|NASDAQ|2020|01|10|15|30|2100|14.5|14.01|14.42|14.26|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|37|NASDAQ|2020|01|09|15|30|2500|14.15|14|14.01|14.08|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|38|NASDAQ|2020|01|08|15|30|6700|14.55|14.08|14.08|14.55|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|39|NASDAQ|2020|01|07|15|30|2100|14.56|14.43|14.46|14.53|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|40|NASDAQ|2020|01|06|15|30|2000|14.78|14.42|14.5|14.51|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|41|NASDAQ|2020|01|03|15|30|2500|14.76|14.38|14.4|14.76|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|42|NASDAQ|2020|01|02|15|30|10900|14.75|14.3|14.75|14.39|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|43|NASDAQ|2019|12|31|15|30|2800|15.5|14.3|14.3|15.5|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|44|NASDAQ|2019|12|30|15|30|16700|15.56|14.64|15.3|14.71|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|45|NASDAQ|2019|12|27|15|30|10900|14.92|14.55|14.68|14.57|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|46|NASDAQ|2019|12|26|15|30|6600|14.55|14.49|14.52|14.51|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|47|NASDAQ|2019|12|24|15|30|8700|14.53|14.11|14.49|14.11|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|48|NASDAQ|2019|12|23|15|30|15300|14.25|13.7|13.99|13.7|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|49|NASDAQ|2019|12|20|15|30|13700|13.89|13.45|13.89|13.49|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|50|NASDAQ|2019|12|19|15|30|4000|13.38|13.2|13.3|13.23|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|51|NASDAQ|2019|12|18|15|30|2700|13.25|13.11|13.17|13.11|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|52|NASDAQ|2019|12|17|15|30|4800|13.4|12.99|13.11|13.4|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|53|NASDAQ|2019|12|16|15|30|2800|13.3|13.15|13.2|13.15|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|54|NASDAQ|2019|12|13|15|30|3700|13.25|13.18|13.19|13.24|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|55|NASDAQ|2019|12|12|15|30|1400|13.34|13.24|13.26|13.34|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
UBCP|56|NASDAQ|2019|12|11|15|30|200|13.25|13.25|13.25|13.25|regionalmidwestbanks|5.7|-|-|13.85|4.21|110|usa|0.39|0.39|10.69|Jan 30|financial|11.2|79.959999
