empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
UBIO|0|NASDAQ|2020|03|04|15|30|70300|32.09|29.5|32.09|29.940001|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
UBIO|1|NASDAQ|2020|03|03|15|30|93200|31.659|27.01|28.319|30.27|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
UBIO|2|NASDAQ|2020|03|02|15|30|82300|30.559999|27.049999|30.481001|27.700001|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
UBIO|3|NASDAQ|2020|02|28|15|30|50600|26.93|23.879999|26.731001|24.110001|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
UBIO|4|NASDAQ|2020|02|27|15|30|51100|30.118999|26.68|26.750999|29.59|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
UBIO|5|NASDAQ|2020|02|26|15|30|45000|31.110001|29.4|30.235001|29.98|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
UBIO|6|NASDAQ|2020|02|25|15|30|74200|31.879999|28.9|29.16|31.879999|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
UBIO|7|NASDAQ|2020|02|24|15|30|37900|32.380001|30.41|31.509001|32.18|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
UBIO|8|NASDAQ|2020|02|21|15|30|12100|34.445|33.616001|34.124001|33.672001|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
UBIO|9|NASDAQ|2020|02|20|15|30|31300|34.467999|33|34.278999|34.23|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
UBIO|10|NASDAQ|2020|02|19|15|30|26600|34.799999|34.099998|34.560001|34.189999|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
UBIO|11|NASDAQ|2020|02|18|15|30|15300|33.779999|33.02|33.676998|33.52|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
UBIO|12|NASDAQ|2020|02|14|15|30|18100|33.819|32.880001|33.610001|33.610001|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
UBIO|13|NASDAQ|2020|02|13|15|30|15300|33.950001|33.251999|33.251999|33.82|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
UBIO|14|NASDAQ|2020|02|12|15|30|27500|34.23|33.459999|33.93|34.049999|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
UBIO|15|NASDAQ|2020|02|11|15|30|33500|34.601002|33.720001|33.82|34.119999|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
UBIO|16|NASDAQ|2020|02|10|15|30|16000|33.93|32.599998|33.880001|32.599998|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
UBIO|17|NASDAQ|2020|02|07|15|30|44000|33.509998|32.66|32.911999|32.900002|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
UBIO|18|NASDAQ|2020|02|06|15|30|35500|34.23|32.779999|33.75|33.939999|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
UBIO|19|NASDAQ|2020|02|05|15|30|95800|34.34|31.459999|33.029999|31.459999|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
UBIO|20|NASDAQ|2020|02|04|15|30|35300|30.9|29.9|30.719999|29.93|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
UBIO|21|NASDAQ|2020|02|03|15|30|51500|28.844999|28.02|28.66|28.02|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
UBIO|22|NASDAQ|2020|01|31|15|30|36000|28.48|26.459999|27.261|28.48|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
UBIO|23|NASDAQ|2020|01|30|15|30|45500|29.33|28.110001|28.48|29.08|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
UBIO|24|NASDAQ|2020|01|29|15|30|46400|30.559999|29.85|29.907|30.559999|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
UBIO|25|NASDAQ|2020|01|28|15|30|20900|30.209999|29.4|29.945999|29.74|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
UBIO|26|NASDAQ|2020|01|27|15|30|33200|29.450001|27.84|29.049999|28.370001|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
UBIO|27|NASDAQ|2020|01|24|15|30|69200|32.07|29.09|29.514|32.029999|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
UBIO|28|NASDAQ|2020|01|23|15|30|19200|32.150002|30.9|31.718|31.93|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
