empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
UTMD|0|NASDAQ|2020|03|04|15|30|12100|85.330002|83.150002|84.599998|85.099998|medicalinstrumentssupplies|0.5|11.6|13.4|23.32|1.3|173|usa|0|0|-|Jan 30 BMO|healthcare|76.400002|307.880005
UTMD|1|NASDAQ|2020|03|03|15|30|27900|89.269997|83.599998|84.050003|86.419998|medicalinstrumentssupplies|0.5|11.6|13.4|23.32|1.3|173|usa|0|0|-|Jan 30 BMO|healthcare|76.400002|307.880005
UTMD|2|NASDAQ|2020|03|02|15|30|16400|87.919998|85.209999|86.059998|87.919998|medicalinstrumentssupplies|0.5|11.6|13.4|23.32|1.3|173|usa|0|0|-|Jan 30 BMO|healthcare|76.400002|307.880005
UTMD|3|NASDAQ|2020|02|28|15|30|11100|95.699997|85.260002|87.400002|89.32|medicalinstrumentssupplies|0.5|11.6|13.4|23.32|1.3|173|usa|0|0|-|Jan 30 BMO|healthcare|76.400002|307.880005
UTMD|4|NASDAQ|2020|02|27|15|30|10400|94.639999|90.050003|90.050003|92.610001|medicalinstrumentssupplies|0.5|11.6|13.4|23.32|1.3|173|usa|0|0|-|Jan 30 BMO|healthcare|76.400002|307.880005
UTMD|5|NASDAQ|2020|02|26|15|30|3000|96.110001|93.889999|93.889999|96.110001|medicalinstrumentssupplies|0.5|11.6|13.4|23.32|1.3|173|usa|0|0|-|Jan 30 BMO|healthcare|76.400002|307.880005
UTMD|6|NASDAQ|2020|02|25|15|30|17100|97.629997|93.480003|95.099998|97.629997|medicalinstrumentssupplies|0.5|11.6|13.4|23.32|1.3|173|usa|0|0|-|Jan 30 BMO|healthcare|76.400002|307.880005
UTMD|7|NASDAQ|2020|02|24|15|30|8200|102.07|94.379997|95.599998|94.379997|medicalinstrumentssupplies|0.5|11.6|13.4|23.32|1.3|173|usa|0|0|-|Jan 30 BMO|healthcare|76.400002|307.880005
UTMD|8|NASDAQ|2020|02|21|15|30|10600|97.699997|96.25|96.93|96.260002|medicalinstrumentssupplies|0.5|11.6|13.4|23.32|1.3|173|usa|0|0|-|Jan 30 BMO|healthcare|76.400002|307.880005
UTMD|9|NASDAQ|2020|02|20|15|30|11200|97.550003|95.32|96.099998|95.32|medicalinstrumentssupplies|0.5|11.6|13.4|23.32|1.3|173|usa|0|0|-|Jan 30 BMO|healthcare|76.400002|307.880005
