empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
VIRC|0|NASDAQ|2020|03|04|15|30|1600|4.09|3.82|4.08|3.82|businessequipment|8.5|0.8|2.5|260|1.54|840|usa|0.22|0.21|-|Mar 20 BMO|consumergoods|32.200001|60.490002
VIRC|1|NASDAQ|2020|03|03|15|30|19500|4.1|3.83|3.94|3.9|businessequipment|8.5|0.8|2.5|260|1.54|840|usa|0.22|0.21|-|Mar 20 BMO|consumergoods|32.200001|60.490002
VIRC|2|NASDAQ|2020|03|02|15|30|6800|3.96|3.73|3.8|3.81|businessequipment|8.5|0.8|2.5|260|1.54|840|usa|0.22|0.21|-|Mar 20 BMO|consumergoods|32.200001|60.490002
VIRC|3|NASDAQ|2020|02|28|15|30|5800|3.85|3.84|3.84|3.84|businessequipment|8.5|0.8|2.5|260|1.54|840|usa|0.22|0.21|-|Mar 20 BMO|consumergoods|32.200001|60.490002
VIRC|4|NASDAQ|2020|02|27|15|30|3400|3.89|3.84|3.89|3.85|businessequipment|8.5|0.8|2.5|260|1.54|840|usa|0.22|0.21|-|Mar 20 BMO|consumergoods|32.200001|60.490002
VIRC|5|NASDAQ|2020|02|26|15|30|11500|3.93|3.85|3.85|3.89|businessequipment|8.5|0.8|2.5|260|1.54|840|usa|0.22|0.21|-|Mar 20 BMO|consumergoods|32.200001|60.490002
VIRC|6|NASDAQ|2020|02|25|15|30|7500|3.96|3.9|3.93|3.96|businessequipment|8.5|0.8|2.5|260|1.54|840|usa|0.22|0.21|-|Mar 20 BMO|consumergoods|32.200001|60.490002
VIRC|7|NASDAQ|2020|02|24|15|30|15300|4.01|3.9|3.96|3.9|businessequipment|8.5|0.8|2.5|260|1.54|840|usa|0.22|0.21|-|Mar 20 BMO|consumergoods|32.200001|60.490002
VIRC|8|NASDAQ|2020|02|21|15|30|2500|3.99|3.9|3.99|3.94|businessequipment|8.5|0.8|2.5|260|1.54|840|usa|0.22|0.21|-|Mar 20 BMO|consumergoods|32.200001|60.490002
VIRC|9|NASDAQ|2020|02|20|15|30|1200|3.95|3.93|3.95|3.93|businessequipment|8.5|0.8|2.5|260|1.54|840|usa|0.22|0.21|-|Mar 20 BMO|consumergoods|32.200001|60.490002
