empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
WTER|0|NASDAQ|2020|03|04|15|30|154100|0.94|0.91|0.94|0.94|beveragessoftdrinks|6.4|1.1|1.3|-|-|8|usa|0.66|0|29|Feb 10 AMC|consumergoods|7|39.700001
WTER|1|NASDAQ|2020|03|03|15|30|153800|0.95|0.88|0.899|0.95|beveragessoftdrinks|6.4|1.1|1.3|-|-|8|usa|0.66|0|29|Feb 10 AMC|consumergoods|7|39.700001
WTER|2|NASDAQ|2020|03|02|15|30|319900|1|0.845|0.917|0.89|beveragessoftdrinks|6.4|1.1|1.3|-|-|8|usa|0.66|0|29|Feb 10 AMC|consumergoods|7|39.700001
WTER|3|NASDAQ|2020|02|28|15|30|523700|0.93|0.76|0.91|0.76|beveragessoftdrinks|6.4|1.1|1.3|-|-|8|usa|0.66|0|29|Feb 10 AMC|consumergoods|7|39.700001
WTER|4|NASDAQ|2020|02|27|15|30|778400|0.89|0.753|0.82|0.83|beveragessoftdrinks|6.4|1.1|1.3|-|-|8|usa|0.66|0|29|Feb 10 AMC|consumergoods|7|39.700001
WTER|5|NASDAQ|2020|02|26|15|30|401800|0.94|0.855|0.899|0.92|beveragessoftdrinks|6.4|1.1|1.3|-|-|8|usa|0.66|0|29|Feb 10 AMC|consumergoods|7|39.700001
WTER|6|NASDAQ|2020|02|25|15|30|752500|0.97|0.791|0.863|0.92|beveragessoftdrinks|6.4|1.1|1.3|-|-|8|usa|0.66|0|29|Feb 10 AMC|consumergoods|7|39.700001
WTER|7|NASDAQ|2020|02|24|15|30|580300|0.97|0.92|0.944|0.962|beveragessoftdrinks|6.4|1.1|1.3|-|-|8|usa|0.66|0|29|Feb 10 AMC|consumergoods|7|39.700001
WTER|8|NASDAQ|2020|02|21|15|30|312500|1.01|0.98|0.985|1|beveragessoftdrinks|6.4|1.1|1.3|-|-|8|usa|0.66|0|29|Feb 10 AMC|consumergoods|7|39.700001
WTER|9|NASDAQ|2020|02|20|15|30|580000|1.03|0.95|0.994|1.02|beveragessoftdrinks|6.4|1.1|1.3|-|-|8|usa|0.66|0|29|Feb 10 AMC|consumergoods|7|39.700001
WTER|10|NASDAQ|2020|02|19|15|30|530600|1.05|1|1.03|1.04|beveragessoftdrinks|6.4|1.1|1.3|-|-|8|usa|0.66|0|29|Feb 10 AMC|consumergoods|7|39.700001
WTER|11|NASDAQ|2020|02|18|15|30|369500|1.07|1|1.03|1.06|beveragessoftdrinks|6.4|1.1|1.3|-|-|8|usa|0.66|0|29|Feb 10 AMC|consumergoods|7|39.700001
WTER|12|NASDAQ|2020|02|14|15|30|406900|1.1|1.02|1.04|1.1|beveragessoftdrinks|6.4|1.1|1.3|-|-|8|usa|0.66|0|29|Feb 10 AMC|consumergoods|7|39.700001
WTER|13|NASDAQ|2020|02|13|15|30|757600|1.14|1.04|1.06|1.12|beveragessoftdrinks|6.4|1.1|1.3|-|-|8|usa|0.66|0|29|Feb 10 AMC|consumergoods|7|39.700001
WTER|14|NASDAQ|2020|02|12|15|30|1108100|1.12|1.02|1.12|1.04|beveragessoftdrinks|6.4|1.1|1.3|-|-|8|usa|0.66|0|29|Feb 10 AMC|consumergoods|7|39.700001
WTER|15|NASDAQ|2020|02|11|15|30|3784000|1.38|0.922|1|1.32|beveragessoftdrinks|6.4|1.1|1.3|-|-|8|usa|0.66|0|29|Feb 10 AMC|consumergoods|7|39.700001
WTER|16|NASDAQ|2020|02|10|15|30|496700|1.54|1.48|1.48|1.53|beveragessoftdrinks|6.4|1.1|1.3|-|-|8|usa|0.66|0|29|Feb 10 AMC|consumergoods|7|39.700001
WTER|17|NASDAQ|2020|02|07|15|30|307200|1.5|1.41|1.48|1.45|beveragessoftdrinks|6.4|1.1|1.3|-|-|8|usa|0.66|0|29|Feb 10 AMC|consumergoods|7|39.700001
WTER|18|NASDAQ|2020|02|06|15|30|108300|1.464|1.4|1.44|1.44|beveragessoftdrinks|6.4|1.1|1.3|-|-|8|usa|0.66|0|29|Feb 10 AMC|consumergoods|7|39.700001
WTER|19|NASDAQ|2020|02|05|15|30|270700|1.504|1.41|1.43|1.48|beveragessoftdrinks|6.4|1.1|1.3|-|-|8|usa|0.66|0|29|Feb 10 AMC|consumergoods|7|39.700001
WTER|20|NASDAQ|2020|02|04|15|30|150700|1.51|1.44|1.48|1.44|beveragessoftdrinks|6.4|1.1|1.3|-|-|8|usa|0.66|0|29|Feb 10 AMC|consumergoods|7|39.700001
WTER|21|NASDAQ|2020|02|03|15|30|205000|1.51|1.4|1.42|1.4|beveragessoftdrinks|6.4|1.1|1.3|-|-|8|usa|0.66|0|29|Feb 10 AMC|consumergoods|7|39.700001
WTER|22|NASDAQ|2020|01|31|15|30|172000|1.44|1.39|1.4|1.42|beveragessoftdrinks|6.4|1.1|1.3|-|-|8|usa|0.66|0|29|Feb 10 AMC|consumergoods|7|39.700001
WTER|23|NASDAQ|2020|01|30|15|30|135100|1.48|1.42|1.43|1.47|beveragessoftdrinks|6.4|1.1|1.3|-|-|8|usa|0.66|0|29|Feb 10 AMC|consumergoods|7|39.700001
WTER|24|NASDAQ|2020|01|29|15|30|231900|1.52|1.42|1.47|1.52|beveragessoftdrinks|6.4|1.1|1.3|-|-|8|usa|0.66|0|29|Feb 10 AMC|consumergoods|7|39.700001
WTER|25|NASDAQ|2020|01|28|15|30|267100|1.51|1.37|1.51|1.37|beveragessoftdrinks|6.4|1.1|1.3|-|-|8|usa|0.66|0|29|Feb 10 AMC|consumergoods|7|39.700001
WTER|26|NASDAQ|2020|01|27|15|30|352600|1.45|1.31|1.35|1.45|beveragessoftdrinks|6.4|1.1|1.3|-|-|8|usa|0.66|0|29|Feb 10 AMC|consumergoods|7|39.700001
WTER|27|NASDAQ|2020|01|24|15|30|228200|1.52|1.45|1.45|1.52|beveragessoftdrinks|6.4|1.1|1.3|-|-|8|usa|0.66|0|29|Feb 10 AMC|consumergoods|7|39.700001
WTER|28|NASDAQ|2020|01|23|15|30|194400|1.53|1.46|1.5|1.51|beveragessoftdrinks|6.4|1.1|1.3|-|-|8|usa|0.66|0|29|Feb 10 AMC|consumergoods|7|39.700001
WTER|29|NASDAQ|2020|01|22|15|30|255800|1.61|1.49|1.51|1.6|beveragessoftdrinks|6.4|1.1|1.3|-|-|8|usa|0.66|0|29|Feb 10 AMC|consumergoods|7|39.700001
