empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
ZIXI|0|NASDAQ|2020|03|04|15|30|424700|8.29|7.94|8.27|8.01|applicationsoftware|2.7|0.3|0.3|-|-|265|usa|4|3.96|25.09|Feb 20 AMC|technology|73.800003|447.600006
ZIXI|1|NASDAQ|2020|03|03|15|30|484600|8.42|7.83|7.89|8.18|applicationsoftware|2.7|0.3|0.3|-|-|265|usa|4|3.96|25.09|Feb 20 AMC|technology|73.800003|447.600006
ZIXI|2|NASDAQ|2020|03|02|15|30|569700|8.26|7.73|8.15|7.89|applicationsoftware|2.7|0.3|0.3|-|-|265|usa|4|3.96|25.09|Feb 20 AMC|technology|73.800003|447.600006
ZIXI|3|NASDAQ|2020|02|28|15|30|879700|7.99|7.38|7.88|7.46|applicationsoftware|2.7|0.3|0.3|-|-|265|usa|4|3.96|25.09|Feb 20 AMC|technology|73.800003|447.600006
ZIXI|4|NASDAQ|2020|02|27|15|30|1164900|8.51|8|8|8.43|applicationsoftware|2.7|0.3|0.3|-|-|265|usa|4|3.96|25.09|Feb 20 AMC|technology|73.800003|447.600006
ZIXI|5|NASDAQ|2020|02|26|15|30|1253300|9.2|8.63|8.73|8.79|applicationsoftware|2.7|0.3|0.3|-|-|265|usa|4|3.96|25.09|Feb 20 AMC|technology|73.800003|447.600006
ZIXI|6|NASDAQ|2020|02|25|15|30|917400|9.13|8.66|8.76|9.05|applicationsoftware|2.7|0.3|0.3|-|-|265|usa|4|3.96|25.09|Feb 20 AMC|technology|73.800003|447.600006
ZIXI|7|NASDAQ|2020|02|24|15|30|1315600|9.24|8.5|9.05|8.52|applicationsoftware|2.7|0.3|0.3|-|-|265|usa|4|3.96|25.09|Feb 20 AMC|technology|73.800003|447.600006
ZIXI|8|NASDAQ|2020|02|21|15|30|2399000|9.29|8.39|8.92|8.74|applicationsoftware|2.7|0.3|0.3|-|-|265|usa|4|3.96|25.09|Feb 20 AMC|technology|73.800003|447.600006
ZIXI|9|NASDAQ|2020|02|20|15|30|627500|8.08|7.66|7.99|7.74|applicationsoftware|2.7|0.3|0.3|-|-|265|usa|4|3.96|25.09|Feb 20 AMC|technology|73.800003|447.600006
ZIXI|10|NASDAQ|2020|02|19|15|30|537100|7.77|7.34|7.74|7.36|applicationsoftware|2.7|0.3|0.3|-|-|265|usa|4|3.96|25.09|Feb 20 AMC|technology|73.800003|447.600006
ZIXI|11|NASDAQ|2020|02|18|15|30|329300|7.37|7.13|7.34|7.2|applicationsoftware|2.7|0.3|0.3|-|-|265|usa|4|3.96|25.09|Feb 20 AMC|technology|73.800003|447.600006
ZIXI|12|NASDAQ|2020|02|14|15|30|282100|7.26|7.11|7.2|7.13|applicationsoftware|2.7|0.3|0.3|-|-|265|usa|4|3.96|25.09|Feb 20 AMC|technology|73.800003|447.600006
ZIXI|13|NASDAQ|2020|02|13|15|30|314500|7.31|7.15|7.16|7.23|applicationsoftware|2.7|0.3|0.3|-|-|265|usa|4|3.96|25.09|Feb 20 AMC|technology|73.800003|447.600006
ZIXI|14|NASDAQ|2020|02|12|15|30|358600|7.4|7.11|7.29|7.38|applicationsoftware|2.7|0.3|0.3|-|-|265|usa|4|3.96|25.09|Feb 20 AMC|technology|73.800003|447.600006
ZIXI|15|NASDAQ|2020|02|11|15|30|491700|7.85|7.32|7.35|7.64|applicationsoftware|2.7|0.3|0.3|-|-|265|usa|4|3.96|25.09|Feb 20 AMC|technology|73.800003|447.600006
ZIXI|16|NASDAQ|2020|02|10|15|30|316100|7.63|7.18|7.61|7.31|applicationsoftware|2.7|0.3|0.3|-|-|265|usa|4|3.96|25.09|Feb 20 AMC|technology|73.800003|447.600006
ZIXI|17|NASDAQ|2020|02|07|15|30|588500|7.43|7.26|7.32|7.36|applicationsoftware|2.7|0.3|0.3|-|-|265|usa|4|3.96|25.09|Feb 20 AMC|technology|73.800003|447.600006
ZIXI|18|NASDAQ|2020|02|06|15|30|388400|7.46|7.21|7.42|7.25|applicationsoftware|2.7|0.3|0.3|-|-|265|usa|4|3.96|25.09|Feb 20 AMC|technology|73.800003|447.600006
ZIXI|19|NASDAQ|2020|02|05|15|30|415100|7.25|7|7.24|7.15|applicationsoftware|2.7|0.3|0.3|-|-|265|usa|4|3.96|25.09|Feb 20 AMC|technology|73.800003|447.600006
