empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
ABUS|0|NASDAQ|2020|03|06|15|30|252000|3.25|2.9|2.97|3.25|biotechnology|33.689999|10.7|10.7|-|-|80|usa|-|-|-8.4|Mar 05 BMO|healthcare|39.099998|195.779999
ABUS|1|NASDAQ|2020|03|05|15|30|253200|3.09|2.91|3|3.01|biotechnology|33.689999|10.7|10.7|-|-|80|usa|-|-|-8.4|Mar 05 BMO|healthcare|39.099998|195.779999
ABUS|2|NASDAQ|2020|03|04|15|30|368000|3.1|2.76|3.03|2.85|biotechnology|33.689999|10.7|10.7|-|-|80|usa|-|-|-8.4|Mar 05 BMO|healthcare|39.099998|195.779999
ABUS|3|NASDAQ|2020|03|03|15|30|342600|2.86|2.72|2.79|2.85|biotechnology|33.689999|10.7|10.7|-|-|80|usa|-|-|-8.4|Mar 05 BMO|healthcare|39.099998|195.779999
ABUS|4|NASDAQ|2020|03|02|15|30|247700|2.96|2.77|2.85|2.88|biotechnology|33.689999|10.7|10.7|-|-|80|usa|-|-|-8.4|Mar 05 BMO|healthcare|39.099998|195.779999
ABUS|5|NASDAQ|2020|02|28|15|30|691600|3.1|2.6|2.92|3.09|biotechnology|33.689999|10.7|10.7|-|-|80|usa|-|-|-8.4|Mar 05 BMO|healthcare|39.099998|195.779999
ABUS|6|NASDAQ|2020|02|27|15|30|1150000|3.43|2.69|3.1|2.69|biotechnology|33.689999|10.7|10.7|-|-|80|usa|-|-|-8.4|Mar 05 BMO|healthcare|39.099998|195.779999
ABUS|7|NASDAQ|2020|02|26|15|30|2004900|3.01|2.66|2.8|3.01|biotechnology|33.689999|10.7|10.7|-|-|80|usa|-|-|-8.4|Mar 05 BMO|healthcare|39.099998|195.779999
ABUS|8|NASDAQ|2020|02|25|15|30|348400|3.08|2.91|3|3.02|biotechnology|33.689999|10.7|10.7|-|-|80|usa|-|-|-8.4|Mar 05 BMO|healthcare|39.099998|195.779999
ABUS|9|NASDAQ|2020|02|24|15|30|755100|3.1|2.64|3.03|3.1|biotechnology|33.689999|10.7|10.7|-|-|80|usa|-|-|-8.4|Mar 05 BMO|healthcare|39.099998|195.779999
ABUS|10|NASDAQ|2020|02|21|15|30|685300|3.49|3.19|3.25|3.4|biotechnology|33.689999|10.7|10.7|-|-|80|usa|-|-|-8.4|Mar 05 BMO|healthcare|39.099998|195.779999
ABUS|11|NASDAQ|2020|02|20|15|30|1333400|3.56|3.25|3.42|3.47|biotechnology|33.689999|10.7|10.7|-|-|80|usa|-|-|-8.4|Mar 05 BMO|healthcare|39.099998|195.779999
ABUS|12|NASDAQ|2020|02|19|15|30|461700|3.48|3.2|3.27|3.41|biotechnology|33.689999|10.7|10.7|-|-|80|usa|-|-|-8.4|Mar 05 BMO|healthcare|39.099998|195.779999
ABUS|13|NASDAQ|2020|02|18|15|30|527400|3.48|3.26|3.4|3.29|biotechnology|33.689999|10.7|10.7|-|-|80|usa|-|-|-8.4|Mar 05 BMO|healthcare|39.099998|195.779999
ABUS|14|NASDAQ|2020|02|14|15|30|1256400|3.43|3.28|3.35|3.32|biotechnology|33.689999|10.7|10.7|-|-|80|usa|-|-|-8.4|Mar 05 BMO|healthcare|39.099998|195.779999
ABUS|15|NASDAQ|2020|02|13|15|30|2668600|3.48|3.12|3.28|3.15|biotechnology|33.689999|10.7|10.7|-|-|80|usa|-|-|-8.4|Mar 05 BMO|healthcare|39.099998|195.779999
ABUS|16|NASDAQ|2020|02|12|15|30|754300|3.25|3.05|3.15|3.07|biotechnology|33.689999|10.7|10.7|-|-|80|usa|-|-|-8.4|Mar 05 BMO|healthcare|39.099998|195.779999
ABUS|17|NASDAQ|2020|02|11|15|30|1516500|3.19|3.04|3.07|3.15|biotechnology|33.689999|10.7|10.7|-|-|80|usa|-|-|-8.4|Mar 05 BMO|healthcare|39.099998|195.779999
ABUS|18|NASDAQ|2020|02|10|15|30|1355700|3.25|2.7|3.2|2.75|biotechnology|33.689999|10.7|10.7|-|-|80|usa|-|-|-8.4|Mar 05 BMO|healthcare|39.099998|195.779999
